uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
71761e36-58ad-4b07-82db-5bd8f33b71d7,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-06-17T18:40:00Z,2024-06-17T18:40:00Z,NIWO_004-M-41-20240617,A00000257358,NIWO_004-M-41-20240617-KCL,A00000259387,ok,2024-10-14,0.161,1,OK,NA,2024-10-14,0.012,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
37d10648-0515-4813-b8b4-8cf926bc844e,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-06-17T19:14:00Z,2024-06-17T19:14:00Z,NIWO_004-M-39-20240617,A00000257357,NIWO_004-M-39-20240617-KCL,A00000259374,ok,2024-10-14,0.125,1,OK,NA,2024-10-14,0.047,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
d0ce5674-4f2b-4f1f-81a9-3a596ac1f3d6,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-07-22T18:06:00Z,2024-08-07T15:58:00Z,NIWO_004-O-23-20240807,A00000262635,NIWO_004-O-23-20240807-KCL,A00000262429,ok,2024-10-24,0.246,1,OK,NA,2024-10-24,0.075,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193953Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
fbc8fbe8-c4f0-47f7-9c81-8c174596c116,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-07-22T18:06:00Z,2024-08-07T15:58:00Z,NIWO_004-M-23-20240807,A00000262529,NIWO_004-M-23-20240807-KCL,A00000262606,ok,2024-10-24,0.109,1,OK,NA,2024-10-24,0.006,1,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193953Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
8099f726-7aa5-42d7-b3ea-c9efe082dd7b,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-07-22T18:43:00Z,2024-08-07T15:47:00Z,NIWO_004-M-39-20240807,A00000262528,NIWO_004-M-39-20240807-KCL,A00000262439,ok,2024-10-24,0.21,1,OK,NA,2024-10-24,0.011,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193953Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
61a2c9c8-987c-4070-9561-5d12a9969635,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-07-22T19:02:00Z,2024-08-07T15:53:00Z,NIWO_004-M-21-20240807,A00000262531,NIWO_004-M-21-20240807-KCL,A00000262616,ok,2024-10-24,0.059,1,OK,NA,2024-10-24,0.037,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193953Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
39084736-9746-49b5-8522-0fc6ad018fe4,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-06-17T18:40:00Z,2024-07-08T19:22:00Z,NIWO_004-M-41-20240708,A00000262716,NIWO_004-M-41-20240708-KCL,A00000252302,ok,2024-10-14,0.936,1,OK,NA,2024-10-14,0.074,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
c7489600-2ed0-4827-97c6-95f797b9ce11,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-06-17T19:14:00Z,2024-07-08T19:56:00Z,NIWO_004-M-39-20240708,A00000262715,NIWO_004-M-39-20240708-KCL,A00000252304,ok,NA,NA,NA,NA,NA,2024-10-14,0.063,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,NA,NA,NA,NA,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
4a59b475-9773-4c7e-9668-a7baf9cc0966,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-06-17T19:14:00Z,2024-07-08T19:56:00Z,NIWO_004-M-39-20240708,A00000262715,NIWO_004-M-39-20240708-KCL,A00000252304,ok,2024-10-14,1.471,1,OK,NA,2024-10-14,0.065,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
53631a7f-70d0-46a5-a9b2-18958ba59ab3,NIWO_004.basePlot.bgc,D13,NIWO,NIWO_004,2024-07-22T18:06:00Z,2024-07-22T18:06:00Z,NIWO_004-O-23-20240722,A00000257046,NIWO_004-O-23-20240722-KCL,A00000262611,ok,2024-10-24,0.14,1,OK,NA,2024-10-24,0.014,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_externalLab
