uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
7887f094-389d-45b9-acd3-a9c8043feb3e,D03,OSBS,OSBS_002,OSBS_002.basePlot.bgc,2021-07-06T14:57:00Z,2021-07-06T14:57:00Z,2021-08-19,OSBS_002-M-31-32.5-20210706,A00000315852,OSBS_002-M-31-32.5-20210706-PH,NEON.DOC.014048vN,M,5.13,4.36,10.2,10,1,10.2,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
27f44d22-7f64-455f-9a9c-6c1a479e686b,D03,OSBS,OSBS_027,OSBS_027.basePlot.bgc,2021-07-06T15:02:00Z,2021-07-06T15:02:00Z,2021-08-19,OSBS_027-M-33.5-1.5-20210706,A00000315876,OSBS_027-M-33.5-1.5-20210706-PH,NEON.DOC.014048vN,M,5.05,4.13,10.1,10,1,10.1,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
88d5326e-e1f2-4051-8f2f-6a5ad4101d99,D03,OSBS,OSBS_027,OSBS_027.basePlot.bgc,2021-07-06T15:32:00Z,2021-07-06T15:32:00Z,2021-08-19,OSBS_027-M-21.5-37-20210706,A00000315885,OSBS_027-M-21.5-37-20210706-PH,NEON.DOC.014048vN,M,5.07,4.34,10.1,10,1,10.1,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
e6b642ce-5fdb-4789-8aa9-52d742991585,D03,OSBS,OSBS_002,OSBS_002.basePlot.bgc,2021-07-06T15:34:00Z,2021-07-06T15:34:00Z,2021-08-19,OSBS_002-M-35-10.5-20210706,A00000315900,OSBS_002-M-35-10.5-20210706-PH,NEON.DOC.014048vN,M,5.32,4.47,10.2,10,1,10.2,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
a5450675-4486-484a-b040-3d431f5d1659,D03,OSBS,OSBS_002,OSBS_002.basePlot.bgc,2021-07-06T15:51:00Z,2021-07-06T15:51:00Z,2021-08-19,OSBS_002-M-1-8-20210706,A00000315899,OSBS_002-M-1-8-20210706-PH,NEON.DOC.014048vN,M,5.26,4.52,10.2,10,1,10.2,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
baaf2a81-dd8b-4ac0-a437-015fd4012549,D03,OSBS,OSBS_027,OSBS_027.basePlot.bgc,2021-07-06T15:53:00Z,2021-07-06T15:53:00Z,2021-08-19,OSBS_027-M-6.5-36.5-20210706,A00000315886,OSBS_027-M-6.5-36.5-20210706-PH,NEON.DOC.014048vN,M,5.29,4.4,10.2,10,1,10.2,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
b8179f36-62f6-4e60-a9ac-bab50b382496,D03,OSBS,OSBS_026,OSBS_026.basePlot.bgc,2021-07-06T16:50:00Z,2021-07-06T16:50:00Z,2021-08-19,OSBS_026-M-24.5-3.5-20210706,A00000315889,OSBS_026-M-24.5-3.5-20210706-PH,NEON.DOC.014048vN,M,5.53,4.77,10,10,1,10,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
52857b41-5bae-4e71-9b04-b4acc9082070,D03,OSBS,OSBS_026,OSBS_026.basePlot.bgc,2021-07-06T17:09:00Z,2021-07-06T17:09:00Z,2021-08-19,OSBS_026-M-7.5-18.5-20210706,A00000315888,OSBS_026-M-7.5-18.5-20210706-PH,NEON.DOC.014048vN,M,5.61,4.74,10.4,10,1,10.4,20,1.9,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
d3abb6b1-f20e-48bd-a140-a28380469efb,D03,OSBS,OSBS_001,OSBS_001.basePlot.bgc,2021-07-06T17:22:00Z,2021-07-06T17:22:00Z,2021-08-19,OSBS_001-M-38-4-20210706,A00000315850,OSBS_001-M-38-4-20210706-PH,NEON.DOC.014048vN,M,4.13,5.2,10,10,1,10,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
23015132-b511-4a0f-9e3d-e80aa81539d0,D03,OSBS,OSBS_001,OSBS_001.basePlot.bgc,2021-07-06T17:22:00Z,2021-07-06T17:22:00Z,2021-08-19,OSBS_001-O-38-4-20210706,A00000315853,OSBS_001-O-38-4-20210706-PH,NEON.DOC.014048vN,O,3.86,3.09,5,20,4,5,40,8,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
3993e942-8772-4cc3-8d6d-df53a64c6978,D03,OSBS,OSBS_026,OSBS_026.basePlot.bgc,2021-07-06T17:30:00Z,2021-07-06T17:30:00Z,2021-08-19,OSBS_026-M-25-35-20210706,A00000315887,OSBS_026-M-25-35-20210706-PH,NEON.DOC.014048vN,M,5.66,5.1,10.3,10,1,10.3,20,1.9,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
d550304e-7f94-48b1-98ec-dfc5afe1349c,D03,OSBS,OSBS_001,OSBS_001.basePlot.bgc,2021-07-06T18:16:00Z,2021-07-06T18:16:00Z,2021-08-19,OSBS_001-M-4-18-20210706,A00000315854,OSBS_001-M-4-18-20210706-PH,NEON.DOC.014048vN,M,4.3,3.47,10.2,10,1,10.2,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
efb4ba77-8c5b-49d5-9163-9802a3444e76,D03,OSBS,OSBS_001,OSBS_001.basePlot.bgc,2021-07-06T18:56:00Z,2021-07-06T18:56:00Z,2021-08-19,OSBS_001-O-16.5-31.5-20210706,A00000037663,OSBS_001-O-16.5-31.5-20210706-PH,NEON.DOC.014048vN,O,3.7,2.77,5.2,20,3.8,5.2,40,7.6,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
dccd5ed8-6213-4d7b-99bb-70d3f3a0ff25,D03,OSBS,OSBS_001,OSBS_001.basePlot.bgc,2021-07-06T18:56:00Z,2021-07-06T18:56:00Z,2021-08-19,OSBS_001-M-16.5-31.5-20210706,A00000037664,OSBS_001-M-16.5-31.5-20210706-PH,NEON.DOC.014048vN,M,3.87,2.96,10.5,10,1,10.5,20,1.9,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
15533c8c-b865-4683-88e9-23877a71bc3b,D03,OSBS,OSBS_029,OSBS_029.basePlot.bgc,2021-07-06T19:17:00Z,2021-07-06T19:17:00Z,2021-08-19,OSBS_029-M-32-10-20210706,A00000315873,OSBS_029-M-32-10-20210706-PH,NEON.DOC.014048vN,M,5.12,4.43,10.3,10,1,10.3,20,1.9,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
de16f020-0e17-48b3-b999-f8cf0fff4472,D03,OSBS,OSBS_029,OSBS_029.basePlot.bgc,2021-07-06T19:35:00Z,2021-07-06T19:35:00Z,2021-08-19,OSBS_029-M-36.5-33.5-20210706,A00000315874,OSBS_029-M-36.5-33.5-20210706-PH,NEON.DOC.014048vN,M,5.44,4.62,10,10,1,10,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
ed738705-9376-4b96-983f-45bbf7424f9e,D03,OSBS,OSBS_029,OSBS_029.basePlot.bgc,2021-07-06T19:50:00Z,2021-07-06T19:50:00Z,2021-08-19,OSBS_029-M-9.5-19-20210706,A00000315875,OSBS_029-M-9.5-19-20210706-PH,NEON.DOC.014048vN,M,5.04,4.13,10.3,10,1,10.3,20,1.9,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
48eb093d-6ebf-49be-8410-535a2ce1e276,D03,OSBS,OSBS_004,OSBS_004.basePlot.bgc,2021-07-08T16:19:00Z,2021-07-08T16:19:00Z,2021-08-19,OSBS_004-M-3-35-20210708,A00000315895,OSBS_004-M-3-35-20210708-PH,NEON.DOC.014048vN,M,5.03,4.03,10.2,10,1,10.2,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
89c75450-2255-4934-9bee-319fd900f307,D03,OSBS,OSBS_005,OSBS_005.basePlot.bgc,2021-07-08T16:27:00Z,2021-07-08T16:27:00Z,2021-08-19,OSBS_005-O-39-32-20210708,A00000315890,OSBS_005-O-39-32-20210708-PH,NEON.DOC.014048vN,O,3.88,3.1,5.2,20,3.8,5.2,40,7.7,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
f5a5d4bd-3bd0-46d4-8c65-4e9c448e71c4,D03,OSBS,OSBS_004,OSBS_004.basePlot.bgc,2021-07-08T16:40:00Z,2021-07-08T16:40:00Z,2021-08-19,OSBS_004-M-34.5-24.5-20210708,A00000315894,OSBS_004-M-34.5-24.5-20210708-PH,NEON.DOC.014048vN,M,5.12,4.4,10.1,10,1,10.1,20,2,NA,0000-0002-3174-4606,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilpH
