uid,domainID,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
5b4670ca-da04-47d0-ae95-9c1eebf3960f,D20,PUUM,2019-01-05,2019-01-05,PUUM-20190105-BREF1,PUUM-20190105-BREF1-A,B00000048250,PUUM-20190105-BREF1-B,B00000048249,PUUM-20190105-BREF1-C,B00000048248,NA,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
e32ed7e8-4a0e-45ee-941c-f1030a757321,D20,PUUM,2019-01-08,2019-01-08,PUUM-20190108-BREF1,PUUM-20190108-BREF1-A,B00000048266,PUUM-20190108-BREF1-B,B00000048301,PUUM-20190108-BREF1-C,B00000048268,NA,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
e60cc7d9-8075-4b8e-bb4f-6b3282169bcc,D20,PUUM,2019-01-10,2019-01-10,PUUM-20190110-BREF1,PUUM-20190110-BREF1-A,B00000048378,PUUM-20190110-BREF1-B,B00000048379,PUUM-20190110-BREF1-C,B00000048380,NA,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
82f7c70e-5647-4c60-a284-79d370114497,D20,PUUM,2019-01-11,2019-01-11,PUUM-20190111-BREF1,PUUM-20190111-BREF1-A,B00000048393,PUUM-20190111-BREF1-B,B00000048394,PUUM-20190111-BREF1-C,B00000048395,NA,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
48566107-c71c-49f6-adeb-c409049c14dc,D20,PUUM,2019-01-22,2019-01-22,PUUM-20190122-BREF1,PUUM-20190122-BREF1-A,B00000048448,PUUM-20190122-BREF1-B,B00000048449,PUUM-20190122-BREF1-C,B00000048432,NA,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
a995a12e-48f7-4901-9337-f63f969c07d1,D20,PUUM,2019-01-23,2019-01-23,PUUM-20190123-BREF1,PUUM-20190123-BREF1-A,B00000048458,PUUM-20190123-BREF1-B,B00000048463,PUUM-20190123-BREF1-C,B00000048459,NA,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
d34fad19-206a-4140-8c2a-d57feb350975,D20,PUUM,2019-06-07,2019-06-07,PUUM-20190607-BREF1,PUUM-20190607-BREF1-A,B00000048517,PUUM-20190607-BREF1-B,B00000048516,PUUM-20190607-BREF1-C,B00000048518,NA,NA,20251217T194021Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
9a4aa12a-4a34-452c-a053-ba4f576eda23,D20,PUUM,2019-06-11,2019-06-11,PUUM-20190611-BREF1,PUUM-20190611-BREF1-A,B00000048545,PUUM-20190611-BREF1-B,B00000048544,PUUM-20190611-BREF1-C,B00000048543,NA,NA,20251217T194021Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
13e3f5f9-7a71-490c-8bd1-fa690055a315,D20,PUUM,2019-06-12,2019-06-12,PUUM-20190612-BREF1,PUUM-20190612-BREF1-A,B00000048586,PUUM-20190612-BREF1-B,B00000048585,PUUM-20190612-BREF1-C,B00000048587,NA,NA,20251217T194021Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
0cf7847f-66be-463d-ace8-ee182de85313,D20,PUUM,2019-06-13,2019-06-13,PUUM-20190613-BREF1,PUUM-20190613-BREF1-A,B00000048602,PUUM-20190613-BREF1-B,B00000048604,PUUM-20190613-BREF1-C,B00000048603,NA,NA,20251217T194021Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
0f9a8845-85ca-4a00-8c02-be625fe88072,D20,PUUM,2019-06-25,2019-06-25,PUUM-20190625-BREF1,PUUM-20190625-BREF1-A,B00000048633,PUUM-20190625-BREF1-B,B00000048635,PUUM-20190625-BREF1-C,B00000048634,NA,NA,20251217T194021Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
7ed09567-d25d-44bb-b4ed-d5466ff9a518,D20,PUUM,2019-06-27,2019-06-27,PUUM-20190627-BREF1,PUUM-20190627-BREF1-A,B00000048656,PUUM-20190627-BREF1-B,B00000048657,PUUM-20190627-BREF1-C,B00000048658,NA,NA,20251217T194021Z,RELEASE-2026,DP1.10086.001,PUUM,2019,ntr_internalLabBlanks
