uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
0b0befc7-7ec0-4bf1-9ea4-090f1029b986,D20,PUUM,PUUM_036,PUUM_036.basePlot.bgc,2022-01-10T20:41:00Z,2022-01-10T20:41:00Z,2022-02-14,PUUM_036-O-37.5-30-20220110,A00000311807,PUUM_036-O-37.5-30-20220110-PH,NEON.DOC.014048vO,O,5.22,4.2,1.1,20,18.7,1.1,40,37.4,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
528c9553-2403-47a8-a88c-71e10dad86bd,D20,PUUM,PUUM_036,PUUM_036.basePlot.bgc,2022-01-10T21:01:00Z,2022-01-10T21:01:00Z,2022-02-14,PUUM_036-O-34-17-20220110,A00000311791,PUUM_036-O-34-17-20220110-PH,NEON.DOC.014048vO,O,4.92,4.14,1,20,19.4,1,40,38.8,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
c875067e-d3ef-4279-aaae-1aaccf90d7d1,D20,PUUM,PUUM_036,PUUM_036.basePlot.bgc,2022-01-10T21:14:00Z,2022-01-10T21:14:00Z,2022-02-14,PUUM_036-O-17.5-8-20220110,A00000311775,PUUM_036-O-17.5-8-20220110-PH,NEON.DOC.014048vO,O,4.11,4.67,1.6,20,12.9,1.6,40,25.8,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
608500ee-beec-4cc2-9049-a5eaf249be1d,D20,PUUM,PUUM_042,PUUM_042.basePlot.bgc,2022-01-10T22:23:00Z,2022-01-10T22:23:00Z,2022-02-14,PUUM_042-O-22-6-20220110,A00000311780,PUUM_042-O-22-6-20220110-PH,NEON.DOC.014048vO,O,4.46,3.78,1.4,20,13.9,1.4,40,27.8,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
5864e4a3-2fc7-4491-a421-b4f29a22876b,D20,PUUM,PUUM_042,PUUM_042.basePlot.bgc,2022-01-10T22:40:00Z,2022-01-10T22:40:00Z,2022-02-14,PUUM_042-O-18.5-7-20220110,A00000311827,PUUM_042-O-18.5-7-20220110-PH,NEON.DOC.014048vO,O,4.8,4.08,1.9,20,10.5,1.9,40,21.1,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
dad6f41b-9036-41a8-a637-e562414af60f,D20,PUUM,PUUM_042,PUUM_042.basePlot.bgc,2022-01-10T22:57:00Z,2022-01-10T22:57:00Z,2022-02-14,PUUM_042-O-38.5-30-20220110,A00000311811,PUUM_042-O-38.5-30-20220110-PH,NEON.DOC.014048vO,O,4.28,3.57,1.2,20,17.4,1.2,40,34.8,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
c4393842-d475-4278-9bf8-257696575de5,D20,PUUM,PUUM_040,PUUM_040.basePlot.bgc,2022-01-10T23:45:00Z,2022-01-10T23:45:00Z,2022-02-14,PUUM_040-O-32.5-33.5-20220110,A00000311795,PUUM_040-O-32.5-33.5-20220110-PH,NEON.DOC.014048vO,O,4.12,3.52,1.3,20,15.6,1.3,40,31.3,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
194126e6-9dea-473a-89de-3101766f14bc,D20,PUUM,PUUM_040,PUUM_040.basePlot.bgc,2022-01-10T23:59:00Z,2022-01-10T23:59:00Z,2022-02-14,PUUM_040-O-4-37-20220110,A00000311779,PUUM_040-O-4-37-20220110-PH,NEON.DOC.014048vO,O,4.68,3.94,1.3,20,15.9,1.3,40,31.7,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
487a2099-768c-4160-9065-3ba890fd3ad0,D20,PUUM,PUUM_040,PUUM_040.basePlot.bgc,2022-01-11T00:19:00Z,2022-01-11T00:19:00Z,2022-02-14,PUUM_040-O-1.5-13.5-20220110,A00000311826,PUUM_040-O-1.5-13.5-20220110-PH,NEON.DOC.014048vO,O,4.78,4.12,1.1,20,19,1.1,40,38.1,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
c0e666a9-a1cb-416c-bcdd-97db624731c1,D20,PUUM,PUUM_034,PUUM_034.basePlot.bgc,2022-01-11T19:38:00Z,2022-01-11T19:38:00Z,2022-02-14,PUUM_034-O-34-25-20220111,A00000311810,PUUM_034-O-34-25-20220111-PH,NEON.DOC.014048vO,O,4.21,3.53,1.4,20,14.3,1.4,40,28.6,NA,0000-0003-1142-4215,NA,20251217T193821Z,RELEASE-2026,DP1.10086.001,PUUM,2022,sls_soilpH
