uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
11e5a4d4-261c-4997-ad23-d7e83809de0b,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-03-13T17:22:00Z,2019-03-13T17:22:00Z,SJER_048-M-35.5-34-20190313,B00000043305,SJER_048-M-35.5-34-20190313-KCL,B00000043366,ok,2019-05-31,0.089,1,OK,NA,2019-05-30,0.045,1,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
da440c29-05e4-4cf0-9373-2c5a51d4335e,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-03-13T17:22:00Z,2019-03-13T17:22:00Z,SJER_048-M-35.5-34-20190313,B00000043305,SJER_048-M-35.5-34-20190313-KCL,B00000043366,ok,2019-05-31,0.091,2,OK,NA,2019-05-30,0.042,2,blanks exceed sample value,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
1bc6ad2f-96cb-4704-b6e7-3c2f3af85369,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-03-13T17:40:00Z,2019-03-13T17:40:00Z,SJER_048-M-30.5-3.5-20190313,B00000043307,SJER_048-M-30.5-3.5-20190313-KCL,B00000043371,ok,2019-05-31,0.108,1,OK,NA,2019-05-30,0.196,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
0387eb54-c893-452c-ab3f-8f2a617e7ae7,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-03-13T17:49:00Z,2019-03-13T17:49:00Z,SJER_048-M-10.5-39.5-20190313,B00000043306,SJER_048-M-10.5-39.5-20190313-KCL,B00000043368,ok,2019-05-31,0.126,1,OK,NA,2019-05-30,0.069,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
2c7a498f-b04f-4d1e-bf7b-7369956ea2eb,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-05-07T17:47:00Z,2019-05-07T17:47:00Z,SJER_048-M-2.5-0.5-20190507,B00000043661,SJER_048-M-2.5-0.5-20190507-KCL,B00000043789,ok,2019-07-26,0.091,1,OK,NA,2019-07-26,0.093,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193743Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
e9f34858-983a-452c-9120-89db375a7b1a,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-05-07T18:05:00Z,2019-05-07T18:05:00Z,SJER_048-M-36-16-20190507,B00000043660,SJER_048-M-36-16-20190507-KCL,B00000043790,ok,2019-07-26,0.073,2,OK,NA,2019-07-26,0.146,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193743Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
b0825be9-f9c1-44d6-bcf3-fe3580e2cbf2,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-05-07T18:05:00Z,2019-05-07T18:05:00Z,SJER_048-M-36-16-20190507,B00000043660,SJER_048-M-36-16-20190507-KCL,B00000043790,ok,2019-07-26,0.071,1,OK,NA,2019-07-26,0.158,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193743Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
45fdafe9-86e7-41fb-9590-6e2fb4d6ab3d,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-05-07T18:19:00Z,2019-05-07T18:19:00Z,SJER_048-M-29-34-20190507,B00000043662,SJER_048-M-29-34-20190507-KCL,B00000043791,ok,2019-07-26,0.134,1,OK,NA,2019-07-26,0.348,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193743Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
41c1ee8e-8959-4368-a9f7-369ee6a76510,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-03-13T17:22:00Z,2019-04-02T18:33:00Z,SJER_048-M-35.5-34-20190402,B00000043465,SJER_048-M-35.5-34-20190402-KCL,B00000043494,ok,2019-05-31,0.048,1,OK,NA,2019-05-30,0.569,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
c5d8cf06-f3af-4b25-9741-d3778dfc21e2,SJER_048.basePlot.bgc,D17,SJER,SJER_048,2019-03-13T17:40:00Z,2019-04-02T18:23:00Z,SJER_048-M-30.5-3.5-20190402,B00000043463,SJER_048-M-30.5-3.5-20190402-KCL,B00000043499,ok,2019-05-31,0.074,1,OK,NA,2019-05-30,0.581,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SJER,2019,ntr_externalLab
