uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
9566e03f-411e-47c2-8207-320a9a7ac59b,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-02-21T18:59:00Z,2024-02-21T18:59:00Z,SJER_003-M-39-20240221,A00000395684,SJER_003-M-39-20240221-SM,NEON.DOC.014048vP,M,2024-02-22T16:00:00Z,2024-02-27T00:20:00Z,2.25,12.14,11.1,0.118,0.895,OK,NA,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
67ce49b5-05e9-4688-9e45-2e331f542e96,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-02-21T19:16:00Z,2024-02-21T19:16:00Z,SJER_003-M-21-20240221,A00000395686,SJER_003-M-21-20240221-SM,NEON.DOC.014048vP,M,2024-02-22T16:00:00Z,2024-02-27T00:20:00Z,2.23,12.19,10.69,0.177,0.849,OK,NA,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
c4b52556-daca-4ab3-8c30-f97bb6455cc2,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-02-21T19:35:00Z,2024-02-21T19:35:00Z,SJER_003-M-23-20240221,A00000395685,SJER_003-M-23-20240221-SM,NEON.DOC.014048vP,M,2024-02-22T16:00:00Z,2024-02-27T00:20:00Z,2.29,12.34,10.74,0.189,0.841,OK,NA,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
ec085a43-aaaa-47cb-b727-d659018e7d12,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-02-21T18:59:00Z,2024-03-13T16:25:00Z,SJER_003-M-39-20240313,A00000395712,SJER_003-M-39-20240313-SM,NEON.DOC.014048vP,M,2024-03-14T20:15:00Z,2024-03-19T14:45:00Z,2.16,12.25,11.3,0.104,0.906,OK,NA,0009-0004-9949-1731,NA,20251217T193601Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
19bafb2c-9a6b-42b3-ad87-0c671b724639,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-02-21T19:16:00Z,2024-03-13T16:55:00Z,SJER_003-M-21-20240313,A00000395770,SJER_003-M-21-20240313-SM,NEON.DOC.014048vP,M,2024-03-14T19:15:00Z,2024-03-19T14:45:00Z,2.28,12.12,10.18,0.246,0.803,OK,NA,0009-0004-9949-1731,NA,20251217T193601Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
13ad1ba7-9642-4c98-aff6-f534be26b9cb,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-02-21T19:35:00Z,2024-03-13T17:13:00Z,SJER_003-M-23-20240313,A00000395771,SJER_003-M-23-20240313-SM,NEON.DOC.014048vP,M,2024-03-13T20:15:00Z,2024-03-19T14:45:00Z,2.29,12.78,10.81,0.231,0.812,OK,NA,0009-0004-9949-1731,NA,20251217T193601Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
5d938dfe-aca8-4bdf-9576-bc2a294bd21e,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-05-15T16:25:00Z,2024-06-04T18:49:00Z,SJER_003-M-39-20240604,A00000395761,SJER_003-M-39-20240604-SM,NEON.DOC.014048vP,M,2024-06-05T15:10:00Z,2024-06-10T14:30:00Z,2.13,12.43,12.3,0.013,0.987,OK,NA,0009-0009-7975-9872,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
5439f020-a566-4a7b-a172-d8ad98151e64,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-05-15T16:53:00Z,2024-06-04T18:58:00Z,SJER_003-M-41-20240604,A00000396108,SJER_003-M-41-20240604-SM,NEON.DOC.014048vP,M,2024-06-05T15:10:00Z,2024-06-10T14:30:00Z,2.29,12.22,12.02,0.021,0.98,OK,NA,0009-0009-7975-9872,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
a31301b3-b669-4954-8660-380cada2519e,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-05-15T17:25:00Z,2024-06-04T18:36:00Z,SJER_003-M-23-20240604,A00000396124,SJER_003-M-23-20240604-SM,NEON.DOC.014048vP,M,2024-06-05T15:10:00Z,2024-06-10T14:30:00Z,2.25,12.14,11.99,0.015,0.985,OK,NA,0009-0009-7975-9872,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
79ea5719-2f98-4edb-b868-7ca8d29c7d78,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2024-05-15T16:25:00Z,2024-05-15T16:25:00Z,SJER_003-M-39-20240515,A00000396152,SJER_003-M-39-20240515-SM,NEON.DOC.014048vP,M,2024-05-16T15:10:00Z,2024-05-21T16:50:00Z,2.18,12.23,11.71,0.055,0.948,OK,NA,0009-0004-9671-061X,NA,20251217T193641Z,RELEASE-2026,DP1.10086.001,SJER,2024,sls_soilMoisture
