uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
b005ca65-64fe-4737-bdee-aef3de67363c,STER_011.basePlot.bgc,D10,STER,STER_011,2022-04-12T14:11:00Z,2022-04-12T14:11:00Z,STER_011-M-21-20220412,A00000251484,STER_011-M-21-20220412-KCL,A00000251602,ok,2022-06-23,0.019,1,OK,NA,2022-06-23,0.716,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193642Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
fbec7c43-3f68-4db8-86ea-ee38fa0fc6d9,STER_011.basePlot.bgc,D10,STER,STER_011,2022-04-12T14:21:00Z,2022-04-12T14:21:00Z,STER_011-M-23-20220412,A00000251474,STER_011-M-23-20220412-KCL,A00000251587,ok,2022-06-23,0.019,1,OK,NA,2022-06-23,0.292,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193642Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
f40b23b1-3d2d-477f-8ae9-e37d70cd9e57,STER_011.basePlot.bgc,D10,STER,STER_011,2022-04-12T14:25:00Z,2022-04-12T14:25:00Z,STER_011-M-41-20220412,A00000251475,STER_011-M-41-20220412-KCL,A00000251611,ok,2022-06-23,0.034,1,OK,NA,2022-06-23,0.552,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193642Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
3ff92f8e-8409-4756-9a97-30e207c74d88,STER_011.basePlot.bgc,D10,STER,STER_011,2022-04-12T14:11:00Z,2022-05-02T18:27:00Z,STER_011-M-21-20220502,A00000250460,STER_011-M-21-20220502-KCL,A00000252276,ok,2022-06-23,0.025,1,OK,NA,2022-06-23,0.919,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193457Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
5835719e-0e8b-40d1-8a98-16162bfc8c9c,STER_011.basePlot.bgc,D10,STER,STER_011,2022-04-12T14:21:00Z,2022-05-02T18:47:00Z,STER_011-M-23-20220502,A00000250468,STER_011-M-23-20220502-KCL,A00000252283,ok,2022-06-23,0.04,1,OK,NA,2022-06-23,0.599,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193457Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
71e966a3-24b8-4f8f-8bed-e6b527419fc1,STER_011.basePlot.bgc,D10,STER,STER_011,2022-04-12T14:25:00Z,2022-05-02T18:52:00Z,STER_011-M-41-20220502,A00000250469,STER_011-M-41-20220502-KCL,A00000252279,ok,2022-06-23,0.049,2,OK,NA,2022-06-23,0.845,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193457Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
1627e90a-14f2-4f5f-9c62-1dabaa642022,STER_011.basePlot.bgc,D10,STER,STER_011,2022-04-12T14:25:00Z,2022-05-02T18:52:00Z,STER_011-M-41-20220502,A00000250469,STER_011-M-41-20220502-KCL,A00000252279,ok,2022-06-23,0.041,1,OK,NA,2022-06-23,0.703,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193457Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
fa80cbd1-5966-41cb-bcf5-bbd4878a2a65,STER_011.basePlot.bgc,D10,STER,STER_011,2022-10-17T19:27:00Z,2022-10-17T19:27:00Z,STER_011-M-41-20221017,A00000251629,STER_011-M-41-20221017-KCL,A00000252348,ok,2023-01-27,0.03,1,OK,NA,2023-01-30,0.55,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194048Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
246a2681-032e-4b54-a051-0f812e889f6b,STER_011.basePlot.bgc,D10,STER,STER_011,2022-10-17T19:30:00Z,2022-10-17T19:30:00Z,STER_011-M-39-20221017,A00000251631,STER_011-M-39-20221017-KCL,A00000252347,ok,2023-01-27,0.027,1,OK,NA,2023-01-30,0.458,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194048Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
337ef196-1557-4fb8-b816-dd1364aeeaef,STER_011.basePlot.bgc,D10,STER,STER_011,2022-10-17T19:30:00Z,2022-10-17T19:30:00Z,STER_011-M-39-20221017,A00000251631,STER_011-M-39-20221017-KCL,A00000252347,ok,NA,NA,NA,NA,NA,2023-01-30,0.442,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,NA,NA,NA,NA,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194048Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
fd8bd576-3b11-47eb-afb0-d76af125e33c,STER_011.basePlot.bgc,D10,STER,STER_011,2022-10-17T19:55:00Z,2022-10-17T19:55:00Z,STER_011-M-21-20221017,A00000251634,STER_011-M-21-20221017-KCL,A00000252346,ok,2023-01-27,0.009,1,below method detection limit,NA,2023-01-30,0.867,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194048Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
631f00e6-fa6d-448f-a85e-03a6fb2913a5,STER_011.basePlot.bgc,D10,STER,STER_011,2022-06-06T20:35:00Z,2022-06-06T20:35:00Z,STER_011-M-21-20220606,A00000252101,STER_011-M-21-20220606-KCL,A00000252912,ok,2022-09-26,0.069,1,OK,NA,2022-09-16,1.25,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
11137d3d-0b67-4319-89d2-5f84f3640222,STER_011.basePlot.bgc,D10,STER,STER_011,2022-06-06T20:35:00Z,2022-06-20T17:51:00Z,STER_011-M-21-20220620,A00000253107,STER_011-M-21-20220620-KCL,A00000252908,ok,2022-09-26,0.056,1,OK,NA,2022-09-16,0.736,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
5142e0bf-7c43-479a-8538-c398a430e463,STER_011.basePlot.bgc,D10,STER,STER_011,2022-06-06T20:51:00Z,2022-06-06T20:51:00Z,STER_011-M-41-20220606,A00000252100,STER_011-M-41-20220606-KCL,A00000252848,ok,2022-09-26,0.023,1,OK,NA,2022-09-16,0.932,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
014288f9-4459-4da3-baf4-5d27d98aee0e,STER_011.basePlot.bgc,D10,STER,STER_011,2022-06-06T20:51:00Z,2022-06-20T18:02:00Z,STER_011-M-41-20220620,A00000253105,STER_011-M-41-20220620-KCL,A00000252923,ok,2022-09-26,0.694,1,OK,NA,2022-09-16,3.064,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
23cccd13-e9e7-4405-86f2-593dd69369f2,STER_011.basePlot.bgc,D10,STER,STER_011,2022-06-06T21:06:00Z,2022-06-06T21:06:00Z,STER_011-M-39-20220606,A00000252099,STER_011-M-39-20220606-KCL,A00000252864,ok,2022-09-26,0.351,1,OK,NA,2022-09-16,1.584,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
9ee6b115-10b4-4356-aa88-620caf70811d,STER_011.basePlot.bgc,D10,STER,STER_011,2022-06-06T21:06:00Z,2022-06-20T17:57:00Z,STER_011-M-39-20220620,A00000253106,STER_011-M-39-20220620-KCL,A00000252924,ok,2022-09-26,0.048,1,OK,NA,2022-09-16,1.46,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
01ce230a-fde4-4fd6-a636-6afe8db5ef72,STER_011.basePlot.bgc,D10,STER,STER_011,2022-10-17T19:27:00Z,2022-11-14T18:11:00Z,STER_011-M-41-20221114,A00000253551,STER_011-M-41-20221114-KCL,A00000252328,ok,2023-01-27,0.04,1,OK,NA,2023-01-30,0.604,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193714Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
e06259df-8e63-48b6-9b28-20aa2dafad1a,STER_011.basePlot.bgc,D10,STER,STER_011,2022-10-17T19:30:00Z,2022-11-14T18:09:00Z,STER_011-M-39-20221114,A00000253552,STER_011-M-39-20221114-KCL,A00000252327,ok,2023-01-27,0.053,1,OK,NA,2023-01-30,0.368,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193714Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
eea07db9-028d-4583-a40f-d072b1132419,STER_011.basePlot.bgc,D10,STER,STER_011,2022-10-17T19:55:00Z,2022-11-14T18:07:00Z,STER_011-M-21-20221114,A00000253536,STER_011-M-21-20221114-KCL,A00000252326,ok,2023-01-27,0.011,1,OK,NA,2023-01-30,0.699,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,Een+fcnBsxu+2j+IfJ93xQ==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193714Z,RELEASE-2026,DP1.10086.001,STER,2022,ntr_externalLab
