uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
a574841a-8d46-467a-a582-bdd198b31730,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-03-29T14:25:00Z,2021-03-29T14:25:00Z,TALL_004-M-12.5-36-20210329,A00000232765,TALL_004-M-12.5-36-20210329-SM,NEON.DOC.014048vN,M,2021-03-30T13:35:00Z,2021-04-06T20:05:00Z,1.8,11.76,10.02,0.212,0.825,NA,NA,0000-0002-8839-6825,NA,20251217T193734Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
eb06eb99-dadd-4275-9c4e-195f7b10b55a,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-03-29T15:03:00Z,2021-03-29T15:03:00Z,TALL_004-M-5.5-5-20210329,A00000232766,TALL_004-M-5.5-5-20210329-SM,NEON.DOC.014048vN,M,2021-03-30T13:26:00Z,2021-04-06T20:05:00Z,1.77,11.77,10.55,0.139,0.878,NA,NA,0000-0002-8839-6825,NA,20251217T193734Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
03aea85f-8f5b-4720-8e8c-78ac62f4bd53,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-03-29T15:17:00Z,2021-03-29T15:17:00Z,TALL_004-M-30-4-20210329,A00000232767,TALL_004-M-30-4-20210329-SM,NEON.DOC.014048vN,M,2021-03-30T13:35:00Z,2021-04-06T20:05:00Z,1.76,11.79,10.33,0.17,0.854,NA,NA,0000-0002-8839-6825,NA,20251217T193734Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
c3fca1f8-f219-4972-9aee-222dd3ce00ae,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-03-29T14:25:00Z,2021-04-21T13:45:00Z,TALL_004-M-12.5-36-20210421,NA,TALL_004-M-12.5-36-20210421-SM,NEON.DOC.014048vN,M,2021-04-22T16:00:00Z,2021-04-26T17:52:00Z,1.76,11.77,9.98,0.218,0.821,NA,NA,0000-0002-4787-8721,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
47a753a8-2994-4944-974e-cf4ce7d99342,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-03-29T15:03:00Z,2021-04-21T13:41:00Z,TALL_004-M-5.5-5-20210421,NA,TALL_004-M-5.5-5-20210421-SM,NEON.DOC.014048vN,M,2021-04-22T16:00:00Z,2021-04-26T17:52:00Z,1.76,11.77,10.85,0.101,0.908,NA,NA,0000-0002-4787-8721,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
c17e1ed1-0db1-418a-a25a-933c67b36c85,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-03-29T15:17:00Z,2021-04-21T13:37:00Z,TALL_004-M-30-4-20210421,NA,TALL_004-M-30-4-20210421-SM,NEON.DOC.014048vN,M,2021-04-22T16:00:00Z,2021-04-26T17:52:00Z,1.76,11.77,10.67,0.123,0.89,NA,NA,0000-0002-4787-8721,NA,20251217T193624Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
c108a14b-4d63-4d8e-8958-b3920d6c7e9b,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-06-01T15:34:00Z,2021-06-01T15:34:00Z,TALL_004-M-10-32-20210601,A00000147218,TALL_004-M-10-32-20210601-SM,NEON.DOC.014048vN,M,2021-06-02T16:19:00Z,2021-06-07T18:30:00Z,2.11,12.12,11.11,0.112,0.899,NA,NA,0000-0003-3172-1559,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
20c297c0-7803-481a-ad2f-86f51ec8a859,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-06-01T15:34:00Z,2021-06-23T16:36:00Z,TALL_004-M-10-32-20210623,A00000147436,TALL_004-M-10-32-20210623-SM,NEON.DOC.014048vN,M,2021-06-24T14:00:00Z,2021-06-28T13:09:00Z,1.78,11.79,10.67,0.126,0.888,NA,NA,0000-0002-8839-6825,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
3553fe9d-0487-404a-a281-1aa067bbdf3c,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-06-01T15:52:00Z,2021-06-01T15:52:00Z,TALL_004-M-11-6-20210601,A00000147203,TALL_004-M-11-6-20210601-SM,NEON.DOC.014048vN,M,2021-06-02T16:19:00Z,2021-06-07T18:30:00Z,2.1,12.11,11.33,0.085,0.922,NA,NA,0000-0003-3172-1559,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
9c598b3d-7800-4046-b5f5-0302068de9a5,D08,TALL,TALL_004,TALL_004.basePlot.bgc,2021-06-01T15:52:00Z,2021-06-23T16:30:00Z,TALL_004-M-11-6-20210623,A00000147440,TALL_004-M-11-6-20210623-SM,NEON.DOC.014048vN,M,2021-06-24T14:00:00Z,2021-06-28T13:09:00Z,1.79,11.98,10.9,0.119,0.894,NA,NA,0000-0002-8839-6825,NA,20251217T193604Z,RELEASE-2026,DP1.10086.001,TALL,2021,sls_soilMoisture
