uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
77840cef-8148-477d-9f33-59cd55cdf59b,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-05-04T19:06:00Z,2021-05-04T19:06:00Z,WOOD_002-M-3-14-20210504,A00000137967,WOOD_002-M-3-14-20210504-KCL,B00000096882,ok,2021-08-04,0.117,1,OK,NA,2021-08-04,0.113,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
a2017c8c-ad34-4cf0-a9b1-5b821ca7cc9e,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-05-04T19:06:00Z,2021-05-31T16:21:00Z,WOOD_002-M-3-14-20210531,NA,WOOD_002-M-3-14-20210531-KCL,B00000096936,ok,2021-08-04,0.053,1,OK,NA,2021-08-04,0.198,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
b509a491-8751-4557-9287-8f2629fe6b98,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-05-04T19:41:00Z,2021-05-04T19:41:00Z,WOOD_002-M-13-34-20210504,A00000137969,WOOD_002-M-13-34-20210504-KCL,B00000096884,ok,2021-08-04,0.122,1,OK,NA,2021-08-04,0.078,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
33a2c161-6dd1-4eeb-95e1-1d8d224dd28c,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-05-04T19:41:00Z,2021-05-04T19:41:00Z,WOOD_002-M-13-34-20210504,A00000137969,WOOD_002-M-13-34-20210504-KCL,B00000096884,ok,2021-08-04,0.129,2,OK,NA,2021-08-04,0.063,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
f2a5f0ac-7011-41a1-99a1-9cbf6bed2366,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-05-04T19:41:00Z,2021-05-31T16:17:00Z,WOOD_002-M-13-34-20210531,NA,WOOD_002-M-13-34-20210531-KCL,B00000096935,ok,2021-08-04,0.071,1,OK,NA,2021-08-04,0.142,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
6ddfea6f-7a47-4297-b0c3-afa508d65c34,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-05-04T20:00:00Z,2021-05-04T20:00:00Z,WOOD_002-M-36-0.5-20210504,A00000137968,WOOD_002-M-36-0.5-20210504-KCL,B00000096883,ok,2021-08-04,0.089,1,OK,NA,2021-08-04,0.133,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
dcf5cddf-560f-4d14-8105-6c30785a5121,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-05-04T20:00:00Z,2021-05-31T16:28:00Z,WOOD_002-M-36-0.5-20210531,NA,WOOD_002-M-36-0.5-20210531-KCL,B00000096937,ok,2021-08-04,0.054,1,OK,NA,2021-08-04,0.203,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193510Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
d3fe369d-7e26-44ba-a5f6-4cac1ba34e29,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-07-08T16:01:00Z,2021-07-08T16:01:00Z,WOOD_002-M-8.5-3.5-20210708,A00000137919,WOOD_002-M-8.5-3.5-20210708-KCL,B00000097045,ok,2021-11-01,0.13,1,OK,NA,2021-11-01,0.332,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
74b4e5b0-ce2b-4145-96b0-db0588fcf3e3,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-07-08T16:01:00Z,2021-07-26T15:14:00Z,WOOD_002-M-8.5-3.5-20210726,NA,WOOD_002-M-8.5-3.5-20210726-KCL,B00000097229,ok,2021-11-01,0.124,1,OK,NA,2021-11-01,0.244,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
772a7517-d70c-43fe-82e4-087c8e24992a,WOOD_002.basePlot.bgc,D09,WOOD,WOOD_002,2021-07-08T16:17:00Z,2021-07-08T16:17:00Z,WOOD_002-M-23-4.5-20210708,A00000137935,WOOD_002-M-23-4.5-20210708-KCL,B00000097049,ok,2021-11-01,0.085,1,OK,NA,2021-11-01,0.207,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,WOOD,2021,ntr_externalLab
