dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,n_raw_records,incubationLength_mean_2018_2024,soilFreshMass_mean_2018_2024,kclVolume_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,incubationLength_mean_2018_2024_unit,soilFreshMass_mean_2018_2024_unit,kclVolume_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_001,GUAN_001.basePlot.bgc,distributed,36,8.559999999999999,10.106666666666666,100,2020.3333333333333,2020.3333333333333,day,gram,milliliter,NA,NA
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_002,GUAN_002.basePlot.bgc,distributed,36,8.665277777777778,10.084999999999999,100,2020.3333333333333,2020.3333333333333,day,gram,milliliter,NA,NA
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_003,GUAN_003.basePlot.bgc,distributed,36,8.308333333333334,10.135277777777778,100,2020.3333333333333,2020.3333333333333,day,gram,milliliter,NA,NA
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_004,GUAN_004.basePlot.bgc,distributed,36,8.470555555555556,10.07861111111111,100,2020.3333333333333,2020.3333333333333,day,gram,milliliter,NA,NA
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_006,GUAN_006.basePlot.bgc,distributed,36,8.30111111111111,10.12,100,2020.3333333333333,2020.3333333333333,day,gram,milliliter,NA,NA
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_007,GUAN_007.basePlot.bgc,distributed,34,8.573823529411765,10.15470588235294,100,2020.1764705882354,2020.1764705882354,day,gram,milliliter,NA,NA
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_042,GUAN_042.basePlot.bgc,tower,36,8.501388888888888,10.125277777777779,100,2020.3333333333333,2020.3333333333333,day,gram,milliliter,NA,NA
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_043,GUAN_043.basePlot.bgc,tower,36,8.460277777777778,10.1025,100,2020.3333333333333,2020.3333333333333,day,gram,milliliter,NA,NA
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_048,GUAN_048.basePlot.bgc,tower,36,8.733333333333334,10.095833333333333,100,2020.3333333333333,2020.3333333333333,day,gram,milliliter,NA,NA
DP1.10086.001,GUAN,ntr_internalLab,2018-2024,GUAN,GUAN_049,GUAN_049.basePlot.bgc,tower,34,8.865882352941176,10.126470588235295,100,2020.1764705882354,2020.1764705882354,day,gram,milliliter,NA,NA
