dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,horizon,sampleTopDepth,sampleBottomDepth,sampleExtent,n_raw_records,coreCoordinateX_mean_2018_2024,coreCoordinateY_mean_2018_2024,decimalLatitude_mean_2018_2024,decimalLongitude_mean_2018_2024,coordinateUncertainty_mean_2018_2024,elevation_mean_2018_2024,elevationUncertainty_mean_2018_2024,standingWaterDepth_mean_2018_2024,soilTemp_mean_2018_2024,litterDepth_mean_2018_2024,soilCoreCount_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,coreCoordinateX_mean_2018_2024_unit,coreCoordinateY_mean_2018_2024_unit,decimalLatitude_mean_2018_2024_unit,decimalLongitude_mean_2018_2024_unit,coordinateUncertainty_mean_2018_2024_unit,elevation_mean_2018_2024_unit,elevationUncertainty_mean_2018_2024_unit,standingWaterDepth_mean_2018_2024_unit,soilTemp_mean_2018_2024_unit,litterDepth_mean_2018_2024_unit,soilCoreCount_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,5,entire,1,12,7,39.075067,-96.555874,20.1,437.8,0.15,0,21.1,0,1,2022,2022,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,6.7,entire,1,36.5,12.5,39.075067,-96.555874,20.1,437.8,0.15,0,16.8,0.3,3,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,6.8,entire,1,1.5,14,39.075067,-96.555874,20.1,437.8,0.15,0,8.3,0,3,2018,2018,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,7,entire,2,35,32.25,39.075067,-96.555874,20.1,437.8,0.15,0,18.85,2.75,2,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,7,obstruction,2,22.25,27,39.075067,-96.555874,20.1,437.8,0.15,0,17.85,0.25,2,2022,2022,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,7.3,obstruction,1,26,36,39.075067,-96.555874,20.1,437.8,0.15,0,14.7,1,4,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,7.7,entire,1,38.5,7,39.075067,-96.555874,20.1,437.8,0.15,0,9,0,3,2018,2018,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,8.3,entire,2,3.25,20.25,39.075067,-96.555874,20.1,437.8,0.15,0,10.5,3,3,2020.5,2020.5,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,8.6,entire,1,8,14,39.075067,-96.555874,20.1,437.8,0.15,0,24.5,0,3,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,KONZ,sls_soilCoreCollection,2018-2024,KONZ,KONZ_001,KONZ_001.basePlot.bgc,distributed,M,0,8.7,entire,1,31.5,28.5,39.075067,-96.555874,20.1,437.8,0.15,0,13.2,0,3,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
