dpID,site,table,years_averaged,siteID,plotID,namedLocation,horizon,n_raw_records,soilInWaterpH_mean_2018_2024,soilInCaClpH_mean_2018_2024,pHSoilInWaterMass_mean_2018_2024,pHWaterVol_mean_2018_2024,waterpHRatio_mean_2018_2024,pHSoilInCaClMass_mean_2018_2024,pHCaClVol_mean_2018_2024,caclpHRatio_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,soilInWaterpH_mean_2018_2024_unit,soilInCaClpH_mean_2018_2024_unit,pHSoilInWaterMass_mean_2018_2024_unit,pHWaterVol_mean_2018_2024_unit,waterpHRatio_mean_2018_2024_unit,pHSoilInCaClMass_mean_2018_2024_unit,pHCaClVol_mean_2018_2024_unit,caclpHRatio_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,M,24,4.824583333333333,3.97,10.0125,17.916666666666668,1.7875,10.020833333333334,27.520833333333336,2.7583333333333333,2021.1666666666667,2021.1666666666667,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_001,NIWO_001.basePlot.bgc,O,47,4.645531914893617,4.004255319148936,4.787234042553192,33.329787234042556,7.080851063829787,4.802127659574468,56.91489361702128,11.895744680851063,2021.1489361702127,2021.1489361702127,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_002,NIWO_002.basePlot.bgc,M,26,4.639230769230769,3.8965384615384617,10.053846153846154,15.019230769230768,1.5038461538461538,10.069230769230769,23.076923076923077,2.2846153846153845,2021.3076923076924,2021.3076923076924,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_002,NIWO_002.basePlot.bgc,O,47,4.544042553191489,3.841276595744681,4.691489361702128,35.27659574468085,7.727659574468085,4.691489361702128,55.670212765957444,12.13404255319149,2021.1914893617022,2021.1914893617022,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_003,NIWO_003.basePlot.bgc,M,50,5.9784,5.1986,10.052,17.270000000000003,1.7220000000000002,10.042,26.8,2.664,2020.9,2020.9,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_003,NIWO_003.basePlot.bgc,O,6,6.0600000000000005,5.145,5.3,20,3.816666666666667,5.3,40,7.566666666666666,2022,2022,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_004,NIWO_004.basePlot.bgc,M,37,5.174594594594595,4.209729729729729,10.070270270270271,14.324324324324326,1.4324324324324325,10.075675675675676,23.243243243243242,2.310810810810811,2021.2432432432433,2021.2432432432433,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_004,NIWO_004.basePlot.bgc,O,13,4.9715384615384615,4.3730769230769235,4.707692307692308,36.92307692307692,8.676923076923076,4.707692307692308,58.46153846153846,12.96923076923077,2020.6923076923076,2020.6923076923076,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_005,NIWO_005.basePlot.bgc,M,35,5.057428571428572,4.179714285714286,10.085714285714285,15.442857142857143,1.542857142857143,10.09142857142857,24.571428571428573,2.4457142857142857,2021.142857142857,2021.142857142857,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_005,NIWO_005.basePlot.bgc,O,29,5.165172413793104,4.603103448275862,4.834482758620689,34.48275862068966,7.431034482758621,4.820689655172414,57.94827586206897,12.155172413793103,2021.344827586207,2021.344827586207,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_006,NIWO_006.basePlot.bgc,M,39,5.931538461538461,5.294871794871795,9.861538461538462,21.794871794871796,2.2512820512820513,9.84871794871795,33.35897435897436,3.4717948717948715,2021.1025641025642,2021.1025641025642,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
DP1.10086.001,NIWO,sls_soilpH,2018-2024,NIWO,NIWO_006,NIWO_006.basePlot.bgc,O,14,6.522857142857143,5.854285714285714,5.242857142857143,24.321428571428573,4.65,5.242857142857143,45.714285714285715,8.7,2021,2021,pH,pH,gram,milliliter,NA,gram,milliliter,NA,NA,NA
