dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,n_raw_records,d15N_mean_2018_2024,organicd13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,organicCPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,organicd13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,organicCPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_001,SERC_001.basePlot.bgc,distributed,3,3,-26.46666666666667,0.12000000000000001,1.4533333333333334,12.033333333333333,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_002,SERC_002.basePlot.bgc,distributed,3,3.5,-26.466666666666665,0.11,1.2133333333333334,10.866666666666667,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_003,SERC_003.basePlot.bgc,distributed,4,1.625,-26.575,0.1075,1.415,12.8,1.25,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_004,SERC_004.basePlot.bgc,distributed,3,2.3666666666666667,-26.666666666666668,0.15,1.78,11.6,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_005,SERC_005.basePlot.bgc,distributed,3,3.966666666666667,-26.466666666666665,0.19,2.203333333333333,11.5,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_007,SERC_007.basePlot.bgc,distributed,3,5.8,-24.166666666666668,0.09666666666666666,0.8566666666666667,8.6,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_044,SERC_044.basePlot.bgc,tower,3,5.033333333333333,-26.433333333333334,0.12666666666666668,1.29,10.1,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_045,SERC_045.basePlot.bgc,tower,3,2.1666666666666665,-27.1,0.14333333333333334,1.8966666666666667,13.366666666666667,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_047,SERC_047.basePlot.bgc,tower,3,2.6,-27.333333333333332,0.13666666666666666,1.9766666666666666,14.466666666666667,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SERC,sls_soilChemistry,2018-2024,SERC,SERC_049,SERC_049.basePlot.bgc,tower,4,3.25,-26.85,0.11,1.69,15.075000000000001,1.25,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
