dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,horizon,sampleTopDepth,sampleBottomDepth,sampleExtent,n_raw_records,coreCoordinateX_mean_2018_2024,coreCoordinateY_mean_2018_2024,decimalLatitude_mean_2018_2024,decimalLongitude_mean_2018_2024,coordinateUncertainty_mean_2018_2024,elevation_mean_2018_2024,elevationUncertainty_mean_2018_2024,standingWaterDepth_mean_2018_2024,soilTemp_mean_2018_2024,litterDepth_mean_2018_2024,soilCoreCount_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,coreCoordinateX_mean_2018_2024_unit,coreCoordinateY_mean_2018_2024_unit,decimalLatitude_mean_2018_2024_unit,decimalLongitude_mean_2018_2024_unit,coordinateUncertainty_mean_2018_2024_unit,elevation_mean_2018_2024_unit,elevationUncertainty_mean_2018_2024_unit,standingWaterDepth_mean_2018_2024_unit,soilTemp_mean_2018_2024_unit,litterDepth_mean_2018_2024_unit,soilCoreCount_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,0.3,entire,1,6,18,45.487729,-89.569881,20.2,452.5,0.2,0,13.2,0,1,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,0.3,maximum,1,34,4,45.487729,-89.569881,20.2,452.5,0.2,0,13.9,0.3,1,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,23,other,1,38,1.5,45.487729,-89.569881,20.2,452.5,0.2,0,8.8,2.9,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,27,other,1,14.5,2,45.487729,-89.569881,20.2,452.5,0.2,0,9,3.9,1,2024,2024,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,28.8,maximum,1,13.5,4,45.487729,-89.569881,20.2,452.5,0.2,0,18.7,3.8,1,2020,2020,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,29,maximum,3,21.666666666666668,26,45.487729,-89.569881,20.2,452.5,0.2,0,16.833333333333332,3.066666666666667,1,2021.3333333333333,2021.3333333333333,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,29,NA,1,39,24.5,45.487729,-89.569881,20.2,452.5,0.2,0,7.6,4,1,2018,2018,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,29.1,maximum,1,34,5.5,45.487729,-89.569881,20.2,452.5,0.2,0,11.5,5.6,1,2019,2019,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,29.5,maximum,2,19.25,20.25,45.487729,-89.569881,20.2,452.5,0.2,0,14.25,3.5999999999999996,1,2019.5,2019.5,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,29.6,maximum,3,13.166666666666666,17.166666666666668,45.487729,-89.569881,20.2,452.5,0.2,0,7.2,3.6666666666666665,1,2019.6666666666667,2019.6666666666667,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,29.7,maximum,1,4.5,11.5,45.487729,-89.569881,20.2,452.5,0.2,0,9.5,8,1,2022,2022,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
DP1.10086.001,TREE,sls_soilCoreCollection,2018-2024,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,M,0,29.9,maximum,2,19,19.75,45.487729,-89.569881,20.2,452.5,0.2,0,6.1,2.15,1,2021,2021,meter,meter,decimalDegree,decimalDegree,meter,meter,meter,centimeter,degree,centimeter,number,NA,NA
