dpID,site,table,years_averaged,siteID,plotID,namedLocation,n_raw_records,kclAmmoniumNConc_mean_2018_2024,ammoniumNRepNum_mean_2018_2024,kclNitrateNitriteNConc_mean_2018_2024,nitrateNitriteNRepNum_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,kclAmmoniumNConc_mean_2018_2024_unit,ammoniumNRepNum_mean_2018_2024_unit,kclNitrateNitriteNConc_mean_2018_2024_unit,nitrateNitriteNRepNum_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_002,YELL_002.basePlot.bgc,28,0.21282142857142858,1.0714285714285714,0.14200000000000002,1.0714285714285714,2021.7142857142858,2021.7142857142858,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_003,YELL_003.basePlot.bgc,24,0.1635,1,0.15295833333333334,1,2021.5,2021.5,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_005,YELL_005.basePlot.bgc,26,0.11242307692307692,1.0769230769230769,0.10326923076923077,1.0769230769230769,2021.5,2021.5,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_009,YELL_009.basePlot.bgc,24,0.15191666666666667,1.0833333333333333,0.06566666666666666,1.0833333333333333,2021.375,2021.375,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_012,YELL_012.basePlot.bgc,26,0.1615769230769231,1,0.06557692307692307,1,2021.6153846153845,2021.6153846153845,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_016,YELL_016.basePlot.bgc,24,0.17754166666666665,1.1666666666666667,0.18154166666666666,1.1666666666666667,2021.25,2021.25,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_046,YELL_046.basePlot.bgc,22,0.25795454545454544,1,0.10345454545454545,1,2021.3636363636363,2021.3636363636363,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_048,YELL_048.basePlot.bgc,20,0.6784,1,0.08635000000000001,1,2021.2,2021.2,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_051,YELL_051.basePlot.bgc,22,0.17995238095238095,1.0476190476190477,0.12927272727272726,1.0909090909090908,2021.3636363636363,2021.3636363636363,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,YELL_052,YELL_052.basePlot.bgc,24,0.3534583333333333,1.1666666666666667,0.12143478260869565,1.1304347826086956,2021.125,2021.125,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
DP1.10086.001,YELL,ntr_externalLab,2018-2024,YELL,NA,YELL,93,0.01896774193548386,1.032258064516129,0.03108235294117647,1.032258064516129,2021.6451612903227,2021.6451612903227,milligramsPerLiter,number,milligramsPerLiter,number,NA,NA
