uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
fa7da61c-8685-42e2-ad40-5682cbda0952,D18,BARR,BARR_054,BARR_054.basePlot.bgc,tower,sedgeHerbaceous,NA,30,6.5,WGS84,71.280858,-156.636941,20,6,0.01,NEON.DOC.014048vL,2019-08-13T20:25:00Z,2019-08-13T20:25:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_054-O-30-6.5-20190813,NA,NA,O,NA,3.3,0,0,27,maximum,brownie cutter,1,NA,NA,NA,NA,BARR_054-O-30-6.5-20190813-GA1,C00000054114,NA,BARR_054-O-30-6.5-20190813-GA2,C00000054106,NA,BARR_054-O-30-6.5-20190813-GA3,C00000053936,NA,BARR_054-O-30-6.5-20190813-GA4,C00000053944,NA,BARR_054-O-30-6.5-20190813-GA5,C00000054105,NA,NA,NA,NA,NA,NA,NA,0000-0002-3121-1658,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
8156dd85-ef9a-4e25-b76d-dffdc3b64658,D18,BARR,BARR_054,BARR_054.basePlot.bgc,tower,sedgeHerbaceous,NA,4,24.5,WGS84,71.280858,-156.636941,20,6,0.01,NEON.DOC.004130vD,2019-08-13T20:40:00Z,2019-08-13T20:40:00Z,peakGreenness,NA,NA,10,No,microbes,NA,no incubation,NA,BARR_054-O-4-24.5-20190813,NA,NA,O,NA,NA,0,0,37.5,maximum,brownie cutter,1,NA,NA,NA,NA,BARR_054-O-4-24.5-20190813-GA1,C00000054096,NA,BARR_054-O-4-24.5-20190813-GA2,C00000054112,NA,BARR_054-O-4-24.5-20190813-GA3,C00000053937,NA,BARR_054-O-4-24.5-20190813-GA4,C00000053942,NA,BARR_054-O-4-24.5-20190813-GA5,C00000054103,NA,NA,NA,NA,NA,NA,Hit active layer,0000-0002-3121-1658,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
69330c5b-7631-4938-9a28-c40c09daf551,D18,BARR,BARR_054,BARR_054.basePlot.bgc,tower,sedgeHerbaceous,NA,30.5,32.5,WGS84,71.280858,-156.636941,20,6,0.01,NEON.DOC.004130vD,2019-08-13T21:15:00Z,2019-08-13T21:15:00Z,peakGreenness,NA,NA,17,No,microbes,NA,no incubation,NA,BARR_054-O-30.5-32.5-20190813,NA,NA,O,NA,NA,0,0,37,maximum,brownie cutter,1,NA,NA,NA,NA,BARR_054-O-30.5-32.5-20190813-GA1,C00000054095,NA,BARR_054-O-30.5-32.5-20190813-GA2,C00000053931,NA,BARR_054-O-30.5-32.5-20190813-GA3,C00000053940,NA,BARR_054-O-30.5-32.5-20190813-GA4,C00000053941,NA,BARR_054-O-30.5-32.5-20190813-GA5,C00000054102,NA,NA,NA,NA,NA,NA,Hit active layer,0000-0002-3121-1658,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
ac0d4fd9-a3b4-4d9e-afb5-8900dbad6832,D18,BARR,BARR_052,BARR_052.basePlot.bgc,tower,emergentHerbaceousWetlands,NA,38.5,0,WGS84,71.281336,-156.603652,20,5.4,0.03,NEON.DOC.014048vL,2019-08-13T22:31:00Z,2019-08-13T22:31:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_052-O-38.5-0-20190813,NA,NA,O,NA,4.8,0,0,20,entire,brownie cutter,1,NA,NA,NA,NA,BARR_052-O-38.5-0-20190813-GA1,C00000054118,NA,BARR_052-O-38.5-0-20190813-GA2,C00000053926,NA,BARR_052-O-38.5-0-20190813-GA3,C00000053935,NA,BARR_052-O-38.5-0-20190813-GA4,C00000053928,NA,BARR_052-O-38.5-0-20190813-GA5,C00000053922,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
40cc0f74-cb8c-48a4-b58e-e184cec3bca5,D18,BARR,BARR_052,BARR_052.basePlot.bgc,tower,emergentHerbaceousWetlands,NA,7,3.5,WGS84,71.281336,-156.603652,20,5.4,0.03,NEON.DOC.014048vL,2019-08-13T22:39:00Z,2019-08-13T22:39:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_052-O-7-3.5-20190813,NA,NA,O,NA,4.6,0,0,34.3,maximum,brownie cutter,1,NA,NA,NA,NA,BARR_052-O-7-3.5-20190813-GA1,C00000054098,NA,BARR_052-O-7-3.5-20190813-GA2,C00000054100,NA,BARR_052-O-7-3.5-20190813-GA3,C00000053934,NA,BARR_052-O-7-3.5-20190813-GA4,C00000053925,NA,BARR_052-O-7-3.5-20190813-GA5,C00000053930,NA,NA,NA,NA,NA,NA,Hit active layer,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
4146894e-dd8a-4bab-a64d-e749d6ba155f,D18,BARR,BARR_052,BARR_052.basePlot.bgc,tower,emergentHerbaceousWetlands,NA,31.5,36,WGS84,71.281336,-156.603652,20,5.4,0.03,NEON.DOC.014048vL,2019-08-13T23:11:00Z,2019-08-13T23:11:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_052-O-31.5-36-20190813,NA,NA,O,NA,3.1,0,0,20.5,entire,brownie cutter,1,NA,NA,NA,NA,BARR_052-O-31.5-36-20190813-GA1,C00000054097,NA,BARR_052-O-31.5-36-20190813-GA2,C00000053933,NA,BARR_052-O-31.5-36-20190813-GA3,C00000053943,NA,BARR_052-O-31.5-36-20190813-GA4,C00000053939,NA,BARR_052-O-31.5-36-20190813-GA5,C00000053929,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
8a8f07c2-a56d-4059-9fea-16fab350d333,D18,BARR,BARR_051,BARR_051.basePlot.bgc,tower,emergentHerbaceousWetlands,NA,1,13.5,WGS84,71.285604,-156.607878,20,5.3,0.01,NEON.DOC.004130vD,2019-08-14T01:15:00Z,2019-08-14T01:15:00Z,peakGreenness,NA,NA,10,No,microbes,NA,no incubation,NA,BARR_051-O-1-13.5-20190813,NA,NA,O,NA,NA,0,0,23,entire,brownie cutter,1,NA,NA,NA,NA,BARR_051-O-1-13.5-20190813-GA1,C00000053923,NA,BARR_051-O-1-13.5-20190813-GA2,C00000053924,NA,BARR_051-O-1-13.5-20190813-GA3,C00000054115,NA,BARR_051-O-1-13.5-20190813-GA4,C00000054015,NA,BARR_051-O-1-13.5-20190813-GA5,C00000054008,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
033cbd6b-39cc-480a-83ca-4b98bf12ceb9,D18,BARR,BARR_053,BARR_053.basePlot.bgc,tower,emergentHerbaceousWetlands,NA,2,12,WGS84,71.285301,-156.605382,20,5.5,0.02,NEON.DOC.014048vL,2019-08-14T01:20:00Z,2019-08-14T01:20:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_053-O-2-12-20190813,NA,NA,O,NA,3.4,0,0,24.7,maximum,brownie cutter,1,NA,NA,NA,NA,BARR_053-O-2-12-20190813-GA1,C00000053992,NA,BARR_053-O-2-12-20190813-GA2,C00000053990,NA,BARR_053-O-2-12-20190813-GA3,C00000053975,NA,BARR_053-O-2-12-20190813-GA4,C00000053972,NA,BARR_053-O-2-12-20190813-GA5,C00000053988,NA,NA,NA,NA,NA,NA,Hit active layer,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
279dbafa-26c0-45eb-accb-343fe28cbb4e,D18,BARR,BARR_051,BARR_051.basePlot.bgc,tower,emergentHerbaceousWetlands,NA,27,37.5,WGS84,71.285604,-156.607878,20,5.3,0.01,NEON.DOC.014048vL,2019-08-14T01:35:00Z,2019-08-14T01:35:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_051-O-27-37.5-20190813,NA,NA,O,NA,3,0,0,20.7,maximum,brownie cutter,1,NA,NA,NA,NA,BARR_051-O-27-37.5-20190813-GA1,C00000053920,NA,BARR_051-O-27-37.5-20190813-GA2,C00000053921,NA,BARR_051-O-27-37.5-20190813-GA3,C00000054101,NA,BARR_051-O-27-37.5-20190813-GA4,C00000054005,NA,BARR_051-O-27-37.5-20190813-GA5,C00000054113,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
993e4fd3-7359-4948-b46a-0feb28a08fe9,D18,BARR,BARR_053,BARR_053.basePlot.bgc,tower,emergentHerbaceousWetlands,NA,39.5,0,WGS84,71.285301,-156.605382,20,5.5,0.02,NEON.DOC.004130vD,2019-08-14T01:50:00Z,2019-08-14T01:50:00Z,peakGreenness,NA,NA,9,No,microbes,NA,no incubation,NA,BARR_053-O-39.5-0-20190813,NA,NA,O,NA,NA,0,0,32,entire,brownie cutter,1,NA,NA,NA,NA,BARR_053-O-39.5-0-20190813-GA1,C00000053971,NA,BARR_053-O-39.5-0-20190813-GA2,C00000053989,NA,BARR_053-O-39.5-0-20190813-GA3,C00000053980,NA,BARR_053-O-39.5-0-20190813-GA4,C00000053982,NA,BARR_053-O-39.5-0-20190813-GA5,C00000053987,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
e4632b01-c7c1-4944-a1e0-ff864a46b1ae,D18,BARR,BARR_051,BARR_051.basePlot.bgc,tower,emergentHerbaceousWetlands,NA,33.5,11,WGS84,71.285604,-156.607878,20,5.3,0.01,NEON.DOC.014048vL,2019-08-14T02:01:00Z,2019-08-14T02:01:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_051-O-33.5-11-20190813,NA,NA,O,NA,4,0,0,13,entire,brownie cutter,2,NA,NA,NA,NA,BARR_051-O-33.5-11-20190813-GA1,C00000053932,NA,BARR_051-O-33.5-11-20190813-GA2,C00000053927,NA,BARR_051-O-33.5-11-20190813-GA3,C00000053938,NA,BARR_051-O-33.5-11-20190813-GA4,C00000054107,NA,BARR_051-O-33.5-11-20190813-GA5,C00000054104,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
bea0a5d2-0bc0-463f-9f18-f1d219a3fe73,D18,BARR,BARR_053,BARR_053.basePlot.bgc,tower,emergentHerbaceousWetlands,NA,5.5,35.5,WGS84,71.285301,-156.605382,20,5.5,0.02,NEON.DOC.014048vL,2019-08-14T02:10:00Z,2019-08-14T02:10:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_053-O-5.5-35.5-20190813,NA,NA,O,NA,3.7,0,0,25.6,entire,brownie cutter,1,NA,NA,NA,NA,BARR_053-O-5.5-35.5-20190813-GA1,C00000053973,NA,BARR_053-O-5.5-35.5-20190813-GA2,C00000053986,NA,BARR_053-O-5.5-35.5-20190813-GA3,C00000053976,NA,BARR_053-O-5.5-35.5-20190813-GA4,C00000053983,NA,BARR_053-O-5.5-35.5-20190813-GA5,C00000053981,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
30b7feed-f06d-4983-ba05-3f5049c3b6d8,D18,BARR,BARR_001,BARR_001.basePlot.bgc,distributed,sedgeHerbaceous,NA,32.5,15,WGS84,71.244105,-156.421392,20.1,5.7,0.1,NEON.DOC.004130vD,2019-08-14T19:15:00Z,2019-08-14T19:15:00Z,peakGreenness,NA,NA,9,No,microbes,NA,no incubation,NA,BARR_001-O-32.5-15-20190814,NA,NA,O,NA,NA,0,0,13.2,entire,brownie cutter,1,NA,NA,NA,NA,BARR_001-O-32.5-15-20190814-GA1,C00000053995,NA,BARR_001-O-32.5-15-20190814-GA2,C00000054012,NA,BARR_001-O-32.5-15-20190814-GA3,C00000054001,NA,BARR_001-O-32.5-15-20190814-GA4,C00000054016,NA,BARR_001-O-32.5-15-20190814-GA5,C00000053997,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
b5ece732-28c6-404e-bda1-b8a24e6ed165,D18,BARR,BARR_005,BARR_005.basePlot.bgc,distributed,sedgeHerbaceous,NA,36,6,WGS84,71.242584,-156.311981,20.1,4,0.1,NEON.DOC.004130vD,2019-08-14T19:42:00Z,2019-08-14T19:42:00Z,peakGreenness,NA,NA,7,No,microbes,NA,no incubation,NA,BARR_005-O-36-6-20190814,NA,NA,O,NA,NA,0,0,29.7,maximum,brownie cutter,1,NA,NA,NA,NA,BARR_005-O-36-6-20190814-GA1,C00000053897,NA,BARR_005-O-36-6-20190814-GA2,C00000053895,NA,BARR_005-O-36-6-20190814-GA3,C00000053904,NA,BARR_005-O-36-6-20190814-GA4,C00000053915,NA,BARR_005-O-36-6-20190814-GA5,C00000053901,NA,NA,NA,NA,NA,NA,Hit active layer,0000-0002-3121-1658,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
0054008b-9c7d-4c65-b4fb-ac7c61300680,D18,BARR,BARR_001,BARR_001.basePlot.bgc,distributed,sedgeHerbaceous,NA,30.5,21.5,WGS84,71.244105,-156.421392,20.1,5.7,0.1,NEON.DOC.004130vD,2019-08-14T19:50:00Z,2019-08-14T19:50:00Z,peakGreenness,NA,NA,8,No,microbes,NA,no incubation,NA,BARR_001-O-30.5-21.5-20190814,NA,NA,O,NA,NA,0,0,15.7,entire,brownie cutter,1,NA,NA,NA,NA,BARR_001-O-30.5-21.5-20190814-GA1,C00000054019,NA,BARR_001-O-30.5-21.5-20190814-GA2,C00000054018,NA,BARR_001-O-30.5-21.5-20190814-GA3,C00000054004,NA,BARR_001-O-30.5-21.5-20190814-GA4,C00000054017,NA,BARR_001-O-30.5-21.5-20190814-GA5,C00000054006,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
fcb5561e-323f-4a83-bad4-5e39ee80f15a,D18,BARR,BARR_005,BARR_005.basePlot.bgc,distributed,sedgeHerbaceous,NA,4.5,38.5,WGS84,71.242584,-156.311981,20.1,4,0.1,NEON.DOC.014048vL,2019-08-14T20:00:00Z,2019-08-14T20:00:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_005-O-4.5-38.5-20190814,NA,NA,O,NA,4.1,0,0,28.3,maximum,brownie cutter,1,NA,NA,NA,NA,BARR_005-O-4.5-38.5-20190814-GA1,C00000053900,NA,BARR_005-O-4.5-38.5-20190814-GA2,C00000053903,NA,BARR_005-O-4.5-38.5-20190814-GA3,C00000053910,NA,BARR_005-O-4.5-38.5-20190814-GA4,C00000053909,NA,BARR_005-O-4.5-38.5-20190814-GA5,C00000053912,NA,NA,NA,NA,NA,NA,Hit active layer,0000-0002-3121-1658,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
fbe18ff9-e89a-406b-b0f9-b1700e807812,D18,BARR,BARR_001,BARR_001.basePlot.bgc,distributed,sedgeHerbaceous,NA,1,27,WGS84,71.244105,-156.421392,20.1,5.7,0.1,NEON.DOC.014048vL,2019-08-14T20:20:00Z,2019-08-14T20:20:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_001-O-1-27-20190814,NA,NA,O,NA,4.6,0,0,33,entire,brownie cutter,1,NA,NA,NA,NA,BARR_001-O-1-27-20190814-GA1,C00000053998,NA,BARR_001-O-1-27-20190814-GA2,C00000054014,NA,BARR_001-O-1-27-20190814-GA3,C00000053996,NA,BARR_001-O-1-27-20190814-GA4,C00000054009,NA,BARR_001-O-1-27-20190814-GA5,C00000054002,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
45524c3a-9d5d-4c1e-aebd-f866f4833f36,D18,BARR,BARR_005,BARR_005.basePlot.bgc,distributed,sedgeHerbaceous,NA,32,39,WGS84,71.242584,-156.311981,20.1,4,0.1,NEON.DOC.014048vL,2019-08-14T20:30:00Z,2019-08-14T20:30:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_005-O-32-39-20190814,NA,NA,O,NA,4.5,0,0,5.5,entire,brownie cutter,3,NA,NA,NA,NA,BARR_005-O-32-39-20190814-GA1,C00000053896,NA,BARR_005-O-32-39-20190814-GA2,C00000053898,NA,BARR_005-O-32-39-20190814-GA3,C00000053913,NA,BARR_005-O-32-39-20190814-GA4,C00000053906,NA,BARR_005-O-32-39-20190814-GA5,C00000053902,NA,NA,NA,NA,NA,NA,NA,0000-0002-3121-1658,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
8d15f49d-ac2d-4b9f-8b48-58ef328ff41e,D18,BARR,BARR_006,BARR_006.basePlot.bgc,distributed,sedgeHerbaceous,NA,23.5,2.5,WGS84,71.258067,-156.602012,20,7.9,0.03,NEON.DOC.014048vL,2019-08-14T22:30:00Z,2019-08-14T22:30:00Z,peakGreenness,NA,NA,0,No,microbes,NA,no incubation,NA,BARR_006-O-23.5-2.5-20190814,NA,NA,O,NA,2.6,0,0,26.5,entire,brownie cutter,1,NA,NA,NA,NA,BARR_006-O-23.5-2.5-20190814-GA1,C00000054037,NA,BARR_006-O-23.5-2.5-20190814-GA2,C00000054029,NA,BARR_006-O-23.5-2.5-20190814-GA3,C00000054030,NA,BARR_006-O-23.5-2.5-20190814-GA4,C00000054022,NA,BARR_006-O-23.5-2.5-20190814-GA5,C00000054042,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
ce06e184-a401-4a17-ae6d-b9cf2c0695ac,D18,BARR,BARR_006,BARR_006.basePlot.bgc,distributed,sedgeHerbaceous,NA,2.5,35,WGS84,71.258067,-156.602012,20,7.9,0.03,NEON.DOC.004130vD,2019-08-14T23:00:00Z,2019-08-14T23:00:00Z,peakGreenness,NA,NA,6,No,microbes,NA,no incubation,NA,BARR_006-O-2.5-35-20190814,NA,NA,O,NA,NA,0,0,14.2,entire,brownie cutter,1,NA,NA,NA,NA,BARR_006-O-2.5-35-20190814-GA1,C00000054024,NA,BARR_006-O-2.5-35-20190814-GA2,C00000054031,NA,BARR_006-O-2.5-35-20190814-GA3,C00000054040,NA,BARR_006-O-2.5-35-20190814-GA4,C00000054027,NA,BARR_006-O-2.5-35-20190814-GA5,C00000054034,NA,NA,NA,NA,NA,NA,NA,0000-0002-8470-9898,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,BARR,2019,sls_soilCoreCollection
