uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
a1823cc3-dbea-44ab-82d2-eba1bcfdedb1,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-05-15T16:37:00Z,2019-05-15T16:37:00Z,NEON.DOC.014048vL,DELA_003-M-14-3.5-20190515,A00000082209,DELA_003-M-14-3.5-20190515-KCL,B00000004874,DELA_003-M-14-3.5,tInitial,0,2019-05-16T13:43:00Z,DELA-20190516-BRef1,10.07,100,2019-05-16T18:00:00Z,OK,NA,0000-0002-8839-6825,0000-0002-6443-1841,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
c8a259c9-e7ee-46b8-88ae-b52c5b28af48,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-05-15T16:59:00Z,2019-05-15T16:59:00Z,NEON.DOC.014048vL,DELA_003-M-31-26.5-20190515,A00000082229,DELA_003-M-31-26.5-20190515-KCL,B00000004873,DELA_003-M-31-26.5,tInitial,0,2019-05-16T13:31:00Z,DELA-20190516-BRef1,10.06,98,2019-05-16T18:00:00Z,OK,NA,0000-0002-8839-6825,0000-0002-6443-1841,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
b6aa0591-0996-4459-8048-62dbb571fe7e,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-05-15T17:26:00Z,2019-05-15T17:26:00Z,NEON.DOC.014048vL,DELA_003-M-12-34.5-20190515,A00000082225,DELA_003-M-12-34.5-20190515-KCL,B00000004871,DELA_003-M-12-34.5,tInitial,0,2019-05-16T14:06:00Z,DELA-20190516-BRef1,10.08,100,2019-05-16T18:00:00Z,OK,NA,0000-0002-8839-6825,0000-0002-6443-1841,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
d9005276-481b-4f51-a432-cbf8cff09913,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-05-15T16:37:00Z,2019-06-03T14:28:00Z,NEON.DOC.014048vL,DELA_003-M-14-3.5-20190603,A00000082192,DELA_003-M-14-3.5-20190603-KCL,B00000004913,DELA_003-M-14-3.5,tFinal,18.91,2019-06-04T15:58:00Z,DELA-20190604-BRef1,9.6,100,2019-06-04T20:00:00Z,OK,NA,0000-0002-6443-1841,0000-0002-5456-2901,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
d6192a2a-ca27-4245-9fb8-7018669eee42,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-05-15T16:59:00Z,2019-06-03T14:32:00Z,NEON.DOC.014048vL,DELA_003-M-31-26.5-20190603,A00000048085,DELA_003-M-31-26.5-20190603-KCL,B00000004912,DELA_003-M-31-26.5,tFinal,18.9,2019-06-04T15:38:00Z,DELA-20190604-BRef1,10.26,100,2019-06-04T19:00:00Z,OK,NA,0000-0002-6443-1841,0000-0002-5456-2901,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
0c561a3e-64b3-479f-b880-544849a43cb7,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-05-15T17:26:00Z,2019-06-03T14:36:00Z,NEON.DOC.014048vL,DELA_003-M-12-34.5-20190603,A00000082208,DELA_003-M-12-34.5-20190603-KCL,B00000004911,DELA_003-M-12-34.5,tFinal,18.88,2019-06-04T16:04:00Z,DELA-20190604-BRef1,10.43,100,2019-06-04T19:00:00Z,OK,NA,0000-0002-6443-1841,0000-0002-5456-2901,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
c0317246-33c5-4cfc-a9eb-ec3c16737bfc,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-06-26T13:51:00Z,2019-06-26T13:51:00Z,NEON.DOC.014048vL,DELA_003-M-0.5-9.5-20190626,A00000084401,DELA_003-M-0.5-9.5-20190626-KCL,B00000005029,DELA_003-M-0.5-9.5,tInitial,0,2019-06-27T15:02:00Z,DELA-20190627-BRef1,10.07,100,2019-06-27T19:00:00Z,OK,NA,0000-0002-8839-6825,0000-0002-6443-1841,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
1d646193-a206-45ad-81d1-833d9c224dae,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-06-26T14:08:00Z,2019-06-26T14:08:00Z,NEON.DOC.014048vL,DELA_003-M-6.5-25.5-20190626,A00000084402,DELA_003-M-6.5-25.5-20190626-KCL,B00000005028,DELA_003-M-6.5-25.5,tInitial,0,2019-06-27T14:45:00Z,DELA-20190627-BRef1,10.04,100,2019-06-27T19:00:00Z,OK,NA,0000-0002-8839-6825,0000-0002-6443-1841,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
f7499511-7ca1-42e8-872f-62329d2503dd,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-06-26T14:21:00Z,2019-06-26T14:21:00Z,NEON.DOC.014048vL,DELA_003-M-24-33-20190626,A00000084404,DELA_003-M-24-33-20190626-KCL,B00000005030,DELA_003-M-24-33,tInitial,0,2019-06-27T15:06:00Z,DELA-20190627-BRef1,9.95,100,2019-06-27T19:00:00Z,OK,NA,0000-0002-8839-6825,0000-0002-6443-1841,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
8e77c485-7b6a-499e-8883-1c4719484d5f,DELA_003.basePlot.bgc,D08,DELA,DELA_003,distributed,2019-11-13T18:53:00Z,2019-11-13T18:53:00Z,NEON.DOC.014048vL,DELA_003-M-7.5-8-20191113,A00000145258,DELA_003-M-7.5-8-20191113-KCL,B00000056201,DELA_003-M-7.5-8,tInitial,0,2019-11-14T15:42:00Z,DELA-20191114-BRef2,10.11,100,2019-11-14T21:00:00Z,OK,NA,0000-0002-8839-6825,0000-0002-8528-4289,NA,20251217T193554Z,RELEASE-2026,DP1.10086.001,DELA,2019,ntr_internalLab
