uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
8a8b3127-751a-45d2-8532-31e8d722ad00,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-07-08T16:27:00Z,2021-07-08T16:27:00Z,NEON.DOC.014048vN,OSBS_005-O-39-32-20210708,A00000315890,OSBS_005-O-39-32-20210708-KCL,B00000065466,OSBS_005-O-39-32,tInitial,0,2021-07-09T15:00:00Z,OSBS-20210709-BRef2,5.08,50,2021-07-09T16:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
48e67f64-8449-42ca-a161-4fc5e4c492b1,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-07-08T16:27:00Z,2021-07-26T19:20:00Z,NEON.DOC.014048vN,OSBS_005-O-39-32-20210726,A00000140551,OSBS_005-O-39-32-20210726-KCL,B00000065420,OSBS_005-O-39-32,tFinal,18.12,2021-07-28T14:00:00Z,OSBS-20210728-BRef2,4.99,50,2021-07-28T15:00:00Z,OK,NA,0000-0001-8642-686X,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
ae4ca1f1-26d7-42b5-b1fd-7fc7230e8dbc,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-07-08T16:50:00Z,2021-07-08T16:50:00Z,NEON.DOC.014048vN,OSBS_005-O-35-17-20210708,A00000315892,OSBS_005-O-35-17-20210708-KCL,B00000065467,OSBS_005-O-35-17,tInitial,0,2021-07-09T15:00:00Z,OSBS-20210709-BRef2,5.18,50,2021-07-09T16:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
9e75c01c-df6f-43ab-8129-49d5ee570cbc,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-07-08T16:50:00Z,2021-07-26T19:34:00Z,NEON.DOC.014048vN,OSBS_005-O-35-17-20210726,A00000140568,OSBS_005-O-35-17-20210726-KCL,B00000065421,OSBS_005-O-35-17,tFinal,18.11,2021-07-28T14:00:00Z,OSBS-20210728-BRef2,5.08,50,2021-07-28T15:00:00Z,OK,NA,0000-0001-8642-686X,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
21c54da0-f2df-4500-9c37-d4a7727a371b,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-07-08T17:09:00Z,2021-07-08T17:09:00Z,NEON.DOC.014048vN,OSBS_005-O-5.5-11-20210708,A00000315891,OSBS_005-O-5.5-11-20210708-KCL,B00000065465,OSBS_005-O-5.5-11,tInitial,0,2021-07-09T15:00:00Z,OSBS-20210709-BRef2,4.99,50,2021-07-09T16:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
53b53b47-6d6f-4d88-a25c-88d7347b094c,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-07-08T17:09:00Z,2021-07-26T19:10:00Z,NEON.DOC.014048vN,OSBS_005-O-5.5-11-20210726,A00000140534,OSBS_005-O-5.5-11-20210726-KCL,B00000065419,OSBS_005-O-5.5-11,tFinal,18.08,2021-07-28T14:00:00Z,OSBS-20210728-BRef2,4.99,50,2021-07-28T15:00:00Z,OK,NA,0000-0001-8642-686X,0000-0001-6893-5601,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
7039c3e6-0240-4f58-a702-5c299a3799bb,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-03-17T12:43:00Z,2021-03-17T12:43:00Z,NEON.DOC.014048vN,OSBS_005-O-19.5-6.5-20210317,A00000315834,OSBS_005-O-19.5-6.5-20210317-KCL,B00000064782,OSBS_005-O-19.5-6.5,tInitial,0,2021-03-17T19:49:00Z,OSBS-20210317-BRef1,10.04,100,2021-03-17T21:00:00Z,OK,NA,0000-0001-8642-686X,0000-0001-9827-4562,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
98b71148-8e07-4d58-a744-203933f26398,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-03-17T12:43:00Z,2021-03-31T15:05:00Z,NEON.DOC.014048vN,OSBS_005-O-19.5-6.5-20210331,A00000316009,OSBS_005-O-19.5-6.5-20210331-KCL,B00000128105,OSBS_005-O-19.5-6.5,tFinal,14.1,2021-04-01T13:03:00Z,OSBS-20210401-BRef1,4.95,50,2021-04-01T16:00:00Z,OK,NA,0000-0001-8642-686X,0000-0003-2831-6405,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
559938c8-cffa-4ab9-8532-5a2db393705b,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-03-17T13:01:00Z,2021-03-17T13:01:00Z,NEON.DOC.014048vN,OSBS_005-O-36.5-25.5-20210317,A00000315833,OSBS_005-O-36.5-25.5-20210317-KCL,B00000064783,OSBS_005-O-36.5-25.5,tInitial,0,2021-03-17T19:53:00Z,OSBS-20210317-BRef1,10.3,100,2021-03-17T21:00:00Z,OK,NA,0000-0001-8642-686X,0000-0001-9827-4562,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
22916747-991b-4294-b4b6-4765db965802,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-03-17T13:01:00Z,2021-03-31T15:12:00Z,NEON.DOC.014048vN,OSBS_005-O-36.5-25.5-20210331,A00000316010,OSBS_005-O-36.5-25.5-20210331-KCL,B00000128096,OSBS_005-O-36.5-25.5,tFinal,14.09,2021-04-01T13:05:00Z,OSBS-20210401-BRef1,5.21,50,2021-04-01T16:00:00Z,OK,NA,0000-0001-8642-686X,0000-0003-2831-6405,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
a5802761-19ec-424f-89e2-43b8f762d3bf,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-03-17T13:22:00Z,2021-03-17T13:22:00Z,NEON.DOC.014048vN,OSBS_005-O-17-36.5-20210317,A00000315832,OSBS_005-O-17-36.5-20210317-KCL,B00000064781,OSBS_005-O-17-36.5,tInitial,0,2021-03-17T19:51:00Z,OSBS-20210317-BRef1,10.18,100,2021-03-17T21:00:00Z,OK,NA,0000-0001-8642-686X,0000-0001-9827-4562,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
0f618fc0-4ad5-4aea-bc6a-d3d00802317d,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-03-17T13:22:00Z,2021-03-31T15:17:00Z,NEON.DOC.014048vN,OSBS_005-O-17-36.5-20210331,A00000316011,OSBS_005-O-17-36.5-20210331-KCL,B00000128116,OSBS_005-O-17-36.5,tFinal,14.08,2021-04-01T13:02:00Z,OSBS-20210401-BRef1,5.33,50,2021-04-01T16:00:00Z,OK,NA,0000-0001-8642-686X,0000-0003-2831-6405,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
c5f3d16b-fdab-43c9-96ac-50801ebbb9ee,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-10-13T19:40:00Z,2021-10-13T19:40:00Z,NEON.DOC.014048vN,OSBS_005-O-7-5-20211013,A00000317121,OSBS_005-O-7-5-20211013-KCL,B00000128799,OSBS_005-O-7-5,tInitial,0,2021-10-14T16:55:00Z,OSBS-20211014-BRef2,5,50,2021-10-14T19:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
4bef4c87-28af-49fe-8bd9-bcabf9692a2c,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-10-13T19:40:00Z,2021-10-27T20:10:00Z,NEON.DOC.014048vN,OSBS_005-O-7-5-20211027,A00000141104,OSBS_005-O-7-5-20211027-KCL,B00000128867,OSBS_005-O-7-5,tFinal,14.02,2021-10-28T16:02:00Z,OSBS-20211028-BRef1,5.01,50,2021-10-28T18:00:00Z,OK,NA,0000-0003-0743-8788,0000-0003-0743-8788,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
4080cb87-f08b-48e2-83df-4aac4de1f353,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-10-13T20:21:00Z,2021-10-13T20:21:00Z,NEON.DOC.014048vN,OSBS_005-O-32-12-20211013,A00000317119,OSBS_005-O-32-12-20211013-KCL,B00000128800,OSBS_005-O-32-12,tInitial,0,2021-10-14T16:55:00Z,OSBS-20211014-BRef2,5.05,50,2021-10-14T19:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
01e1dd61-edd7-447d-b5d0-62f9cb244505,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-10-13T20:21:00Z,2021-10-27T20:16:00Z,NEON.DOC.014048vN,OSBS_005-O-32-12-20211027,A00000141121,OSBS_005-O-32-12-20211027-KCL,B00000128868,OSBS_005-O-32-12,tFinal,14,2021-10-28T16:03:00Z,OSBS-20211028-BRef1,5.05,50,2021-10-28T18:00:00Z,OK,NA,0000-0003-0743-8788,0000-0003-0743-8788,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
cc6f2959-2fb0-4cd8-8eba-1ce8d2f7df0e,OSBS_005.basePlot.bgc,D03,OSBS,OSBS_005,distributed,2021-10-13T20:46:00Z,2021-10-13T20:46:00Z,NEON.DOC.014048vN,OSBS_005-O-23.5-30.5-20211013,A00000317120,OSBS_005-O-23.5-30.5-20211013-KCL,B00000128801,OSBS_005-O-23.5-30.5,tInitial,0,2021-10-14T16:55:00Z,OSBS-20211014-BRef2,5.04,50,2021-10-14T19:00:00Z,OK,NA,0000-0001-6893-5601,0000-0001-6893-5601,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,OSBS,2021,ntr_internalLab
