uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
48f2741e-d834-4839-8d17-442c7610c594,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,23_400,22,8.5,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-07-10T18:56:00Z,2023-07-10T18:56:00Z,peakGreenness,OK - no known exceptions,WREF.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,WREF_071-O-23-20230710,A00000294146,N,O,OK,15,3.5,0,2,entire,brownie cutter,3,WREF_071-O-23-20230710-GEN,B00000041930,OK,dry ice,NA,D00000144285,NA,NA,D00000144332,NA,NA,D00000144323,NA,NA,D00000144328,NA,NA,D00000144306,NA,dry ice,2 mL vial,WREF_071-O-23-20230710-BM,B00000055425,OK,NA,0009-0008-6716-0515,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
f42c4a01-35cb-43be-b2ea-8b5f2bf817b0,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,23_400,22,8.5,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-07-10T18:56:00Z,2023-07-10T18:56:00Z,peakGreenness,OK - no known exceptions,WREF.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,WREF_071-M-23-20230710,A00000294168,N,M,OK,15,3.5,2,29.1,maximum,auger,1,WREF_071-M-23-20230710-GEN,B00000121497,OK,dry ice,NA,D00000207532,NA,NA,D00000207544,NA,NA,D00000207526,NA,NA,D00000144280,NA,NA,D00000207539,NA,dry ice,2 mL vial,WREF_071-M-23-20230710-BM,B00000055436,OK,NA,0009-0008-6716-0515,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
6e14105d-ed9c-4d02-8ef7-5ad424405db8,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,39_400,NA,NA,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-07-10T23:59:00Z,2023-07-10T23:59:00Z,peakGreenness,OK - no known exceptions,WREF.peakGreenness.2023,NA,tInitial,microbesBiomassBGC,logistical,NA,NA,WREF_071-39-20230710-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Did not have resources,0009-0008-6716-0515,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
21f2ef2b-faf9-4d90-9754-6b4f4c9a028d,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,21_400,NA,NA,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-07-11T00:00:00Z,2023-07-11T00:00:00Z,peakGreenness,OK - no known exceptions,WREF.peakGreenness.2023,NA,tInitial,microbesBiomassBGC,logistical,NA,NA,WREF_071-21-20230710-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not enough resources,0009-0008-6716-0515,NA,20251217T193725Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
b63a18ae-c71c-42ae-9848-ffae6f7fe8d2,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,23_400,20,0.5,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-06-05T19:40:00Z,2023-06-05T19:40:00Z,wetDryTransition,OK - schedule change but conditions met,WREF.wetDryTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,WREF_071-M-23-20230605,A00000426787,N,M,OK,12.8,1.1,0,30,maximum,auger,1,WREF_071-M-23-20230605-GEN,B00000121180,OK,dry ice,NA,D00000144075,NA,NA,D00000144056,NA,NA,D00000143896,NA,NA,D00000144078,NA,NA,D00000143889,NA,dry ice,2 mL vial,WREF_071-M-23-20230605-BM,B00000121235,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
1f95ff39-c7fc-4889-b720-e672a29e937b,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,23_400,20,0.5,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-06-05T19:40:00Z,2023-06-26T18:09:00Z,wetDryTransition,OK - no known exceptions,WREF.wetDryTransition.2023,0,tFinal,fieldOnly,OK,covered core,OK,WREF_071-M-23-20230626,A00000426981,N,M,OK,15.5,0.2,0,29,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
3892aef9-bed8-4e1e-945f-650e6cb255a8,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,21_400,10.5,6.5,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-06-05T20:07:00Z,2023-06-05T20:07:00Z,wetDryTransition,OK - schedule change but conditions met,WREF.wetDryTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,WREF_071-M-21-20230605,A00000426785,N,M,OK,12.6,1.4,0,29,maximum,auger,1,WREF_071-M-21-20230605-GEN,B00000121179,OK,dry ice,NA,D00000144103,NA,NA,D00000144091,NA,NA,D00000144063,NA,NA,D00000144135,NA,NA,D00000144110,NA,dry ice,2 mL vial,WREF_071-M-21-20230605-BM,B00000055551,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
a5efc2a6-0e90-4905-8b5b-0c35452dc1d4,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,21_400,10.5,6.5,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-06-05T20:07:00Z,2023-06-26T18:21:00Z,wetDryTransition,OK - no known exceptions,WREF.wetDryTransition.2023,0,tFinal,fieldOnly,OK,covered core,OK,WREF_071-M-21-20230626,A00000426991,N,M,OK,14.1,1.2,0,29,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
b98e41b2-ab52-4cac-9154-e3a6e0fc39c0,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,39_400,5,24,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-06-05T20:37:00Z,2023-06-05T20:37:00Z,wetDryTransition,OK - schedule change but conditions met,WREF.wetDryTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,WREF_071-M-39-20230605,A00000426792,N,M,OK,11.9,4.2,14.2,18.5,obstruction,auger,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WREF_071-M-39-20230605-BM,B00000121233,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
7fabfbc2-889c-483f-b0f4-ce4c54e02f13,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,39_400,5,24,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-06-05T20:37:00Z,2023-06-05T20:37:00Z,wetDryTransition,OK - schedule change but conditions met,WREF.wetDryTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,WREF_071-O-39-20230605,A00000426791,N,O,Thin M horizon present,11.9,4.2,0,14.2,entire,brownie cutter,1,WREF_071-O-39-20230605-GEN,B00000121181,OK,dry ice,NA,D00000144059,NA,NA,D00000144127,NA,NA,D00000144064,NA,NA,D00000144090,NA,NA,D00000144117,NA,dry ice,2 mL vial,WREF_071-O-39-20230605-BM,B00000055550,OK,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
65de9dae-8530-4cc2-acf1-ae664fcaaa43,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,39_400,5,24,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-06-05T20:37:00Z,2023-06-26T18:30:00Z,wetDryTransition,OK - no known exceptions,WREF.wetDryTransition.2023,0,tFinal,fieldOnly,OK,covered core,OK,WREF_071-O-39-20230626,A00000426983,N,O,OK,13.4,4.3,0,9,entire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
678393ec-1f60-4cb9-8766-aef65e5d65fa,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,39_400,5,24,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-06-05T20:37:00Z,2023-06-26T18:30:00Z,wetDryTransition,OK - no known exceptions,WREF.wetDryTransition.2023,0,tFinal,fieldOnly,OK,covered core,OK,WREF_071-M-39-20230626,A00000426982,N,M,OK,13.4,4.3,9,31,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1989-8722,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
99d01ea6-b558-4b5c-82b0-c7aa8d034a9d,D16,WREF,WREF_071,WREF_071.basePlot.bgc,tower,evergreenForest,21_400,14.5,9,WGS84,45.829046,-121.958541,20.2,371.3,0.21,NEON.DOC.014048vO,2023-10-16T18:33:00Z,2023-10-16T18:33:00Z,dryWetTransition,OK - no known exceptions,WREF.dryWetTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,WREF_071-M-21-20231016,A00000294373,N,M,Thin O horizon present,11.5,1.6,0,33.9,maximum,auger,1,WREF_071-M-21-20231016-GEN,B00000041958,OK,dry ice,NA,C00000104209,NA,NA,C00000104211,NA,NA,C00000104217,NA,NA,C00000104199,NA,NA,C00000104210,NA,dry ice,5 mL vial,WREF_071-M-21-20231016-BM,B00000121387,OK,NA,0000-0001-7519-0636,NA,20251217T193832Z,RELEASE-2026,DP1.10086.001,WREF,2023,sls_soilCoreCollection
