uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
3fb25ec6-d953-4caf-a4fb-e607ef074817,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-10-18T13:15:00Z,2022-10-18T13:15:00Z,NEON.DOC.014048vO,ORNL_027-M-21-20221018,A00000222498,ORNL_027-M-21-20221018-KCL,B00000089187,ORNL_027-M-21-fallWinterTransition-2022,tInitial,0,2022-10-19T14:13:00Z,ORNL-20221019-BREF1,10.37,100,2022-10-19T16:00:00Z,OK,NA,0000-0001-8869-8172,0000-0001-8869-8172,NA,20251217T193748Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
8a468fc1-cb72-4d10-b4d1-42ec98dd2168,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-10-18T13:39:00Z,2022-10-18T13:39:00Z,NEON.DOC.014048vO,ORNL_027-M-39-20221018,A00000222456,ORNL_027-M-39-20221018-KCL,B00000089188,ORNL_027-M-39-fallWinterTransition-2022,tInitial,0,2022-10-19T14:13:00Z,ORNL-20221019-BREF1,10.32,100,2022-10-19T16:00:00Z,OK,NA,0000-0001-8869-8172,0000-0001-8869-8172,NA,20251217T193748Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
e95435fb-3e57-4b4c-b8b0-cb4f0c70e46e,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-10-18T14:02:00Z,2022-10-18T14:02:00Z,NEON.DOC.014048vO,ORNL_027-M-41-20221018,A00000222451,ORNL_027-M-41-20221018-KCL,B00000089189,ORNL_027-M-41-fallWinterTransition-2022,tInitial,0,2022-10-19T14:13:00Z,ORNL-20221019-BREF1,10.3,100,2022-10-19T16:00:00Z,OK,NA,0000-0001-8869-8172,0000-0001-8869-8172,NA,20251217T193748Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
611ea163-6648-4b76-b4f4-17f630d599b3,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-06-14T17:00:00Z,2022-06-14T17:00:00Z,NEON.DOC.014048vO,ORNL_027-M-41-20220614,A00000220469,ORNL_027-M-41-20220614-KCL,B00000088986,ORNL_027-M-41-peakGreenness-2022,tInitial,0,2022-06-15T13:21:00Z,ORNL-20220615-BREF1,10.13,100,2022-06-15T15:00:00Z,OK,NA,0000-0001-8869-8172,0000-0003-4227-0482,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
8f421c73-a937-4d1d-9571-b75ce33f83e9,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-06-14T17:00:00Z,2022-06-28T13:30:00Z,NEON.DOC.014048vO,ORNL_027-M-41-20220628,NA,ORNL_027-M-41-20220628-KCL,B00000089047,ORNL_027-M-41-peakGreenness-2022,tFinal,13.85,2022-06-29T19:54:00Z,ORNL-20220629-BREF1,10.03,100,2022-06-29T22:00:00Z,OK,NA,0000-0002-7992-1560,0000-0002-7992-1560,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
942d186f-4dbd-4152-827d-91e74d782a36,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-06-14T17:20:00Z,2022-06-14T17:20:00Z,NEON.DOC.014048vO,ORNL_027-M-23-20220614,A00000220470,ORNL_027-M-23-20220614-KCL,B00000088985,ORNL_027-M-23-peakGreenness-2022,tInitial,0,2022-06-15T13:21:00Z,ORNL-20220615-BREF1,10.17,100,2022-06-15T15:00:00Z,OK,NA,0000-0001-8869-8172,0000-0003-4227-0482,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
d54abced-3f2e-4446-892d-37cf78db2774,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-06-14T17:20:00Z,2022-06-28T13:17:00Z,NEON.DOC.014048vO,ORNL_027-M-23-20220628,NA,ORNL_027-M-23-20220628-KCL,B00000089049,ORNL_027-M-23-peakGreenness-2022,tFinal,13.83,2022-06-29T19:54:00Z,ORNL-20220629-BREF1,10,100,2022-06-29T22:00:00Z,OK,NA,0000-0002-7992-1560,0000-0002-7992-1560,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
146aae79-aa79-4140-8141-9986ebe0916a,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-06-14T17:53:00Z,2022-06-14T17:53:00Z,NEON.DOC.014048vO,ORNL_027-M-39-20220614,A00000220471,ORNL_027-M-39-20220614-KCL,B00000088984,ORNL_027-M-39-peakGreenness-2022,tInitial,0,2022-06-15T13:21:00Z,ORNL-20220615-BREF1,10.02,100,2022-06-15T15:00:00Z,OK,NA,0000-0001-8869-8172,0000-0003-4227-0482,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
4f27fcc1-c938-4346-bbb4-b53eaff1bb10,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-06-14T17:53:00Z,2022-06-28T13:42:00Z,NEON.DOC.014048vO,ORNL_027-M-39-20220628,NA,ORNL_027-M-39-20220628-KCL,B00000089046,ORNL_027-M-39-peakGreenness-2022,tFinal,13.83,2022-06-29T19:54:00Z,ORNL-20220629-BREF1,10,100,2022-06-29T22:00:00Z,OK,NA,0000-0002-7992-1560,0000-0002-7992-1560,NA,20251217T193731Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
d3a6a346-147e-4078-aa9d-67e5d510cdb8,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-10-18T13:15:00Z,2022-11-08T13:33:00Z,NEON.DOC.014048vO,ORNL_027-M-21-20221108,A00000222769,ORNL_027-M-21-20221108-KCL,B00000089242,ORNL_027-M-21-fallWinterTransition-2022,tFinal,21.01,2022-11-08T20:00:00Z,ORNL-20221108-BREF1,10.33,100,2022-11-08T21:00:00Z,OK,NA,0000-0003-1476-1962,0000-0001-8986-8911,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
34a3ee22-8246-4555-8a49-c31ab60e552b,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-10-18T13:39:00Z,2022-11-08T13:21:00Z,NEON.DOC.014048vO,ORNL_027-M-39-20221108,A00000222765,ORNL_027-M-39-20221108-KCL,B00000089244,ORNL_027-M-39-fallWinterTransition-2022,tFinal,20.99,2022-11-08T20:00:00Z,ORNL-20221108-BREF1,10,100,2022-11-08T21:00:00Z,OK,NA,0000-0003-1476-1962,0000-0001-8986-8911,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
edecad81-fbee-4963-af51-197def659df3,ORNL_027.basePlot.bgc,D07,ORNL,ORNL_027,distributed,2022-10-18T14:02:00Z,2022-11-08T13:10:00Z,NEON.DOC.014048vO,ORNL_027-M-41-20221108,A00000222740,ORNL_027-M-41-20221108-KCL,B00000089241,ORNL_027-M-41-fallWinterTransition-2022,tFinal,20.96,2022-11-08T20:00:00Z,ORNL-20221108-BREF1,9.99,100,2022-11-08T21:00:00Z,OK,NA,0000-0003-1476-1962,0000-0001-8986-8911,NA,20251217T194033Z,RELEASE-2026,DP1.10086.001,ORNL,2022,ntr_internalLab
