uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
6fb60c7c-e075-4944-9023-15788bcdbd8d,D14,SRER,SRER_053,SRER_053.basePlot.bgc,tower,shrubScrub,23_400,32,4.5,WGS84,31.909824,-110.835912,20.1,996.7,0.1,NEON.DOC.014048vO,2023-07-04T13:38:00Z,2023-07-04T13:38:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_053-M-23-20230704,A00000424116,N,M,Mature biological soil crust present,32.1,0.4,0,30,maximum,auger,1,SRER_053-M-23-20230704-GEN,B00000183101,OK,dry ice,NA,D00000132536,NA,NA,D00000132521,NA,NA,D00000132515,NA,NA,D00000132528,NA,NA,D00000132525,NA,dry ice,2 mL vial,SRER_053-M-23-20230704-BM,B00000183134,OK,monsoon rains not arrived yet,0000-0002-3695-3837,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
b9999716-5433-49da-8b19-6814b86bc61c,D14,SRER,SRER_053,SRER_053.basePlot.bgc,tower,shrubScrub,39_400,0,37,WGS84,31.909824,-110.835912,20.1,996.7,0.1,NEON.DOC.014048vO,2023-07-04T13:51:00Z,2023-07-04T13:51:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_053-M-39-20230704,A00000424115,N,M,OK,32.1,0.2,0,30.5,maximum,auger,1,SRER_053-M-39-20230704-GEN,B00000183100,OK,dry ice,NA,D00000132506,NA,NA,D00000132544,NA,NA,D00000132503,NA,NA,D00000132502,NA,NA,D00000132509,NA,dry ice,2 mL vial,SRER_053-M-39-20230704-BM,B00000183136,OK,monsoon rains not arrived yet,0000-0002-3695-3837,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
25ca764d-6c40-45ae-ab55-036fc6a29505,D14,SRER,SRER_006,SRER_006.basePlot.bgc,distributed,shrubScrub,23_400,21.5,6,WGS84,31.795656,-110.910239,20.1,1048.6,0.1,NEON.DOC.014048vO,2023-07-04T14:07:00Z,2023-07-04T14:07:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_006-M-23-20230704,A00000424139,N,M,OK,32.9,1,0,26,obstruction,auger,1,SRER_006-M-23-20230704-GEN,B00000183063,OK,dry ice,NA,D00000132600,NA,NA,D00000132621,NA,NA,D00000132643,NA,NA,D00000132636,NA,NA,D00000132674,NA,dry ice,2 mL vial,SRER_006-M-23-20230704-BM,B00000183123,OK,Rock; monsoon rains not arrived yet,0009-0007-4740-5776,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
6c22c681-003a-4061-abb4-d61f23cd80e1,D14,SRER,SRER_053,SRER_053.basePlot.bgc,tower,shrubScrub,21_400,16,1,WGS84,31.909824,-110.835912,20.1,996.7,0.1,NEON.DOC.014048vO,2023-07-04T14:08:00Z,2023-07-04T14:08:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_053-M-21-20230704,A00000424117,N,M,OK,30.6,0,0,30,maximum,auger,1,SRER_053-M-21-20230704-GEN,B00000183099,OK,dry ice,NA,D00000132508,NA,NA,D00000132501,NA,NA,D00000132507,NA,NA,D00000132511,NA,NA,D00000132537,NA,dry ice,2 mL vial,SRER_053-M-21-20230704-BM,B00000183135,OK,monsoon rains not arrived yet,0000-0002-3695-3837,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
f03223b5-b4a5-4f69-a0ff-cfd938a7ec2e,D14,SRER,SRER_004,SRER_004.basePlot.bgc,distributed,shrubScrub,21_400,1.5,8.5,WGS84,31.906778,-110.815262,20,1044.5,0.02,NEON.DOC.014048vO,2023-07-04T14:17:00Z,2023-07-04T14:17:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_004-M-21-20230704,A00000424170,N,M,OK,32.7,1.2,0,18,obstruction,auger,2,SRER_004-M-21-20230704-GEN,B00000183090,OK,dry ice,NA,D00000132635,NA,NA,D00000132593,NA,NA,D00000132648,NA,NA,D00000132608,NA,NA,D00000132594,NA,dry ice,2 mL vial,SRER_004-M-21-20230704-BM,B00000183119,OK,Rock obstructions; monsoon rains not arrived yet,0000-0003-3879-1971,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
51266d68-052e-4683-b7dd-8ec5d3cc9827,D14,SRER,SRER_006,SRER_006.basePlot.bgc,distributed,shrubScrub,39_400,4.5,30,WGS84,31.795656,-110.910239,20.1,1048.6,0.1,NEON.DOC.014048vO,2023-07-04T14:28:00Z,2023-07-04T14:28:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_006-M-39-20230704,A00000424156,N,M,OK,31.1,2.9,0,29.5,maximum,auger,1,SRER_006-M-39-20230704-GEN,B00000183065,OK,dry ice,NA,D00000132628,NA,NA,D00000132639,NA,NA,D00000132620,NA,NA,D00000132632,NA,NA,D00000132631,NA,dry ice,2 mL vial,SRER_006-M-39-20230704-BM,B00000183124,OK,monsoon rains not arrived yet,0009-0007-4740-5776,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
d14edcd9-be09-4e4d-8acd-0ca1e4fc39a4,D14,SRER,SRER_004,SRER_004.basePlot.bgc,distributed,shrubScrub,39_400,5,27.5,WGS84,31.906778,-110.815262,20,1044.5,0.02,NEON.DOC.014048vO,2023-07-04T14:32:00Z,2023-07-04T14:32:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_004-M-39-20230704,A00000424185,N,M,OK,33.1,2.3,0,29,maximum,auger,1,SRER_004-M-39-20230704-GEN,B00000183091,OK,dry ice,NA,D00000132595,NA,NA,D00000132625,NA,NA,D00000132599,NA,NA,D00000132602,NA,NA,D00000132637,NA,dry ice,2 mL vial,SRER_004-M-39-20230704-BM,B00000183110,OK,monsoon rains not arrived yet,0000-0003-3879-1971,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
032ea986-2440-4dec-b192-7d5052284669,D14,SRER,SRER_006,SRER_006.basePlot.bgc,distributed,shrubScrub,41_400,32.5,35.5,WGS84,31.795656,-110.910239,20.1,1048.6,0.1,NEON.DOC.014048vO,2023-07-04T14:42:00Z,2023-07-04T14:42:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_006-M-41-20230704,A00000424172,N,M,OK,32.6,2.2,0,26,obstruction,auger,1,SRER_006-M-41-20230704-GEN,B00000183064,OK,dry ice,NA,D00000132597,NA,NA,D00000132627,NA,NA,D00000132644,NA,NA,D00000132605,NA,NA,D00000132647,NA,dry ice,2 mL vial,SRER_006-M-41-20230704-BM,B00000183122,OK,Rock; monsoon rains not arrived yet,0009-0007-4740-5776,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
5a7c3987-927f-4bc2-80b2-ea16e272b640,D14,SRER,SRER_004,SRER_004.basePlot.bgc,distributed,shrubScrub,41_400,21.5,36.5,WGS84,31.906778,-110.815262,20,1044.5,0.02,NEON.DOC.014048vO,2023-07-04T14:50:00Z,2023-07-04T14:50:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_004-M-41-20230704,A00000424186,N,M,OK,33.6,2.5,0,16,obstruction,auger,2,SRER_004-M-41-20230704-GEN,B00000183093,OK,dry ice,NA,D00000132584,NA,NA,D00000132567,NA,NA,D00000132564,NA,NA,D00000132575,NA,NA,D00000132566,NA,dry ice,2 mL vial,SRER_004-M-41-20230704-BM,B00000183118,OK,Rock obstructions; monsoon rains not arrived yet,0000-0003-3879-1971,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
6534d5d5-2a1a-426f-89ef-bcc0627ce08f,D14,SRER,SRER_052,SRER_052.basePlot.bgc,tower,shrubScrub,23_400,38,13.5,WGS84,31.909531,-110.833359,20,1002.3,0.02,NEON.DOC.014048vO,2023-07-04T14:53:00Z,2023-07-04T14:53:00Z,dryWetTransition,conditions not met,SRER.dryWetTransition.2023,0,No,microbesBiomass,OK,no incubation,NA,SRER_052-M-23-20230704,A00000424120,N,M,Mature biological soil crust present,33.2,0.3,0,31,maximum,auger,1,SRER_052-M-23-20230704-GEN,B00000183096,OK,dry ice,NA,D00000132513,NA,NA,D00000132545,NA,NA,D00000132550,NA,NA,D00000132516,NA,NA,D00000132520,NA,dry ice,2 mL vial,SRER_052-M-23-20230704-BM,B00000183130,OK,monsoon rains not arrived yet,0000-0002-3695-3837,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,SRER,2023,sls_soilCoreCollection
