uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
2b74b69c-3f66-469e-9bf3-f69fff006462,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,41_400,20.5,38,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-04-12T18:51:00Z,2022-04-12T18:51:00Z,winterSpringTransition,OK - no known exceptions,STER.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STER_031-M-41-20220412,A00000251002,N,M,OK,11.4,0,0,30,maximum,auger,1,STER_031-M-41-20220412-GEN,B00000098161,OK,dry ice,NA,C00000091555,NA,NA,C00000094430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STER_031-M-41-20220412-BM,B00000103433,OK,NA,0000-0002-2637-0718,NA,20251217T193642Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
df03767b-cee5-4ff0-9e39-b9dab4399253,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,39_400,1,25.5,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-04-12T19:16:00Z,2022-04-12T19:16:00Z,winterSpringTransition,OK - no known exceptions,STER.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STER_031-M-39-20220412,A00000250998,N,M,OK,10.5,0,0,30,maximum,auger,1,STER_031-M-39-20220412-GEN,B00000099158,OK,dry ice,NA,C00000091197,NA,NA,C00000091222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STER_031-M-39-20220412-BM,B00000103477,OK,NA,0000-0002-2637-0718,NA,20251217T193642Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
f722da88-7cd9-4a5a-a773-1524198c038d,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,21_400,7.5,2.5,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-04-12T19:33:00Z,2022-04-12T19:33:00Z,winterSpringTransition,OK - no known exceptions,STER.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STER_031-M-21-20220412,A00000250997,N,M,OK,12,0,0,30,maximum,auger,1,STER_031-M-21-20220412-GEN,B00000099159,OK,dry ice,NA,C00000091219,NA,NA,C00000091561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STER_031-M-21-20220412-BM,B00000103476,OK,NA,0000-0002-2637-0718,NA,20251217T193642Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
09a962c5-bc10-4f4e-aa91-78b148f225d9,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,41_400,20.5,38,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-04-12T18:51:00Z,2022-05-04T17:58:00Z,winterSpringTransition,OK - no known exceptions,STER.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,STER_031-M-41-20220504,A00000250461,N,M,OK,7.5,0,0,30.5,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-7662-5726,NA,20251217T193457Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
877b2084-3af6-4c22-a643-ac720471dd43,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,39_400,1,25.5,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-04-12T19:16:00Z,2022-05-04T17:49:00Z,winterSpringTransition,OK - no known exceptions,STER.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,STER_031-M-39-20220504,A00000250477,N,M,OK,7.5,0,0,2.5,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-7662-5726,NA,20251217T193457Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
b6c10e92-3b66-49ac-9e9f-b9c31e998051,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,21_400,7.5,2.5,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-04-12T19:33:00Z,2022-05-04T17:42:00Z,winterSpringTransition,OK - no known exceptions,STER.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,STER_031-M-21-20220504,A00000250462,N,M,OK,7.5,0,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-7662-5726,NA,20251217T193457Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
f82f5759-b354-43d6-b1d3-81a33f6d2110,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,39_400,0.5,39.5,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-10-18T16:45:00Z,2022-10-18T16:45:00Z,fallWinterTransition,OK - no known exceptions,STER.fallWinterTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STER_031-M-39-20221018,A00000252063,N,M,OK,9.5,0,0,33,maximum,auger,1,STER_031-M-39-20221018-GEN,B00000099154,OK,dry ice,NA,C00000092163,NA,NA,C00000091242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,5 mL vial,STER_031-M-39-20221018-BM,B00000104174,OK,NA,0000-0003-1995-3111,NA,20251217T194048Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
ae1f583d-e0f5-4ed4-93e6-d7f028e1fea1,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,21_400,14.5,6.5,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-10-18T16:58:00Z,2022-10-18T16:58:00Z,fallWinterTransition,OK - no known exceptions,STER.fallWinterTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STER_031-M-21-20221018,A00000251625,N,M,OK,9.6,0.6,0,30,maximum,auger,1,STER_031-M-21-20221018-GEN,B00000099152,OK,dry ice,NA,C00000089544,NA,NA,C00000091274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,5 mL vial,STER_031-M-21-20221018-BM,B00000104180,OK,NA,0000-0003-1995-3111,NA,20251217T194048Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
8e560236-9d86-4885-98ca-7dbd8335815c,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,23_400,31,5,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-10-18T17:11:00Z,2022-10-18T17:11:00Z,fallWinterTransition,OK - no known exceptions,STER.fallWinterTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STER_031-M-23-20221018,A00000251626,N,M,OK,10.3,1,0,31,maximum,auger,1,STER_031-M-23-20221018-GEN,B00000103717,OK,dry ice,NA,C00000091631,NA,NA,C00000091638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,5 mL vial,STER_031-M-23-20221018-BM,B00000104155,OK,NA,0000-0003-1995-3111,NA,20251217T194048Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
6fbb1ceb-6a6b-460e-9aeb-a87ad26044f9,D10,STER,STER_031,STER_031.basePlot.bgc,distributed,cultivatedCrops,41_400,38,22,WGS84,40.470725,-103.011685,20.1,1353.3,0.1,NEON.DOC.014048vO,2022-06-07T14:20:00Z,2022-06-07T14:20:00Z,peakGreenness,OK - no known exceptions,STER.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,STER_031-M-41-20220607,A00000252098,N,M,OK,15.6,2.5,0,30,maximum,auger,1,STER_031-M-41-20220607-GEN,B00000103785,OK,dry ice,NA,C00000091903,NA,NA,C00000092223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STER_031-M-41-20220607-BM,B00000104040,OK,NA,0000-0003-1995-3111,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,STER,2022,sls_soilCoreCollection
