uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
8d0293d1-183a-4ef4-9afd-b97537eca7a2,D07,ORNL,ORNL_002,ORNL_002.basePlot.bgc,distributed,deciduousForest,23_400,27,8.5,WGS84,35.982199,-84.212753,20.2,308.2,0.34,NEON.DOC.014048vP,2024-06-24T13:35:00Z,2024-06-24T13:35:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_002-M-23-20240624,A00000218589,N,M,OK,21.3,6.3,0,29.7,maximum,auger,1,ORNL_002-M-23-20240624-GEN,B00000087395,OK,dry ice,NA,C00000079124,NA,NA,C00000078855,NA,NA,C00000078894,NA,NA,C00000078689,NA,NA,C00000078898,NA,dry ice,5 mL vial,ORNL_002-M-23-20240624-BM,B00000087170,OK,NA,0000-0003-1476-1962,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
29425b82-efab-47a2-be9f-d15db2e68503,D07,ORNL,ORNL_002,ORNL_002.basePlot.bgc,distributed,deciduousForest,21_400,15.5,5.5,WGS84,35.982199,-84.212753,20.2,308.2,0.34,NEON.DOC.014048vP,2024-06-24T14:09:00Z,2024-06-24T14:09:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_002-M-21-20240624,A00000218634,N,M,OK,20.2,13.8,0,29.5,maximum,auger,1,ORNL_002-M-21-20240624-GEN,B00000089431,OK,dry ice,NA,C00000079036,NA,NA,C00000079120,NA,NA,C00000079019,NA,NA,C00000078174,NA,NA,C00000078821,NA,dry ice,5 mL vial,ORNL_002-M-21-20240624-BM,B00000087174,OK,NA,0000-0003-1476-1962,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
6d92ba95-e0fc-45d0-b3a3-4a8dd20f1940,D07,ORNL,ORNL_002,ORNL_002.basePlot.bgc,distributed,deciduousForest,39_400,15.5,34,WGS84,35.982199,-84.212753,20.2,308.2,0.34,NEON.DOC.014048vP,2024-06-24T14:35:00Z,2024-06-24T14:35:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_002-M-39-20240624,A00000224159,N,M,OK,21.1,5.1,0,29.1,maximum,auger,1,ORNL_002-M-39-20240624-GEN,B00000060207,OK,dry ice,NA,C00000079064,NA,NA,C00000078851,NA,NA,C00000078872,NA,NA,C00000079026,NA,NA,C00000079066,NA,dry ice,5 mL vial,ORNL_002-M-39-20240624-BM,B00000087180,OK,NA,0000-0003-1476-1962,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
d308ae61-4bc4-43de-b8c7-e506eacad5a2,D07,ORNL,ORNL_003,ORNL_003.basePlot.bgc,distributed,deciduousForest,21_400,0,2.5,WGS84,35.965875,-84.230646,20.1,260.1,0.14,NEON.DOC.014048vP,2024-06-24T15:46:00Z,2024-06-24T15:46:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_003-M-21-20240624,A00000227832,N,M,OK,21,4.1,0,29.8,maximum,auger,1,ORNL_003-M-21-20240624-GEN,B00000060326,OK,dry ice,NA,C00000080528,NA,NA,C00000080514,NA,NA,C00000080420,NA,NA,C00000080494,NA,NA,C00000080508,NA,dry ice,5 mL vial,ORNL_003-M-21-20240624-BM,B00000087173,OK,NA,0000-0003-1476-1962,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
f74c8d84-cfba-45d1-9c84-4fb06061a9b8,D07,ORNL,ORNL_003,ORNL_003.basePlot.bgc,distributed,deciduousForest,39_400,7,25.5,WGS84,35.965875,-84.230646,20.1,260.1,0.14,NEON.DOC.014048vP,2024-06-24T16:10:00Z,2024-06-24T16:10:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_003-M-39-20240624,A00000227833,N,M,OK,21.4,3,0,30.1,maximum,auger,1,ORNL_003-M-39-20240624-GEN,B00000060328,OK,dry ice,NA,C00000080562,NA,NA,C00000080565,NA,NA,C00000080440,NA,NA,C00000080569,NA,NA,C00000080447,NA,dry ice,5 mL vial,ORNL_003-M-39-20240624-BM,B00000087187,OK,NA,0000-0003-1476-1962,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
943bd338-99e3-4fc4-a49f-f83f99adda7c,D07,ORNL,ORNL_003,ORNL_003.basePlot.bgc,distributed,deciduousForest,41_400,34.5,25,WGS84,35.965875,-84.230646,20.1,260.1,0.14,NEON.DOC.014048vP,2024-06-24T16:37:00Z,2024-06-24T16:37:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_003-M-41-20240624,A00000227834,N,M,OK,20.8,2.3,0,29.3,maximum,auger,1,ORNL_003-M-41-20240624-GEN,B00000060327,OK,dry ice,NA,C00000080430,NA,NA,C00000080491,NA,NA,C00000080526,NA,NA,C00000080513,NA,NA,C00000080421,NA,dry ice,5 mL vial,ORNL_003-M-41-20240624-BM,B00000087200,OK,NA,0000-0003-1476-1962,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
cb83eeff-5f04-44dc-a5d1-72dcc7c77df4,D07,ORNL,ORNL_001,ORNL_001.basePlot.bgc,distributed,deciduousForest,41_400,26.5,39,WGS84,35.930248,-84.270109,20.1,244.7,0.13,NEON.DOC.014048vP,2024-06-24T17:49:00Z,2024-06-24T17:49:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_001-M-41-20240624,A00000227848,N,M,OK,22,7.8,0,29.3,maximum,auger,1,ORNL_001-M-41-20240624-GEN,B00000060332,OK,dry ice,NA,C00000079133,NA,NA,C00000080080,NA,NA,C00000080089,NA,NA,C00000078444,NA,NA,C00000080066,NA,dry ice,5 mL vial,ORNL_001-M-41-20240624-BM,B00000087188,OK,NA,0000-0003-1476-1962,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
5e005cec-0a78-418f-a7cc-8b0672d6c8c8,D07,ORNL,ORNL_001,ORNL_001.basePlot.bgc,distributed,deciduousForest,23_400,20.5,9.5,WGS84,35.930248,-84.270109,20.1,244.7,0.13,NEON.DOC.014048vP,2024-06-24T18:09:00Z,2024-06-24T18:09:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_001-M-23-20240624,A00000227847,N,M,OK,21,4,0,29,maximum,auger,1,ORNL_001-M-23-20240624-GEN,B00000060333,OK,dry ice,NA,C00000080085,NA,NA,C00000079553,NA,NA,C00000078656,NA,NA,C00000078559,NA,NA,C00000078972,NA,dry ice,5 mL vial,ORNL_001-M-23-20240624-BM,B00000087184,OK,NA,0000-0003-1476-1962,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
9b2716b4-8fe3-4493-82c3-2cb5d9a8a295,D07,ORNL,ORNL_001,ORNL_001.basePlot.bgc,distributed,deciduousForest,21_400,11.5,5.5,WGS84,35.930248,-84.270109,20.1,244.7,0.13,NEON.DOC.014048vP,2024-06-24T18:33:00Z,2024-06-24T18:33:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_001-M-21-20240624,A00000227852,N,M,OK,21.7,4.6,0,29.1,maximum,auger,1,ORNL_001-M-21-20240624-GEN,B00000060334,OK,dry ice,NA,C00000078768,NA,NA,C00000079572,NA,NA,C00000079587,NA,NA,C00000078781,NA,NA,C00000080063,NA,dry ice,5 mL vial,ORNL_001-M-21-20240624-BM,B00000087171,OK,NA,0000-0003-1476-1962,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
51697a13-3cd3-44a8-9290-686ad934c347,D07,ORNL,ORNL_006,ORNL_006.basePlot.bgc,distributed,deciduousForest,23_400,31.5,2,WGS84,35.938227,-84.32368,20.1,280.7,0.16,NEON.DOC.014048vP,2024-06-25T12:25:00Z,2024-06-25T12:25:00Z,peakGreenness,OK - no known exceptions,ORNL.peakGreenness.2024,0,No,microbesBiomass,OK,no incubation,NA,ORNL_006-M-23-20240625,A00000227815,Y,M,OK,20.2,2,0,29.8,maximum,auger,1,ORNL_006-M-23-20240625-GEN,B00000060320,OK,dry ice,NA,C00000079085,NA,NA,C00000079571,NA,NA,C00000078406,NA,NA,C00000078402,NA,NA,C00000078557,NA,dry ice,5 mL vial,ORNL_006-M-23-20240625-BM,B00000087126,OK,NA,0000-0002-7992-1560,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ORNL,2024,sls_soilCoreCollection
