uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
dc167350-e12c-4345-a041-80e6dbc8af4c,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,21_400,19,6,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-07-05T21:07:00Z,2022-07-05T21:07:00Z,dryWetTransition,OK - no known exceptions,JORN.dryWetTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,JORN_006-M-21-20220705,A00000354936,N,M,OK,40.2,0,0,30.5,maximum,auger,1,JORN_006-M-21-20220705-GEN,B00000111207,OK,dry ice,NA,C00000098837,NA,NA,C00000098838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,JORN_006-M-21-20220705-BM,B00000111283,OK,NA,0000-0002-4985-4248,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
6205f7bc-8b1f-42c4-8658-3e1cbd8b61f6,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,21_400,19,6,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-07-05T21:07:00Z,2022-07-26T15:19:00Z,dryWetTransition,OK - no known exceptions,JORN.dryWetTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,JORN_006-M-21-20220726,A00000355559,N,M,OK,29.6,0,0,29,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-0596-3792,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
0dfb8ff4-489c-4628-92ec-ce13a877a0be,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,39_400,9,20.5,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-07-05T21:24:00Z,2022-07-05T21:24:00Z,dryWetTransition,OK - no known exceptions,JORN.dryWetTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,JORN_006-M-39-20220705,A00000354937,N,M,OK,43.8,0,0,31,maximum,auger,1,JORN_006-M-39-20220705-GEN,B00000111208,OK,dry ice,NA,C00000098840,NA,NA,C00000098839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,JORN_006-M-39-20220705-BM,B00000111261,OK,NA,0000-0002-4985-4248,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
6c55ae3a-ce14-44a8-baba-2641b1b4b71e,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,39_400,9,20.5,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-07-05T21:24:00Z,2022-07-26T15:03:00Z,dryWetTransition,OK - no known exceptions,JORN.dryWetTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,JORN_006-M-39-20220726,A00000355558,N,M,OK,30.3,0,0,28,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-0596-3792,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
33c86d8f-6b5d-4dba-a073-3498e81a0ee3,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,41_400,33.5,33,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-07-05T21:40:00Z,2022-07-05T21:40:00Z,dryWetTransition,OK - no known exceptions,JORN.dryWetTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,JORN_006-M-41-20220705,A00000354935,N,M,OK,42.1,0,0,30,maximum,auger,1,JORN_006-M-41-20220705-GEN,B00000111206,OK,dry ice,NA,C00000098836,NA,NA,C00000098835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,JORN_006-M-41-20220705-BM,B00000111262,OK,NA,0000-0002-4985-4248,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
9e437582-d532-49d5-bc83-e82a6d871265,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,41_400,33.5,33,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-07-05T21:40:00Z,2022-07-26T15:13:00Z,dryWetTransition,OK - no known exceptions,JORN.dryWetTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,JORN_006-M-41-20220726,A00000355560,N,M,OK,29.6,0,0,29,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-0596-3792,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
f84ad536-80ba-4672-bd22-974b4a6b8876,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,39_400,4,23,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-08-30T16:51:00Z,2022-08-30T16:51:00Z,peakGreenness,OK - no known exceptions,JORN.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,JORN_006-M-39-20220830,A00000356012,N,M,OK,26.1,2,0,30,maximum,auger,1,JORN_006-M-39-20220830-GEN,B00000111511,OK,dry ice,NA,D00000027473,NA,NA,D00000027469,NA,NA,D00000027470,NA,NA,D00000027472,NA,NA,D00000027471,NA,dry ice,2 mL vial,JORN_006-M-39-20220830-BM,B00000111579,OK,NA,0000-0002-5964-2409,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
09c05e0e-e0fd-4246-a922-888189a36476,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,41_400,31.5,36,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-08-30T17:11:00Z,2022-08-30T17:11:00Z,peakGreenness,OK - no known exceptions,JORN.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,JORN_006-M-41-20220830,A00000356013,N,M,OK,28.9,0,0,30.5,maximum,auger,1,JORN_006-M-41-20220830-GEN,B00000111513,OK,dry ice,NA,D00000027462,NA,NA,D00000027463,NA,NA,D00000027460,NA,NA,D00000027461,NA,NA,D00000027459,NA,dry ice,2 mL vial,JORN_006-M-41-20220830-BM,B00000111581,OK,NA,0000-0002-5964-2409,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
364ef7b2-d626-4e7e-a981-1f71e00327e1,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,21_400,16,5,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-08-30T17:28:00Z,2022-08-30T17:28:00Z,peakGreenness,OK - no known exceptions,JORN.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,JORN_006-M-21-20220830,A00000356014,N,M,OK,30,0,0,31,maximum,auger,1,JORN_006-M-21-20220830-GEN,B00000111512,OK,dry ice,NA,D00000027467,NA,NA,D00000027466,NA,NA,D00000027465,NA,NA,D00000027464,NA,NA,D00000027468,NA,dry ice,2 mL vial,JORN_006-M-21-20220830-BM,B00000111580,OK,NA,0000-0002-5964-2409,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
7ee60f28-8a08-4c7b-8f6d-ad44ba204e81,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,39_400,4,23,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-08-30T16:51:00Z,2022-09-20T16:38:00Z,peakGreenness,OK - no known exceptions,JORN.peakGreenness.2022,0,tFinal,fieldOnly,OK,covered core,OK,JORN_006-M-39-20220920,A00000356236,N,M,OK,23.9,0.7,0,29,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-5964-2409,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
98757bd1-a620-4f52-a06f-35d71b1eb346,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,41_400,31.5,36,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-08-30T17:11:00Z,2022-09-20T16:50:00Z,peakGreenness,OK - no known exceptions,JORN.peakGreenness.2022,0,tFinal,fieldOnly,OK,covered core,OK,JORN_006-M-41-20220920,A00000356237,N,M,OK,24.7,0.1,0,29,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-5964-2409,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
dd1bf060-3dcd-4104-b593-1d38c38fb907,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,21_400,16,5,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-08-30T17:28:00Z,2022-09-20T16:43:00Z,peakGreenness,OK - no known exceptions,JORN.peakGreenness.2022,0,tFinal,fieldOnly,OK,covered core,OK,JORN_006-M-21-20220920,A00000356298,N,M,OK,24.5,0.5,0,28,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-5964-2409,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
bc70d646-ce3f-4ff5-b5ee-f11ab9f93c08,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,39_400,18.5,36.5,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-10-25T18:11:00Z,2022-10-25T18:11:00Z,wetDryTransition,OK - no known exceptions,JORN.wetDryTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,JORN_006-M-39-20221025,A00000356193,N,M,OK,12.4,0,0,30,maximum,auger,1,JORN_006-M-39-20221025-GEN,B00000111883,OK,dry ice,NA,D00000130126,NA,NA,D00000130123,NA,NA,D00000130125,NA,NA,D00000130124,NA,NA,D00000130122,NA,dry ice,2 mL vial,JORN_006-M-39-20221025-BM,B00000111930,OK,NA,0000-0002-3695-3837,NA,20251217T193712Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
1bcf4276-026a-4546-bfb3-4a5d76e435b6,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,21_400,3.5,0,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-10-25T18:38:00Z,2022-10-25T18:38:00Z,wetDryTransition,OK - no known exceptions,JORN.wetDryTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,JORN_006-M-21-20221025,A00000356194,N,M,OK,13.1,0.1,0,30,maximum,auger,1,JORN_006-M-21-20221025-GEN,B00000111884,OK,dry ice,NA,D00000130118,NA,NA,D00000130119,NA,NA,D00000130121,NA,NA,D00000130120,NA,NA,D00000130117,NA,dry ice,2 mL vial,JORN_006-M-21-20221025-BM,B00000111929,OK,NA,0000-0002-3695-3837,NA,20251217T193712Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
72df1466-bb36-4592-8b8b-9e41934ef90d,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,23_400,38.5,12,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-10-25T18:58:00Z,2022-10-25T18:58:00Z,wetDryTransition,OK - no known exceptions,JORN.wetDryTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,JORN_006-M-23-20221025,A00000356195,N,M,OK,13.8,0.6,0,30,maximum,auger,1,JORN_006-M-23-20221025-GEN,B00000111885,OK,dry ice,NA,D00000130116,NA,NA,D00000130112,NA,NA,D00000130114,NA,NA,D00000130113,NA,NA,D00000130115,NA,dry ice,2 mL vial,JORN_006-M-23-20221025-BM,B00000111916,OK,NA,0000-0002-3695-3837,NA,20251217T193712Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
d8eb2524-10b2-4eb2-8e40-febd3409b155,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,39_400,18.5,36.5,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-10-25T18:11:00Z,2022-11-15T17:22:00Z,wetDryTransition,OK - no known exceptions,JORN.wetDryTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,JORN_006-M-39-20221115,A00000356360,N,M,OK,6.8,0,0,30,entire,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-6825-4902,NA,20251217T194044Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
2051dec1-7688-4470-bcb4-c2c85a0e85ef,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,21_400,3.5,0,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-10-25T18:38:00Z,2022-11-15T17:14:00Z,wetDryTransition,OK - no known exceptions,JORN.wetDryTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,JORN_006-M-21-20221115,A00000356361,N,M,OK,6.5,0.9,0,29.8,entire,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-6825-4902,NA,20251217T194044Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
795e3798-4ec1-4245-920b-b66ceaf4a9d8,D14,JORN,JORN_006,JORN_006.basePlot.bgc,distributed,shrubScrub,23_400,38.5,12,WGS84,32.590562,-106.82446,20.1,1323.2,0.1,NEON.DOC.014048vO,2022-10-25T18:58:00Z,2022-11-15T17:04:00Z,wetDryTransition,OK - no known exceptions,JORN.wetDryTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,JORN_006-M-23-20221115,A00000356362,N,M,OK,8,1.8,0,30,entire,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-6825-4902,NA,20251217T194044Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilCoreCollection
