uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9ed8953e-dd13-499a-849d-7b3e3c8c1262,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,23_400,32,14.5,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-04-04T15:58:00Z,2023-04-04T15:58:00Z,winterSpringTransition,OK - no known exceptions,UKFS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_002-M-23-20230404,A00000434784,N,M,OK,10.3,3.5,0,28,obstruction,auger,1,UKFS_002-M-23-20230404-GEN,B00000083275,OK,dry ice,NA,D00000156583,NA,NA,D00000156588,NA,NA,D00000156591,NA,NA,D00000156582,NA,NA,D00000156584,NA,dry ice,2 mL vial,UKFS_002-M-23-20230404-BM,B00000163153,OK,NA,0000-0003-2131-612X,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
fcb42745-b490-4eb3-8508-9ed67a30ea75,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,21_400,3.5,4,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-04-04T16:28:00Z,2023-04-04T16:28:00Z,winterSpringTransition,OK - no known exceptions,UKFS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_002-M-21-20230404,A00000434800,N,M,OK,10.7,3,0,30,maximum,auger,1,UKFS_002-M-21-20230404-GEN,B00000017094,OK,dry ice,NA,D00000156592,NA,NA,D00000156594,NA,NA,D00000156595,NA,NA,D00000156587,NA,NA,D00000156589,NA,dry ice,2 mL vial,UKFS_002-M-21-20230404-BM,B00000163142,OK,NA,0000-0003-2131-612X,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
cd30cb91-0e18-4605-80fd-417870c0a207,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,39_400,5.5,35.5,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-04-04T17:30:00Z,2023-04-04T17:30:00Z,winterSpringTransition,OK - no known exceptions,UKFS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_002-M-39-20230404,A00000434768,N,M,OK,10.9,3,0,17.5,obstruction,auger,2,UKFS_002-M-39-20230404-GEN,B00000083264,OK,dry ice,NA,D00000156585,NA,NA,D00000156586,NA,NA,D00000156590,NA,NA,D00000156593,NA,NA,D00000156581,NA,dry ice,2 mL vial,UKFS_002-M-39-20230404-BM,B00000163148,OK,NA,0000-0003-2131-612X,NA,20251217T193721Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
6aa0697c-4e13-4693-bb5b-8752c3628193,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,41_400,33.5,38.5,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-10-31T16:16:00Z,2023-10-31T16:16:00Z,fallWinterTransition,OK - no known exceptions,UKFS.fallWinterTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_002-M-41-20231031,A00000437597,N,M,OK,7,4,0,28,maximum,auger,1,UKFS_002-M-41-20231031-GEN,B00000163325,OK,dry ice,NA,C00000075932,NA,NA,C00000075935,NA,NA,C00000075910,NA,NA,C00000075881,NA,NA,C00000075921,NA,dry ice,5 mL vial,UKFS_002-M-41-20231031-BM,B00000164256,OK,NA,0009-0005-4841-3896,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
7cb41fa7-33a3-4bb6-9d92-d8c3f67e1b90,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,21_400,8,6.5,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-10-31T17:31:00Z,2023-10-31T17:31:00Z,fallWinterTransition,OK - no known exceptions,UKFS.fallWinterTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_002-M-21-20231031,A00000437627,N,M,OK,7.3,4,0,27,obstruction,auger,1,UKFS_002-M-21-20231031-GEN,B00000163327,OK,dry ice,NA,C00000075859,NA,NA,C00000075915,NA,NA,C00000075937,NA,NA,C00000075863,NA,NA,C00000075936,NA,dry ice,5 mL vial,UKFS_002-M-21-20231031-BM,B00000164253,OK,NA,0009-0005-4841-3896,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
8ad18b4e-c9ce-4e61-b1f8-57387e250444,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,39_400,16,37.5,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-10-31T18:13:00Z,2023-10-31T18:13:00Z,fallWinterTransition,OK - no known exceptions,UKFS.fallWinterTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,UKFS_002-M-39-20231031,A00000437628,N,M,OK,7,6,0,28,maximum,auger,1,UKFS_002-M-39-20231031-GEN,B00000163326,OK,dry ice,NA,C00000075882,NA,NA,C00000075880,NA,NA,C00000075942,NA,NA,C00000075874,NA,NA,C00000075927,NA,dry ice,5 mL vial,UKFS_002-M-39-20231031-BM,B00000164254,OK,NA,0009-0005-4841-3896,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
a9049ffc-a7ca-4eba-a579-7630badd0a74,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,21_400,4,6,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-07-04T15:53:00Z,2023-07-04T15:53:00Z,peakGreenness,OK - no known exceptions,UKFS.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,UKFS_002-M-21-20230704,A00000436422,N,M,OK,21,1,0,26,maximum,auger,2,UKFS_002-M-21-20230704-GEN,B00000163770,OK,dry ice,NA,D00000156147,NA,NA,D00000156153,NA,NA,D00000156164,NA,NA,D00000156178,NA,NA,D00000156406,NA,dry ice,2 mL vial,UKFS_002-M-21-20230704-BM,B00000163790,OK,NA,0000-0002-2980-5449,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
bf274e1a-ff13-4203-bc5f-1f6b521f055e,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,21_400,4,6,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-07-04T15:53:00Z,2023-07-26T15:35:00Z,peakGreenness,OK - no known exceptions,UKFS.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,UKFS_002-M-21-20230726,A00000436638,N,M,OK,23,0.5,0,25,obstruction,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0005-1689-6184,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
89a11bff-4c4a-44d7-9c6f-3d4f2db9b062,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,23_400,35.5,2.5,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-07-04T16:50:00Z,2023-07-04T16:50:00Z,peakGreenness,OK - no known exceptions,UKFS.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,UKFS_002-M-23-20230704,A00000436423,N,M,OK,21,0.5,0,24,obstruction,auger,1,UKFS_002-M-23-20230704-GEN,B00000163769,OK,dry ice,NA,D00000156158,NA,NA,D00000156168,NA,NA,D00000156174,NA,NA,D00000156426,NA,NA,D00000156428,NA,dry ice,2 mL vial,UKFS_002-M-23-20230704-BM,B00000163791,OK,NA,0000-0002-2980-5449,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
530b4aa3-55bc-4601-8210-2999d5c811cb,D06,UKFS,UKFS_002,UKFS_002.basePlot.bgc,distributed,deciduousForest,23_400,35.5,2.5,WGS84,39.046329,-95.208663,20.1,313.6,0.15,NEON.DOC.014048vO,2023-07-04T16:50:00Z,2023-07-26T15:46:00Z,peakGreenness,OK - no known exceptions,UKFS.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,UKFS_002-M-23-20230726,A00000436637,N,M,OK,22.9,0.5,0,25,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0005-1689-6184,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,UKFS,2023,sls_soilCoreCollection
