uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
3ed4cd26-eb06-4832-89fb-d6f845a9552c,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-22T23:53:00Z,2021-06-22T23:53:00Z,NEON.DOC.014048vN,HEAL_048-O-39-24.5-20210622,A00000307197,HEAL_048-O-39-24.5-20210622-KCL,B00000127428,HEAL_048-O-39-24.5,tInitial,0,2021-06-23T22:50:00Z,HEAL-20210623-BRef1,10.48,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
c6ee5e54-871e-49a5-8a6d-5fb5d101da91,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-23T00:19:00Z,2021-06-23T00:19:00Z,NEON.DOC.014048vN,HEAL_048-O-2-7.5-20210622,A00000307199,HEAL_048-O-2-7.5-20210622-KCL,B00000127427,HEAL_048-O-2-7.5,tInitial,0,2021-06-23T22:50:00Z,HEAL-20210623-BRef1,10.28,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
74e54704-6b72-4115-b5dc-012298cfbad5,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-23T00:19:00Z,2021-06-23T00:19:00Z,NEON.DOC.014048vN,HEAL_048-M-2-7.5-20210622,A00000307186,HEAL_048-M-2-7.5-20210622-KCL,B00000127429,HEAL_048-M-2-7.5,tInitial,0,2021-06-23T22:51:00Z,HEAL-20210623-BRef1,9.83,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
d6326213-f6b4-48e8-b617-39bff88d47f6,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-23T01:01:00Z,2021-06-23T01:01:00Z,NEON.DOC.014048vN,HEAL_048-O-9.5-21.5-20210622,A00000307198,HEAL_048-O-9.5-21.5-20210622-KCL,B00000127426,HEAL_048-O-9.5-21.5,tInitial,0,2021-06-23T22:58:00Z,HEAL-20210623-BRef1,10.12,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
38435d35-16dd-4d36-996e-163d5eece2bf,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-23T01:01:00Z,2021-06-23T01:01:00Z,NEON.DOC.014048vN,HEAL_048-M-9.5-21.5-20210622,A00000307185,HEAL_048-M-9.5-21.5-20210622-KCL,B00000127430,HEAL_048-M-9.5-21.5,tInitial,0,2021-06-23T22:56:00Z,HEAL-20210623-BRef1,9.99,100,2021-06-24T01:00:00Z,OK,NA,0000-0002-2117-4697,0000-0003-3744-1769,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
0809a541-ac51-45b8-a79a-fc101bab9f59,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-22T23:53:00Z,2021-07-12T22:00:00Z,NEON.DOC.014048vN,HEAL_048-O-39-24.5-20210712,A00000308015,HEAL_048-O-39-24.5-20210712-KCL,B00000127690,HEAL_048-O-39-24.5,tFinal,19.92,2021-07-13T20:42:00Z,HEAL-20210713-BRef1,10.02,100,2021-07-13T23:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
858b819a-0ac1-4396-a251-8d46f67bd2fb,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-23T00:19:00Z,2021-07-12T22:14:00Z,NEON.DOC.014048vN,HEAL_048-M-2-7.5-20210712,A00000307952,HEAL_048-M-2-7.5-20210712-KCL,B00000127693,HEAL_048-M-2-7.5,tFinal,19.91,2021-07-13T20:46:00Z,HEAL-20210713-BRef1,10.02,100,2021-07-13T23:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
ac27c41f-6d1b-4651-bd90-ffb40a8010f6,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-23T00:19:00Z,2021-07-12T22:14:00Z,NEON.DOC.014048vN,HEAL_048-O-2-7.5-20210712,A00000307933,HEAL_048-O-2-7.5-20210712-KCL,B00000127691,HEAL_048-O-2-7.5,tFinal,19.91,2021-07-13T20:43:00Z,HEAL-20210713-BRef1,10,100,2021-07-13T23:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
51bd262a-d173-46bc-85e9-43b387460bd0,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-23T01:01:00Z,2021-07-12T22:14:00Z,NEON.DOC.014048vN,HEAL_048-M-9.5-21.5-20210712,A00000307984,HEAL_048-M-9.5-21.5-20210712-KCL,B00000127694,HEAL_048-M-9.5-21.5,tFinal,19.88,2021-07-13T20:45:00Z,HEAL-20210713-BRef1,9.99,100,2021-07-13T23:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
e53df091-0604-469a-9551-0c92332e5186,HEAL_048.basePlot.bgc,D19,HEAL,HEAL_048,tower,2021-06-23T01:01:00Z,2021-07-12T22:14:00Z,NEON.DOC.014048vN,HEAL_048-O-9.5-21.5-20210712,A00000307998,HEAL_048-O-9.5-21.5-20210712-KCL,B00000127692,HEAL_048-O-9.5-21.5,tFinal,19.88,2021-07-13T20:45:00Z,HEAL-20210713-BRef1,10.01,100,2021-07-13T23:00:00Z,OK,NA,0000-0002-3309-2269,0000-0003-3744-1769,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,ntr_internalLab
