uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
734b0083-61db-4370-b1e3-3f274e383dbb,D05,TREE,TREE_046,TREE_046.basePlot.bgc,tower,deciduousForest,NA,6,27.5,WGS84,45.49355,-89.592162,20.2,465.5,0.31,NEON.DOC.014048vL,2019-05-01T15:16:00Z,2019-05-01T15:16:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,TREE_046-M-6-27.5-20190501,A00000075740,NA,M,NA,5.2,6.6,0,30,maximum,corer,1,NA,NA,NA,NA,TREE_046-M-6-27.5-20190501-GA1,C00000021632,NA,TREE_046-M-6-27.5-20190501-GA2,C00000021633,NA,TREE_046-M-6-27.5-20190501-GA3,C00000021634,NA,TREE_046-M-6-27.5-20190501-GA4,C00000021635,NA,TREE_046-M-6-27.5-20190501-GA5,C00000021636,NA,NA,NA,NA,NA,NA,NA,0000-0002-4282-2761,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
32647c97-b1a4-464d-8ed9-979e23b5d86b,D05,TREE,TREE_046,TREE_046.basePlot.bgc,tower,deciduousForest,NA,20.5,31.5,WGS84,45.49355,-89.592162,20.2,465.5,0.31,NEON.DOC.004130vD,2019-05-01T15:53:00Z,2019-05-01T15:53:00Z,winterSpringTransition,NA,NA,10,No,microbes,NA,no incubation,NA,TREE_046-M-20.5-31.5-20190501,A00000075738,NA,M,NA,NA,NA,0,29.3,maximum,brownie cutter,1,NA,NA,NA,NA,TREE_046-M-20.5-31.5-20190501-GA1,C00000021622,NA,TREE_046-M-20.5-31.5-20190501-GA2,C00000021623,NA,TREE_046-M-20.5-31.5-20190501-GA3,C00000021624,NA,TREE_046-M-20.5-31.5-20190501-GA4,C00000021625,NA,TREE_046-M-20.5-31.5-20190501-GA5,C00000021626,NA,NA,NA,NA,NA,NA,Standing water 10.5,0000-0002-4282-2761,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
6824cf6b-3d9e-4d77-97d4-be4f2de1de7b,D05,TREE,TREE_046,TREE_046.basePlot.bgc,tower,deciduousForest,NA,32,3,WGS84,45.49355,-89.592162,20.2,465.5,0.31,NEON.DOC.014048vL,2019-05-01T16:28:00Z,2019-05-01T16:28:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,TREE_046-M-32-3-20190501,A00000075739,NA,M,NA,5.2,5.2,0,30.4,maximum,corer,1,NA,NA,NA,NA,TREE_046-M-32-3-20190501-GA1,C00000021629,NA,TREE_046-M-32-3-20190501-GA2,C00000021631,NA,TREE_046-M-32-3-20190501-GA3,C00000021628,NA,TREE_046-M-32-3-20190501-GA4,C00000021630,NA,TREE_046-M-32-3-20190501-GA5,C00000021627,NA,NA,NA,NA,NA,NA,NA,0000-0002-4282-2761,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
dc905ce0-7ddd-4578-9c6f-550117a258f3,D05,TREE,TREE_049,TREE_049.basePlot.bgc,tower,deciduousForest,NA,10.5,4,WGS84,45.493852,-89.591026,20.2,468.3,0.28,NEON.DOC.014048vL,2019-05-01T17:03:00Z,2019-05-01T17:03:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,TREE_049-M-10.5-4-20190501,A00000075741,NA,M,NA,5.1,3,0,30,maximum,corer,1,NA,NA,NA,NA,TREE_049-M-10.5-4-20190501-GA1,C00000021637,NA,TREE_049-M-10.5-4-20190501-GA2,C00000021639,NA,TREE_049-M-10.5-4-20190501-GA3,C00000021638,NA,TREE_049-M-10.5-4-20190501-GA4,C00000021641,NA,TREE_049-M-10.5-4-20190501-GA5,C00000021640,NA,NA,NA,NA,NA,NA,NA,0000-0002-0614-4414,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
a899e9d1-d5f3-4a39-80c5-07e11a1f7dfc,D05,TREE,TREE_049,TREE_049.basePlot.bgc,tower,deciduousForest,NA,22.5,9.5,WGS84,45.493852,-89.591026,20.2,468.3,0.28,NEON.DOC.014048vL,2019-05-01T17:39:00Z,2019-05-01T17:39:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,TREE_049-M-22.5-9.5-20190501,A00000075742,NA,M,NA,4.6,3.5,0,30.5,maximum,corer,1,NA,NA,NA,NA,TREE_049-M-22.5-9.5-20190501-GA1,C00000021644,NA,TREE_049-M-22.5-9.5-20190501-GA2,C00000021643,NA,TREE_049-M-22.5-9.5-20190501-GA3,C00000021645,NA,TREE_049-M-22.5-9.5-20190501-GA4,C00000021646,NA,TREE_049-M-22.5-9.5-20190501-GA5,C00000021642,NA,NA,NA,NA,NA,NA,NA,0000-0002-0614-4414,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
424a4731-87bc-4bad-8380-a60e3b0379bc,D05,TREE,TREE_049,TREE_049.basePlot.bgc,tower,deciduousForest,NA,24.5,36,WGS84,45.493852,-89.591026,20.2,468.3,0.28,NEON.DOC.014048vL,2019-05-01T18:12:00Z,2019-05-01T18:12:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,TREE_049-M-24.5-36-20190501,A00000075743,NA,M,NA,4.9,3.1,0,30,maximum,corer,1,NA,NA,NA,NA,TREE_049-M-24.5-36-20190501-GA1,C00000021650,NA,TREE_049-M-24.5-36-20190501-GA2,C00000021649,NA,TREE_049-M-24.5-36-20190501-GA3,C00000021651,NA,TREE_049-M-24.5-36-20190501-GA4,C00000021647,NA,TREE_049-M-24.5-36-20190501-GA5,C00000021648,NA,NA,NA,NA,NA,NA,NA,0000-0002-0614-4414,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
bc1b7fd3-22a4-4a43-ad1c-3d291640c089,D05,TREE,TREE_041,TREE_041.basePlot.bgc,tower,deciduousForest,NA,10,9,WGS84,45.494189,-89.587995,20.2,464.8,0.24,NEON.DOC.004130vD,2019-05-01T19:59:00Z,2019-05-01T19:59:00Z,winterSpringTransition,NA,NA,7,No,microbes,NA,no incubation,NA,TREE_041-M-10-9-20190501,A00000075737,NA,M,NA,NA,NA,0,29.3,maximum,brownie cutter,1,NA,NA,NA,NA,TREE_041-M-10-9-20190501-GA1,C00000021617,NA,TREE_041-M-10-9-20190501-GA2,C00000021618,NA,TREE_041-M-10-9-20190501-GA3,C00000021620,NA,TREE_041-M-10-9-20190501-GA4,C00000021619,NA,TREE_041-M-10-9-20190501-GA5,C00000021621,NA,NA,NA,NA,NA,NA,NA,0000-0002-0614-4414,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
6b2e1bdf-7dbe-4d1e-b23c-f80e9b24a79e,D05,TREE,TREE_041,TREE_041.basePlot.bgc,tower,deciduousForest,NA,18.5,33.5,WGS84,45.494189,-89.587995,20.2,464.8,0.24,NEON.DOC.014048vL,2019-05-01T20:44:00Z,2019-05-01T20:44:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,TREE_041-M-18.5-33.5-20190501,A00000075735,NA,M,NA,2.8,5,0,30,maximum,corer,1,NA,NA,NA,NA,TREE_041-M-18.5-33.5-20190501-GA1,C00000021607,NA,TREE_041-M-18.5-33.5-20190501-GA2,C00000021609,NA,TREE_041-M-18.5-33.5-20190501-GA3,C00000021611,NA,TREE_041-M-18.5-33.5-20190501-GA4,C00000021610,NA,TREE_041-M-18.5-33.5-20190501-GA5,C00000021608,NA,NA,NA,NA,NA,NA,NA,0000-0002-0614-4414,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
e3db1172-eb98-4061-802a-30cf947e8187,D05,TREE,TREE_041,TREE_041.basePlot.bgc,tower,deciduousForest,NA,31,25.5,WGS84,45.494189,-89.587995,20.2,464.8,0.24,NEON.DOC.014048vL,2019-05-01T21:13:00Z,2019-05-01T21:13:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,TREE_041-M-31-25.5-20190501,A00000075736,NA,M,NA,4.9,5.3,0,30,maximum,corer,1,NA,NA,NA,NA,TREE_041-M-31-25.5-20190501-GA1,C00000021614,NA,TREE_041-M-31-25.5-20190501-GA2,C00000021613,NA,TREE_041-M-31-25.5-20190501-GA3,C00000021615,NA,TREE_041-M-31-25.5-20190501-GA4,C00000021616,NA,TREE_041-M-31-25.5-20190501-GA5,C00000021612,NA,NA,NA,NA,NA,NA,NA,0000-0002-0614-4414,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
c0a7f24f-023f-48a7-a6cb-a59769da15e1,D05,TREE,TREE_001,TREE_001.basePlot.bgc,distributed,evergreenForest,NA,4.5,34.5,WGS84,45.487729,-89.569881,20.2,452.5,0.2,NEON.DOC.014048vL,2019-05-02T14:56:00Z,2019-05-02T14:56:00Z,winterSpringTransition,NA,NA,0,No,microbes,NA,no incubation,NA,TREE_001-M-4.5-34.5-20190502,A00000075731,NA,M,Thin O horizon present,0.9,3.9,0,31,maximum,corer,1,NA,NA,NA,NA,TREE_001-M-4.5-34.5-20190502-GA1,C00000021604,NA,TREE_001-M-4.5-34.5-20190502-GA2,C00000021602,NA,TREE_001-M-4.5-34.5-20190502-GA3,C00000021603,NA,TREE_001-M-4.5-34.5-20190502-GA4,C00000021605,NA,TREE_001-M-4.5-34.5-20190502-GA5,C00000021606,NA,NA,NA,NA,NA,NA,Thin organic layer on top,0000-0002-5484-7763,NA,20251217T193706Z,RELEASE-2026,DP1.10086.001,TREE,2019,sls_soilCoreCollection
