uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
b4dcc51e-60d8-48ca-9f85-3b1163144284,D13,MOAB,MOAB_005,MOAB_005.basePlot.bgc,distributed,shrubScrub,23_400,38,11.5,WGS84,38.21093,-109.403726,20.1,1768.1,0.11,NEON.DOC.014048vO,2023-03-20T20:51:00Z,2023-03-20T20:51:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_005-M-23-20230320,A00000388330,N,M,OK,4.9,0,0,31,maximum,auger,1,NA,NA,NA,NA,NA,D00000140554,NA,NA,D00000140553,NA,NA,D00000140550,NA,NA,D00000140552,NA,NA,D00000140551,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
1c753e50-dc26-4a3e-961d-e4413f094d11,D13,MOAB,MOAB_005,MOAB_005.basePlot.bgc,distributed,shrubScrub,39_400,7,35,WGS84,38.21093,-109.403726,20.1,1768.1,0.11,NEON.DOC.014048vO,2023-03-20T21:19:00Z,2023-03-20T21:19:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_005-M-39-20230320,A00000388328,N,M,OK,4.2,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,D00000140563,NA,NA,D00000140560,NA,NA,D00000140564,NA,NA,D00000140561,NA,NA,D00000140562,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
342aae1c-4c90-42c9-bd20-29c4bd390bf9,D13,MOAB,MOAB_005,MOAB_005.basePlot.bgc,distributed,shrubScrub,21_400,4.5,2,WGS84,38.21093,-109.403726,20.1,1768.1,0.11,NEON.DOC.014048vO,2023-03-20T21:30:00Z,2023-03-20T21:30:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_005-M-21-20230320,A00000388329,N,M,OK,4.4,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,D00000140555,NA,NA,D00000140559,NA,NA,D00000140557,NA,NA,D00000140556,NA,NA,D00000140558,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
c3f6659f-9138-42da-83f4-e785382c5a7b,D13,MOAB,MOAB_002,MOAB_002.basePlot.bgc,distributed,shrubScrub,41_400,35.5,21.5,WGS84,38.210793,-109.414698,20.1,1773.5,0.1,NEON.DOC.014048vO,2023-03-20T22:22:00Z,2023-03-20T22:22:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_002-M-41-20230320,A00000388319,N,M,OK,5.4,0,0,31,maximum,auger,1,NA,NA,NA,NA,NA,D00000140506,NA,NA,D00000140508,NA,NA,D00000140505,NA,NA,D00000140507,NA,NA,D00000140509,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
3b5caa94-53b0-4896-9b35-e8402d0c6b96,D13,MOAB,MOAB_002,MOAB_002.basePlot.bgc,distributed,shrubScrub,23_400,22,6,WGS84,38.210793,-109.414698,20.1,1773.5,0.1,NEON.DOC.014048vO,2023-03-20T22:35:00Z,2023-03-20T22:35:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_002-M-23-20230320,A00000388321,N,M,OK,4.9,0,0,32,maximum,auger,1,NA,NA,NA,NA,NA,D00000140514,NA,NA,D00000140513,NA,NA,D00000140511,NA,NA,D00000140510,NA,NA,D00000140512,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
701c6509-d1fe-4f8e-aeba-9ac2b6e99dfc,D13,MOAB,MOAB_002,MOAB_002.basePlot.bgc,distributed,shrubScrub,39_400,7,33.5,WGS84,38.210793,-109.414698,20.1,1773.5,0.1,NEON.DOC.014048vO,2023-03-20T22:47:00Z,2023-03-20T22:47:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_002-M-39-20230320,A00000388320,N,M,OK,5.4,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,D00000140518,NA,NA,D00000140517,NA,NA,D00000140515,NA,NA,D00000140519,NA,NA,D00000140516,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
5b068d6a-93f7-4dc0-99a3-22d686fea19e,D13,MOAB,MOAB_001,MOAB_001.basePlot.bgc,distributed,shrubScrub,23_400,24,6,WGS84,38.257569,-109.413674,20.1,1799.3,0.1,NEON.DOC.014048vO,2023-03-21T14:35:00Z,2023-03-21T14:35:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_001-M-23-20230321,A00000388318,N,M,OK,1.9,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,D00000140491,NA,NA,D00000140492,NA,NA,D00000140494,NA,NA,D00000140490,NA,NA,D00000140493,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
2b1b5b46-7b7f-4d9f-8e93-963ec8dd188b,D13,MOAB,MOAB_001,MOAB_001.basePlot.bgc,distributed,shrubScrub,39_400,4.5,34.5,WGS84,38.257569,-109.413674,20.1,1799.3,0.1,NEON.DOC.014048vO,2023-03-21T14:47:00Z,2023-03-21T14:47:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_001-M-39-20230321,A00000388316,N,M,OK,1.8,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,D00000140500,NA,NA,D00000140504,NA,NA,D00000140501,NA,NA,D00000140502,NA,NA,D00000140503,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
4936bd9c-604d-4e4b-a58f-3ad7b4d912c4,D13,MOAB,MOAB_001,MOAB_001.basePlot.bgc,distributed,shrubScrub,21_400,10.5,8.5,WGS84,38.257569,-109.413674,20.1,1799.3,0.1,NEON.DOC.014048vO,2023-03-21T15:00:00Z,2023-03-21T15:00:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_001-M-21-20230321,A00000388317,N,M,OK,1.8,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,D00000140498,NA,NA,D00000140499,NA,NA,D00000140495,NA,NA,D00000140497,NA,NA,D00000140496,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
a29459af-3aba-4076-86b0-83f802b01067,D13,MOAB,MOAB_046,MOAB_046.basePlot.bgc,tower,shrubScrub,39_400,10.5,39,WGS84,38.248084,-109.392292,20.1,1792.2,0.11,NEON.DOC.014048vO,2023-03-21T16:30:00Z,2023-03-21T16:30:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,MOAB_046-M-39-20230321,A00000388340,N,M,OK,2,0,0,31,maximum,auger,1,NA,NA,NA,NA,NA,D00000140618,NA,NA,D00000140619,NA,NA,D00000140615,NA,NA,D00000140617,NA,NA,D00000140616,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-0834-4276,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,MOAB,2023,sls_soilCoreCollection
