uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
b30a88c1-f9d4-483d-add6-4bbdf892737b,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,41_400,39,24.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.014048vN,2021-06-22T23:53:00Z,2021-06-22T23:53:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,3,tInitial,microbesBiomassBGC,OK,no incubation,NA,HEAL_048-O-39-24.5-20210622,A00000307197,N,O,OK,2.6,0,0,30,entire,brownie cutter,1,HEAL_048-O-39-24.5-20210622-GEN,B00000127502,OK,NA,NA,C00000055585,NA,NA,C00000055597,NA,NA,C00000055604,NA,NA,C00000055599,NA,NA,C00000055606,NA,NA,NA,HEAL_048-O-39-24.5-20210622-BM,B00000127267,OK,NA,0000-0002-2117-4697,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
67b166c0-0d4b-4cd9-a7f5-05c583f201a2,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,21_400,2,7.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.014048vN,2021-06-23T00:19:00Z,2021-06-23T00:19:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,HEAL_048-M-2-7.5-20210622,A00000307186,N,M,OK,5.3,0,21.7,27.8,obstruction,brownie cutter,1,HEAL_048-M-2-7.5-20210622-GEN,B00000127500,OK,NA,NA,C00000055596,NA,NA,C00000055590,NA,NA,C00000055602,NA,NA,C00000055587,NA,NA,C00000055598,NA,NA,NA,HEAL_048-M-2-7.5-20210622-BM,B00000127264,OK,Hit active layer.,0000-0002-2117-4697,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
5c8ea238-720a-46f2-a673-3d4fcf543a1b,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,21_400,2,7.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.014048vN,2021-06-23T00:19:00Z,2021-06-23T00:19:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,HEAL_048-O-2-7.5-20210622,A00000307199,N,O,OK,5.3,0,0,21.7,maximum,brownie cutter,1,HEAL_048-O-2-7.5-20210622-GEN,B00000127503,OK,NA,NA,C00000055611,NA,NA,C00000055607,NA,NA,C00000055610,NA,NA,C00000055608,NA,NA,C00000055613,NA,NA,NA,HEAL_048-O-2-7.5-20210622-BM,B00000127261,OK,NA,0000-0002-2117-4697,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
a58c4f74-c6ee-4c22-a944-98a8c7245a28,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,39_400,9.5,21.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.014048vN,2021-06-23T01:01:00Z,2021-06-23T01:01:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,HEAL_048-O-9.5-21.5-20210622,A00000307198,N,O,OK,1.3,0,0,15.1,entire,brownie cutter,1,HEAL_048-O-9.5-21.5-20210622-GEN,B00000127504,OK,NA,NA,C00000055612,NA,NA,C00000055605,NA,NA,C00000055603,NA,NA,C00000055609,NA,NA,C00000055601,NA,NA,NA,HEAL_048-O-9.5-21.5-20210622-BM,B00000127260,OK,NA,0000-0002-2117-4697,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
2ec8f2ee-73d0-4f8a-8fd1-dcb7d8ddb0b0,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,39_400,9.5,21.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.014048vN,2021-06-23T01:01:00Z,2021-06-23T01:01:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,HEAL_048-M-9.5-21.5-20210622,A00000307185,N,M,OK,1.3,0,15.1,21.5,obstruction,brownie cutter,1,HEAL_048-M-9.5-21.5-20210622-GEN,B00000127501,OK,NA,NA,C00000055588,NA,NA,C00000055589,NA,NA,C00000055591,NA,NA,C00000055594,NA,NA,C00000055593,NA,NA,NA,HEAL_048-M-9.5-21.5-20210622-BM,B00000127265,OK,Hit active layer.,0000-0002-2117-4697,NA,20251217T193958Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
b1fd86a1-c6e4-41f8-b1ee-5acf8bc4a06d,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,41_400,39,24.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.004130vE,2021-06-22T23:53:00Z,2021-07-12T22:00:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,0,tFinal,fieldOnly,OK,buried bag,OK,HEAL_048-O-39-24.5-20210712,A00000308015,N,O,OK,3.5,0,0,27.5,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hit active layer.,0000-0002-2117-4697,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
6949ad45-5d57-43b9-ae1f-b97f8b038497,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,21_400,2,7.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.004130vE,2021-06-23T00:19:00Z,2021-07-12T22:14:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,0,tFinal,fieldOnly,OK,buried bag,OK,HEAL_048-M-2-7.5-20210712,A00000307952,N,M,OK,1.5,0,22,26.8,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hit active layer,0000-0002-2117-4697,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
ff317512-a7b1-474e-be43-b6f18ed78341,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,21_400,2,7.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.004130vE,2021-06-23T00:19:00Z,2021-07-12T22:14:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,0,tFinal,fieldOnly,OK,buried bag,OK,HEAL_048-O-2-7.5-20210712,A00000307933,N,O,OK,1.5,0,0,22,entire,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-2117-4697,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
47f4e6fe-e907-484b-a260-282e7e035615,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,39_400,9.5,21.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.004130vE,2021-06-23T01:01:00Z,2021-07-12T22:14:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,0,tFinal,fieldOnly,OK,buried bag,OK,HEAL_048-O-9.5-21.5-20210712,A00000307998,N,O,OK,2.3,0,0,15,entire,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-2117-4697,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
7d5f6d49-3eba-4842-9142-7ce865380f1d,D19,HEAL,HEAL_048,HEAL_048.basePlot.bgc,tower,dwarfScrub,39_400,9.5,21.5,WGS84,63.875088,-149.210438,20.1,677.6,0.16,NEON.DOC.004130vE,2021-06-23T01:01:00Z,2021-07-12T22:14:00Z,peakGreenness,OK - no known exceptions,HEAL.peakGreenness.2021,0,tFinal,fieldOnly,OK,buried bag,OK,HEAL_048-M-9.5-21.5-20210712,A00000307984,N,M,OK,2.3,0,15,25.3,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hit active layer,0000-0002-2117-4697,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,HEAL,2021,sls_soilCoreCollection
