uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
91a63fdb-73bb-487b-bf3c-ffe6ddd8d50e,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,23_400,27.5,2,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-02-27T19:52:00Z,2023-02-27T19:52:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_045-M-23-20230227,B00000124555,N,M,OK,8.2,0,0,17,entire,auger,1,SJER_045-M-23-20230227-GEN,B00000124488,OK,dry ice,NA,D00000147059,NA,NA,D00000147052,NA,NA,D00000147053,NA,NA,D00000147063,NA,NA,D00000147056,NA,dry ice,2 mL vial,SJER_045-M-23-20230227-BM,B00000124623,OK,NA,0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
2499345d-5096-406b-ab8c-e5ba61b14ebc,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,41_400,27,37.5,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-02-27T20:07:00Z,2023-02-27T20:07:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_045-M-41-20230227,B00000124558,N,M,OK,7.5,1,0,18,entire,auger,1,SJER_045-M-41-20230227-GEN,B00000124490,OK,dry ice,NA,D00000147058,NA,NA,D00000147055,NA,NA,D00000147051,NA,NA,D00000147062,NA,NA,D00000147061,NA,dry ice,2 mL vial,SJER_045-M-41-20230227-BM,B00000124627,OK,NA,0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
6d9f83d6-08ca-4e35-a1aa-30a3ab31e73d,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,39_400,11.5,34,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-02-27T20:18:00Z,2023-02-27T20:18:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_045-M-39-20230227,B00000124556,N,M,OK,8.4,1,0,29,maximum,auger,1,SJER_045-M-39-20230227-GEN,B00000124489,OK,dry ice,NA,D00000147057,NA,NA,D00000147060,NA,NA,D00000147050,NA,NA,D00000147064,NA,NA,D00000147054,NA,dry ice,2 mL vial,SJER_045-M-39-20230227-BM,B00000124629,OK,Lots of ground squirrel activity in subplot,0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
b26eafb5-7a23-4ef0-8d45-f937fa06b98a,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,21_400,9,3.5,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-10-30T18:51:00Z,2023-10-30T18:51:00Z,dryWetTransition,OK - no known exceptions,SJER.dryWetTransition.2023-2024,0,tInitial,microbesBiomass,OK,no incubation,NA,SJER_045-M-21-20231030,A00000396978,N,M,OK,15.5,10,0,23,obstruction,auger,1,SJER_045-M-21-20231030-GEN,B00000045280,OK,dry ice,NA,C00000106862,NA,NA,C00000106853,NA,NA,C00000106948,NA,NA,C00000106927,NA,NA,C00000106913,NA,dry ice,5 mL vial,SJER_045-M-21-20231030-BM,B00000124262,OK,sample bottom depth matching depth of Ntrans cylinder,0009-0004-9671-061X,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
f1a9d3ff-12c5-4545-8d12-9c997f430691,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,41_400,37,28.5,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-10-30T19:09:00Z,2023-10-30T19:09:00Z,dryWetTransition,OK - no known exceptions,SJER.dryWetTransition.2023-2024,0,tInitial,microbesBiomass,OK,no incubation,NA,SJER_045-M-41-20231030,A00000396976,N,M,OK,11,5,0,17,entire,auger,1,SJER_045-M-41-20231030-GEN,B00000045288,OK,dry ice,NA,C00000106947,NA,NA,C00000106932,NA,NA,C00000106912,NA,NA,C00000106813,NA,NA,C00000106834,NA,dry ice,5 mL vial,SJER_045-M-41-20231030-BM,B00000125079,OK,Heavy ground squirrel burrow disturbance throughout subplot,0009-0004-9671-061X,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
e609000b-f3f4-4882-9111-26630beaa40f,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,23_400,37.5,16.5,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-10-30T19:28:00Z,2023-10-30T19:28:00Z,dryWetTransition,OK - no known exceptions,SJER.dryWetTransition.2023-2024,0,tInitial,microbesBiomass,OK,no incubation,NA,SJER_045-M-23-20231030,A00000396977,N,M,OK,16.7,0.5,0,13,NA,auger,1,SJER_045-M-23-20231030-GEN,B00000045278,OK,dry ice,NA,C00000106924,NA,NA,C00000106939,NA,NA,C00000106915,NA,NA,C00000106911,NA,NA,C00000106953,NA,dry ice,5 mL vial,SJER_045-M-23-20231030-BM,B00000125077,OK,NA,0009-0004-9671-061X,NA,20251217T194054Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
34210d27-396a-4336-8206-1d98b5543742,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,41_400,28.5,37.5,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-05-15T15:33:00Z,2023-05-15T15:33:00Z,wetDryTransition,OK - no known exceptions,SJER.wetDryTransition.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_045-M-41-20230515,A00000396272,N,M,OK,20.1,1,0,29,entire,auger,1,SJER_045-M-41-20230515-GEN,B00000124734,OK,dry ice,NA,D00000147461,NA,NA,D00000147462,NA,NA,D00000147460,NA,NA,D00000147465,NA,NA,D00000147459,NA,dry ice,2 mL vial,SJER_045-M-41-20230515-BM,B00000124751,OK,Ground squirrel disturbance throughout subplot,0000-0003-0973-4484,NA,20251217T193944Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
03cef024-5293-4461-a0b2-e59356b0222f,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,23_400,26,4,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-05-15T16:01:00Z,2023-05-15T16:01:00Z,wetDryTransition,OK - no known exceptions,SJER.wetDryTransition.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_045-M-23-20230515,A00000396270,N,M,OK,23.3,0.5,0,12,entire,auger,1,SJER_045-M-23-20230515-GEN,B00000124735,OK,dry ice,NA,D00000147473,NA,NA,D00000147466,NA,NA,D00000147469,NA,NA,D00000147464,NA,NA,D00000147470,NA,dry ice,2 mL vial,SJER_045-M-23-20230515-BM,B00000124749,OK,NA,0000-0003-0973-4484,NA,20251217T193944Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
6a3ab051-d37f-49ea-adee-03b10d8dc798,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,39_400,4,27.5,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-05-15T16:22:00Z,2023-05-15T16:22:00Z,wetDryTransition,OK - no known exceptions,SJER.wetDryTransition.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_045-M-39-20230515,A00000396271,N,M,OK,20.7,2,0,11,entire,auger,1,SJER_045-M-39-20230515-GEN,B00000124733,OK,dry ice,NA,D00000147425,NA,NA,D00000147454,NA,NA,D00000147423,NA,NA,D00000147427,NA,NA,D00000147455,NA,dry ice,2 mL vial,SJER_045-M-39-20230515-BM,B00000124750,OK,NA,0000-0003-0973-4484,NA,20251217T193944Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
114c4aea-9689-44d4-a5ea-d9a6ac261bcd,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,21_400,9,3.5,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-10-30T18:51:00Z,2023-11-27T16:52:00Z,dryWetTransition,OK - no known exceptions,SJER.dryWetTransition.2023-2024,0,tFinal,fieldOnly,OK,covered core,OK,SJER_045-M-21-20231127,NA,N,M,OK,6.4,3,0,16,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0001-4681-8196,NA,20251217T193921Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
