uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
33b4707f-7fa7-4fa3-9150-43af11bae939,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,23_400,23.5,0,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-04-26T13:57:00Z,2023-04-26T13:57:00Z,winterSpringTransition,OK - no known exceptions,MLBS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,MLBS_005-O-23-20230426,A00000223102,N,O,other,6.1,5.7,0,4.8,entire,brownie cutter,2,MLBS_005-O-23-20230426-GEN,B00000089301,OK,dry ice,NA,D00000116007,NA,NA,D00000116079,NA,NA,D00000115964,NA,NA,D00000116306,NA,NA,D00000116048,NA,dry ice,2 mL vial,MLBS_005-O-23-20230426-BM,B00000060154,OK,High density of worms in sample,0000-0003-1476-1962,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
ec8b4bb3-ddf5-4471-beb8-994977374863,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,23_400,23.5,0,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-04-26T13:57:00Z,2023-04-26T13:57:00Z,winterSpringTransition,OK - no known exceptions,MLBS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,MLBS_005-M-23-20230426,A00000221231,N,M,OK,6.1,5.7,4.8,19.5,maximum,auger,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MLBS_005-M-23-20230426-BM,B00000060151,OK,NA,0000-0003-1476-1962,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
093beb57-909f-440f-9b29-0fd1aedb27b7,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,41_400,27,31.5,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-04-26T14:44:00Z,2023-04-26T14:44:00Z,winterSpringTransition,OK - no known exceptions,MLBS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,MLBS_005-M-41-20230426,A00000223100,N,M,Thin O horizon present,6.6,3.5,0,19.9,maximum,auger,1,MLBS_005-M-41-20230426-GEN,B00000089297,OK,dry ice,NA,D00000116025,NA,NA,D00000115969,NA,NA,D00000116038,NA,NA,D00000116034,NA,NA,D00000116164,NA,dry ice,2 mL vial,MLBS_005-M-41-20230426-BM,B00000060152,OK,NA,0000-0003-1476-1962,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
55d11b55-acc6-4171-a0d0-fb1ab0a900ba,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,39_400,5,26.5,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-04-26T15:01:00Z,2023-04-26T15:01:00Z,winterSpringTransition,OK - no known exceptions,MLBS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,MLBS_005-M-39-20230426,A00000223101,N,M,OK,6.5,3.5,0,20.3,maximum,auger,1,MLBS_005-M-39-20230426-GEN,B00000089293,OK,dry ice,NA,D00000116170,NA,NA,D00000115966,NA,NA,D00000115946,NA,NA,D00000116243,NA,NA,D00000115903,NA,dry ice,2 mL vial,MLBS_005-M-39-20230426-BM,B00000060157,OK,NA,0000-0003-1476-1962,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
632b48b1-a432-4b1c-ad48-8488939d7e2c,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,23_400,23.5,0,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-04-26T13:57:00Z,2023-05-16T12:28:00Z,winterSpringTransition,OK - no known exceptions,MLBS.winterSpringTransition.2023,0,tFinal,fieldOnly,OK,covered core,OK,MLBS_005-M-23-20230516,NA,N,M,OK,11.6,3.7,5,19.4,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1476-1962,NA,20251217T193649Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
c2f45edd-a6ba-4371-90fa-97ea0f582b35,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,23_400,23.5,0,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-04-26T13:57:00Z,2023-05-16T12:28:00Z,winterSpringTransition,OK - no known exceptions,MLBS.winterSpringTransition.2023,0,tFinal,fieldOnly,OK,covered core,OK,MLBS_005-O-23-20230516,A00000223828,N,O,OK,11.6,3.7,0,5,entire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1476-1962,NA,20251217T193649Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
d3774be0-3642-44ab-ba7b-ff96f8074973,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,41_400,27,31.5,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-04-26T14:44:00Z,2023-05-16T12:19:00Z,winterSpringTransition,OK - no known exceptions,MLBS.winterSpringTransition.2023,0,tFinal,fieldOnly,OK,covered core,OK,MLBS_005-M-41-20230516,A00000223812,N,M,Thin O horizon present,11.3,3.5,0,18.4,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1476-1962,NA,20251217T193649Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
5346fdeb-bb69-4d39-a3f0-9563369bfa42,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,39_400,5,26.5,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-04-26T15:01:00Z,2023-05-16T12:11:00Z,winterSpringTransition,OK - no known exceptions,MLBS.winterSpringTransition.2023,0,tFinal,fieldOnly,OK,covered core,OK,MLBS_005-M-39-20230516,A00000223796,N,M,Thin O horizon present,11.5,3.2,0,19.1,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1476-1962,NA,20251217T193649Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
cc691f92-e2a6-4583-934a-bcfb6983095d,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,21_400,17.5,7,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-07-12T14:21:00Z,2023-08-01T12:52:00Z,peakGreenness,OK - no known exceptions,MLBS.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,MLBS_005-M-21-20230801,NA,N,M,OK,15.2,2.8,6.1,17.3,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1476-1962,NA,20251217T193950Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
f4995b65-40cb-4f83-85df-28946f2d8dca,D07,MLBS,MLBS_005,MLBS_005.basePlot.bgc,distributed,deciduousForest,21_400,17.5,7,WGS84,37.363106,-80.521589,20.2,1266.8,0.25,NEON.DOC.014048vO,2023-07-12T14:21:00Z,2023-08-01T12:52:00Z,peakGreenness,OK - no known exceptions,MLBS.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,MLBS_005-O-21-20230801,A00000224184,N,O,Thin M horizon present,15.2,2.8,0,6.1,entire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1476-1962,NA,20251217T193950Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilCoreCollection
