uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
841e7361-d855-4663-a948-4b86735d101c,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,39_400,5,38.5,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T12:41:00Z,2021-04-06T12:41:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,GRSM_003-O-5-38.5-20210406,A00000214597,N,O,OK,9,7,0,5.1,entire,brownie cutter,1,GRSM_003-O-5-38.5-20210406-GEN,B00000026186,OK,NA,NA,C00000076971,NA,NA,C00000076967,NA,NA,C00000076964,NA,NA,C00000076961,NA,NA,C00000076959,NA,NA,NA,GRSM_003-O-5-38.5-20210406-BM,B00000059280,OK,NA,0000-0003-1944-3584,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
dcce62da-552d-48f5-8c6b-2f532245ef60,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,39_400,5,38.5,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T12:41:00Z,2021-04-06T12:41:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,GRSM_003-M-5-38.5-20210406,A00000214596,N,M,OK,9,7,5.1,26,obstruction,auger,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GRSM_003-M-5-38.5-20210406-BM,B00000026160,OK,NA,0000-0003-1944-3584,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
9c98db75-0e79-406f-b03b-175607bcf6d8,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,39_400,5,38.5,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T12:41:00Z,2021-04-27T11:53:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,GRSM_003-M-5-38.5-20210427,A00000215057,N,M,OK,10.9,4.5,4,25,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-5381-0889,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
bcae9bda-57f6-401a-b52d-a9bbd99bcc6b,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,39_400,5,38.5,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T12:41:00Z,2021-04-27T11:53:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,GRSM_003-O-5-38.5-20210427,A00000215060,N,O,OK,10.9,4.5,0,4,entire,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-5381-0889,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
b3c5b128-0321-43dc-bad2-7cbba0e6c915,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,21_400,8,9.5,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T13:47:00Z,2021-04-06T13:47:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,GRSM_003-O-8-9.5-20210406,A00000214589,N,O,OK,9.2,4,0,4.8,entire,brownie cutter,1,GRSM_003-O-8-9.5-20210406-GEN,B00000026187,OK,NA,NA,C00000076969,NA,NA,C00000076966,NA,NA,C00000076963,NA,NA,C00000076970,NA,NA,C00000076958,NA,NA,NA,GRSM_003-O-8-9.5-20210406-BM,B00000059281,OK,NA,0000-0003-1944-3584,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
e5f65eea-7ba2-4146-b346-a8d79df60af2,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,21_400,8,9.5,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T13:47:00Z,2021-04-06T13:47:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,GRSM_003-M-8-9.5-20210406,A00000214598,N,M,OK,9.2,4,4.8,30.5,maximum,auger,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GRSM_003-M-8-9.5-20210406-BM,B00000026166,OK,NA,0000-0003-1944-3584,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
039bd367-075b-4e3d-af6a-bdd3dd9dff38,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,21_400,8,9.5,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T13:47:00Z,2021-04-27T12:01:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,GRSM_003-O-8-9.5-20210427,A00000215061,N,O,OK,11,4.5,0,5,entire,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-5381-0889,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
d1e43c74-826d-485d-9fe9-6c7ed2574bb8,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,21_400,8,9.5,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T13:47:00Z,2021-04-27T12:01:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,GRSM_003-M-8-9.5-20210427,A00000215062,N,M,OK,11,4.5,5,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-5381-0889,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
59f91c8d-ed2f-4df2-84e3-9073c57a20e4,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,23_400,37.5,13,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T14:46:00Z,2021-04-06T14:46:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,GRSM_003-O-37.5-13-20210406,A00000214591,N,O,OK,9.4,10,0,7.6,entire,brownie cutter,1,GRSM_003-O-37.5-13-20210406-GEN,B00000026185,OK,NA,NA,C00000076972,NA,NA,C00000076968,NA,NA,C00000076965,NA,NA,C00000076962,NA,NA,C00000076960,NA,NA,NA,GRSM_003-O-37.5-13-20210406-BM,B00000059278,OK,NA,0000-0003-1944-3584,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
9b599e8c-599d-4b2a-ab70-2019ec881896,D07,GRSM,GRSM_003,GRSM_003.basePlot.bgc,distributed,deciduousForest,23_400,37.5,13,WGS84,35.67661,-83.474563,20.2,892.9,0.28,NEON.DOC.014048vN,2021-04-06T14:46:00Z,2021-04-06T14:46:00Z,winterSpringTransition,OK - no known exceptions,GRSM.winterSpringTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,GRSM_003-M-37.5-13-20210406,A00000214590,N,M,OK,9.4,10,7.6,32,maximum,auger,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GRSM_003-M-37.5-13-20210406-BM,B00000059108,OK,NA,0000-0003-1944-3584,NA,20251217T193605Z,RELEASE-2026,DP1.10086.001,GRSM,2021,sls_soilCoreCollection
