uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
4bd4d4fe-5cbe-4d51-8362-082401952c67,D10,CPER,CPER_002,CPER_002.basePlot.bgc,2019-06-24T18:46:00Z,2019-06-24T19:35:00Z,NA,NEON.DOC.014048vL,CPER_002-M-23-30.5-20190624|CPER_002-M-25-5.5-20190624|CPER_002-M-0-9.5-20190624,CPER_002-M-20190624-COMP,B00000012104,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
4c6db1d4-4a9d-409d-95a5-14186f314c84,D10,CPER,CPER_006,CPER_006.basePlot.bgc,2019-06-24T19:00:00Z,2019-06-24T19:38:00Z,NA,NEON.DOC.014048vL,CPER_006-M-9.5-12.5-20190624|CPER_006-M-39-0-20190624|CPER_006-M-13.5-34.5-20190624,CPER_006-M-20190624-COMP,B00000012132,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
475c9744-ea55-45f4-b773-1e755fb2d8c5,D10,CPER,CPER_004,CPER_004.basePlot.bgc,2019-06-24T20:31:00Z,2019-06-24T21:08:00Z,NA,NEON.DOC.014048vL,CPER_004-M-7-6.5-20190624|CPER_004-M-1.5-36-20190624|CPER_004-M-38.5-4-20190624,CPER_004-M-20190624-COMP,B00000012240,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
eb38dbb9-ba97-4c50-8c44-912ed06597da,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2019-06-24T20:44:00Z,2019-06-24T21:24:00Z,NA,NEON.DOC.014048vL,CPER_045-M-1-37-20190624|CPER_045-M-37.5-9-20190624|CPER_045-M-10-7-20190624,CPER_045-M-20190624-COMP,B00000012134,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
41d19836-b5da-4249-88b8-f3ce489f6930,D10,CPER,CPER_046,CPER_046.basePlot.bgc,2019-06-24T22:00:00Z,2019-06-24T22:28:00Z,NA,NEON.DOC.014048vL,CPER_046-M-4-35-20190624|CPER_046-M-32.5-22-20190624|CPER_046-M-21-3-20190624,CPER_046-M-20190624-COMP,B00000012131,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
42d87574-53cf-4ca7-b8ab-31aa7381a4a0,D10,CPER,CPER_003,CPER_003.basePlot.bgc,2019-06-24T22:09:00Z,2019-06-24T22:44:00Z,NA,NEON.DOC.014048vL,CPER_003-M-3.5-9.5-20190624|CPER_003-M-34.5-33.5-20190624|CPER_003-M-32.5-18-20190624,CPER_003-M-20190624-COMP,B00000011742,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
acd89431-9383-4b79-89cb-14dd730a4e1a,D10,CPER,CPER_047,CPER_047.basePlot.bgc,2019-06-24T23:03:00Z,2019-06-24T23:37:00Z,NA,NEON.DOC.014048vL,CPER_047-M-37-27-20190624|CPER_047-M-25.5-0-20190624|CPER_047-M-7.5-7.5-20190624,CPER_047-M-20190624-COMP,B00000012142,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
3da82da8-038a-41de-b90e-1872c6f0d563,D10,CPER,CPER_005,CPER_005.basePlot.bgc,2019-06-24T23:39:00Z,2019-06-25T00:17:00Z,NA,NEON.DOC.014048vL,CPER_005-M-39.5-5.5-20190624|CPER_005-M-13.5-4.5-20190624|CPER_005-M-6-24.5-20190624,CPER_005-M-20190624-COMP,B00000012243,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
6ae914d7-76aa-4840-bfa6-5e2a2f9eb022,D10,CPER,CPER_048,CPER_048.basePlot.bgc,2019-06-25T00:18:00Z,2019-06-25T00:42:00Z,NA,NEON.DOC.014048vL,CPER_048-M-30.5-35-20190624|CPER_048-M-1-16-20190624|CPER_048-M-34-16.5-20190624,CPER_048-M-20190624-COMP,B00000012111,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
93652606-db85-4d36-8eb8-bdc6ed8c43c7,D10,CPER,CPER_001,CPER_001.basePlot.bgc,2019-06-26T16:56:00Z,2019-06-26T17:36:00Z,NA,NEON.DOC.014048vL,CPER_001-M-35-18-20190626|CPER_001-M-8-7-20190626|CPER_001-M-31.5-38-20190626,CPER_001-M-20190626-COMP,B00000012255,OK,NA,NA,NA,NA,20251217T193443Z,RELEASE-2026,DP1.10086.001,CPER,2019,sls_metagenomicsPooling
