uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
111fed74-54e1-4d17-a11c-85f9f1181fce,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,21_400,0,4.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vO,2023-02-27T17:55:00Z,2023-02-27T17:55:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_046-M-21-20230227,B00000124560,N,M,OK,8,0.5,0,29,maximum,auger,1,SJER_046-M-21-20230227-GEN,B00000124491,OK,dry ice,NA,D00000147077,NA,NA,D00000147076,NA,NA,D00000147066,NA,NA,D00000147079,NA,NA,D00000147078,NA,dry ice,2 mL vial,SJER_046-M-21-20230227-BM,B00000124628,OK,NA,0000-0003-0973-4484,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
31f27879-00b0-4270-ad1d-c8cb2a1058b5,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,23_400,21.5,2.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vO,2023-02-27T18:21:00Z,2023-02-27T18:21:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_046-M-23-20230227,B00000124559,N,M,OK,8.6,0,0,30,maximum,auger,1,SJER_046-M-23-20230227-GEN,B00000124492,OK,dry ice,NA,D00000147070,NA,NA,D00000147072,NA,NA,D00000147065,NA,NA,D00000147074,NA,NA,D00000147068,NA,dry ice,2 mL vial,SJER_046-M-23-20230227-BM,B00000124625,OK,NA,0000-0003-0973-4484,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
cd7dfd44-773c-4249-99f4-84d63d242930,D17,SJER,SJER_046,SJER_046.basePlot.bgc,tower,evergreenForest,39_400,6.5,23.5,WGS84,37.111276,-119.728168,20.1,431.8,0.16,NEON.DOC.014048vO,2023-02-27T18:43:00Z,2023-02-27T18:43:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_046-M-39-20230227,B00000124561,N,M,OK,7.7,0.5,0,31,maximum,auger,1,SJER_046-M-39-20230227-GEN,B00000124493,OK,dry ice,NA,D00000147069,NA,NA,D00000147071,NA,NA,D00000147075,NA,NA,D00000147067,NA,NA,D00000147073,NA,dry ice,2 mL vial,SJER_046-M-39-20230227-BM,B00000124622,OK,NA,0000-0003-0973-4484,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
91a63fdb-73bb-487b-bf3c-ffe6ddd8d50e,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,23_400,27.5,2,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-02-27T19:52:00Z,2023-02-27T19:52:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_045-M-23-20230227,B00000124555,N,M,OK,8.2,0,0,17,entire,auger,1,SJER_045-M-23-20230227-GEN,B00000124488,OK,dry ice,NA,D00000147059,NA,NA,D00000147052,NA,NA,D00000147053,NA,NA,D00000147063,NA,NA,D00000147056,NA,dry ice,2 mL vial,SJER_045-M-23-20230227-BM,B00000124623,OK,NA,0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
2499345d-5096-406b-ab8c-e5ba61b14ebc,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,41_400,27,37.5,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-02-27T20:07:00Z,2023-02-27T20:07:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_045-M-41-20230227,B00000124558,N,M,OK,7.5,1,0,18,entire,auger,1,SJER_045-M-41-20230227-GEN,B00000124490,OK,dry ice,NA,D00000147058,NA,NA,D00000147055,NA,NA,D00000147051,NA,NA,D00000147062,NA,NA,D00000147061,NA,dry ice,2 mL vial,SJER_045-M-41-20230227-BM,B00000124627,OK,NA,0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
6d9f83d6-08ca-4e35-a1aa-30a3ab31e73d,D17,SJER,SJER_045,SJER_045.basePlot.bgc,tower,evergreenForest,39_400,11.5,34,WGS84,37.112827,-119.731615,20.1,412.9,0.1,NEON.DOC.014048vO,2023-02-27T20:18:00Z,2023-02-27T20:18:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_045-M-39-20230227,B00000124556,N,M,OK,8.4,1,0,29,maximum,auger,1,SJER_045-M-39-20230227-GEN,B00000124489,OK,dry ice,NA,D00000147057,NA,NA,D00000147060,NA,NA,D00000147050,NA,NA,D00000147064,NA,NA,D00000147054,NA,dry ice,2 mL vial,SJER_045-M-39-20230227-BM,B00000124629,OK,Lots of ground squirrel activity in subplot,0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
1bd2eabd-35e5-42e3-aceb-bc3fa2965818,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,39_400,6.5,22.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vO,2023-02-27T21:37:00Z,2023-02-27T21:37:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_001-M-39-20230227,B00000124537,N,M,Water table encountered,9.3,0,0,30,maximum,auger,1,SJER_001-M-39-20230227-GEN,B00000124471,OK,dry ice,NA,D00000146454,NA,NA,D00000146462,NA,NA,D00000146459,NA,NA,D00000146461,NA,NA,D00000146463,NA,dry ice,2 mL vial,SJER_001-M-39-20230227-BM,B00000124630,OK,"Soil saturated, auger hole filling with water",0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
bbef6426-247a-478a-ac93-bc71dded528a,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,21_400,14.5,1,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vO,2023-02-27T21:46:00Z,2023-02-27T21:46:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_001-M-21-20230227,B00000124538,N,M,OK,8.4,0.5,0,30,maximum,auger,1,SJER_001-M-21-20230227-GEN,B00000124470,OK,dry ice,NA,D00000146457,NA,NA,D00000146451,NA,NA,D00000146458,NA,NA,D00000146456,NA,NA,D00000146465,NA,dry ice,2 mL vial,SJER_001-M-21-20230227-BM,B00000124626,OK,Ground squirrel burrows throughout subplot,0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
a6507f41-8e03-401b-b65b-883648a62f90,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,41_400,23.5,31,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vO,2023-02-27T21:54:00Z,2023-02-27T21:54:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_001-M-41-20230227,B00000124539,N,M,OK,9.6,1,0,31,maximum,auger,1,SJER_001-M-41-20230227-GEN,B00000124472,OK,dry ice,NA,D00000146453,NA,NA,D00000146464,NA,NA,D00000146452,NA,NA,D00000146460,NA,NA,D00000146455,NA,dry ice,2 mL vial,SJER_001-M-41-20230227-BM,B00000124624,OK,NA,0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
d476c78a-d53f-4a0c-bc76-95a68403de11,D17,SJER,SJER_002,SJER_002.basePlot.bgc,distributed,grasslandHerbaceous,39_400,6,35,WGS84,37.082813,-119.743324,20.1,349.3,0.1,NEON.DOC.014048vO,2023-02-28T16:56:00Z,2023-02-28T16:56:00Z,peakGreenness,OK - no known exceptions,SJER.peakGreenness.2022-2023,0,No,microbesBiomass,OK,no incubation,NA,SJER_002-M-39-20230228,B00000124542,N,M,OK,7.2,1,0,30,maximum,auger,1,SJER_002-M-39-20230228-GEN,B00000124473,OK,dry ice,NA,D00000146982,NA,NA,D00000146989,NA,NA,D00000146984,NA,NA,D00000146985,NA,NA,D00000146978,NA,dry ice,2 mL vial,SJER_002-M-39-20230228-BM,B00000124632,OK,NA,0000-0001-7784-4082,NA,20251217T193708Z,RELEASE-2026,DP1.10086.001,SJER,2023,sls_soilCoreCollection
