uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
ae621fda-fa83-480f-a45b-3fd03173c2f9,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,41_400,25,31,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T20:10:00Z,2023-06-29T20:10:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,DEJU_015-O-41-20230629,A00000427677,N,O,OK,5.8,0,0,8.3,entire,brownie cutter,3,DEJU_015-O-41-20230629-GEN,B00000173064,OK,dry ice,NA,D00000154576,NA,NA,D00000154565,NA,NA,D00000154559,NA,NA,D00000154528,NA,NA,D00000154566,NA,dry ice,2 mL vial,DEJU_015-O-41-20230629-BM,B00000173257,OK,NA,0009-0002-9286-7877,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
0f22b575-d56a-40fd-a914-d08cec7c22b9,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,41_400,25,31,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T20:10:00Z,2023-06-29T20:10:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,DEJU_015-M-41-20230629,A00000309727,N,M,OK,5.8,0,8.3,31.3,maximum,corer,1,DEJU_015-M-41-20230629-GEN,B00000173214,OK,dry ice,NA,D00000167698,NA,NA,D00000167699,NA,NA,D00000167696,NA,NA,D00000167697,NA,NA,D00000167695,NA,dry ice,2 mL vial,DEJU_015-M-41-20230629-BM,B00000173252,OK,NA,0009-0002-9286-7877,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
28ef3fbc-5fee-46ed-8b53-58035cf30321,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,21_400,3,5,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T21:13:00Z,2023-06-29T21:13:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,DEJU_015-O-21-20230629,A00000427675,N,O,OK,6.8,0,0,10,obstruction,brownie cutter,3,DEJU_015-O-21-20230629-GEN,B00000173066,OK,dry ice,NA,D00000154549,NA,NA,D00000154515,NA,NA,D00000154539,NA,NA,D00000154530,NA,NA,D00000154506,NA,dry ice,2 mL vial,DEJU_015-O-21-20230629-BM,B00000173262,OK,Obstruction = roots,0009-0002-9286-7877,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
01af8c52-4263-4f9f-a72f-9563bc38d6c8,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,23_400,34.5,0.5,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T22:11:00Z,2023-06-29T22:11:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,DEJU_015-O-23-20230629,A00000427676,N,O,OK,8.9,0,0,10.4,entire,brownie cutter,3,DEJU_015-O-23-20230629-GEN,B00000173065,OK,dry ice,NA,D00000154534,NA,NA,D00000154558,NA,NA,D00000154567,NA,NA,D00000154540,NA,NA,D00000154568,NA,dry ice,2 mL vial,DEJU_015-O-23-20230629-BM,B00000173364,OK,NA,0009-0002-9286-7877,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
dba3d726-2c80-443f-b62a-d5d03d484a47,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,23_400,34.5,0.5,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T22:29:00Z,2023-06-29T22:29:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,DEJU_015-M-23-20230629,A00000309387,N,M,OK,8.4,0,10.4,30.8,maximum,corer,1,DEJU_015-M-23-20230629-GEN,B00000173212,OK,dry ice,NA,D00000167710,NA,NA,D00000167711,NA,NA,D00000167713,NA,NA,D00000167714,NA,NA,D00000167712,NA,dry ice,2 mL vial,DEJU_015-M-23-20230629-BM,B00000173359,OK,NA,0009-0002-9286-7877,NA,20251217T193745Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
7498191e-113f-4358-83e6-74b46addbb32,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,41_400,25,31,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T20:10:00Z,2023-07-26T17:09:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,DEJU_015-M-41-20230726,A00000428540,N,M,OK,10.1,0,8.6,25.6,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0009-3511-3746,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
b899e16a-2e69-44db-84fc-94e78296c71f,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,41_400,25,31,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T20:10:00Z,2023-07-26T17:09:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,DEJU_015-O-41-20230726,A00000428556,N,O,OK,10.1,0,0,8.6,entire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0009-3511-3746,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
ddad1f78-5e88-42d0-a3c4-3a696bdcd80e,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,21_400,3,5,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T21:13:00Z,2023-07-26T17:25:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,DEJU_015-O-21-20230726,A00000428524,N,O,OK,13.1,0,0,6.7,obstruction,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obstruction is roots,0009-0009-3511-3746,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
29c5521d-2468-41fd-8bdb-383258133acb,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,23_400,34.5,0.5,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T22:11:00Z,2023-07-26T17:35:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,DEJU_015-O-23-20230726,A00000428539,N,O,OK,11.3,0,0,3.6,entire,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0009-3511-3746,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
6ba16b14-cef9-4923-a393-6071c0451c7e,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,distributed,woodyWetlands,23_400,34.5,0.5,WGS84,63.87415,-145.741425,20.1,522.1,0.1,NEON.DOC.014048vO,2023-06-29T22:29:00Z,2023-07-26T17:35:00Z,peakGreenness,OK - no known exceptions,DEJU.peakGreenness.2023,0,tFinal,fieldOnly,OK,covered core,OK,DEJU_015-M-23-20230726,A00000428554,N,M,OK,11.3,0,3.6,23.2,obstruction,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0009-3511-3746,NA,20251217T193550Z,RELEASE-2026,DP1.10086.001,DEJU,2023,sls_soilCoreCollection
