uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
66ab09d5-764b-41d8-96ab-0df3f7d40782,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,21_400,16,9,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.004130vE,2023-03-14T12:23:00Z,2023-04-03T20:50:00Z,dryWetTransition,conditions not met,DSNY.dryWetTransition.2023,0,tFinal,fieldOnly,OK,buried bag,other,DSNY_003-M-21-20230403,A00000177205,N,M,OK,26.5,0.5,0,24,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hole may have backfilled as bag was being put into ground but sampling was to the maximum extent,0000-0001-9861-5609,NA,20251217T193541Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
07393a1b-5fa3-4647-99dc-3bbc15a8334c,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,23_400,32.5,12.5,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.004130vE,2023-03-14T13:00:00Z,2023-04-03T20:56:00Z,dryWetTransition,conditions not met,DSNY.dryWetTransition.2023,0,tFinal,fieldOnly,OK,buried bag,OK,DSNY_003-M-23-20230403,A00000177189,N,M,OK,26.7,1,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-9861-5609,NA,20251217T193541Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
54637f42-e0fe-43d8-8244-a41e0289a260,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,41_400,34.5,32,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.004130vE,2023-03-14T13:28:00Z,2023-04-03T21:01:00Z,dryWetTransition,conditions not met,DSNY.dryWetTransition.2023,0,tFinal,fieldOnly,OK,buried bag,OK,DSNY_003-M-41-20230403,A00000177238,N,M,OK,25,1,0,31,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-9861-5609,NA,20251217T193541Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
a93b6a12-aefc-4b5b-9d9b-40677599ebea,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,21_400,16,9,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.014048vO,2023-03-14T12:23:00Z,2023-03-14T12:23:00Z,dryWetTransition,conditions not met,DSNY.dryWetTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,DSNY_003-M-21-20230314,A00000176780,N,M,OK,19.1,1,0,31,maximum,auger,1,DSNY_003-M-21-20230314-GEN,B00000073141,OK,dry ice,NA,D00000098005,NA,NA,D00000098009,NA,NA,D00000098015,NA,NA,D00000098012,NA,NA,D00000098019,NA,dry ice,2 mL vial,DSNY_003-M-21-20230314-BM,B00000130446,OK,"site experiencing drought at the time of sampling, dry to wet transition not met",0000-0003-0743-8788,NA,20251217T194004Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
637ccde6-6865-4794-9d26-72a8eacaef6d,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,23_400,32.5,12.5,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.014048vO,2023-03-14T13:00:00Z,2023-03-14T13:00:00Z,dryWetTransition,conditions not met,DSNY.dryWetTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,DSNY_003-M-23-20230314,A00000176715,N,M,OK,18.3,1,0,30,maximum,auger,1,DSNY_003-M-23-20230314-GEN,B00000073142,OK,dry ice,NA,D00000098037,NA,NA,D00000097988,NA,NA,D00000098026,NA,NA,D00000097998,NA,NA,D00000098000,NA,dry ice,2 mL vial,DSNY_003-M-23-20230314-BM,B00000130445,OK,"site experiencing drought at the time of sampling, dry to wet transition not met",0000-0003-0743-8788,NA,20251217T194004Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
cedc6f84-af71-4786-98bf-322484cdc0f4,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,41_400,34.5,32,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.014048vO,2023-03-14T13:28:00Z,2023-03-14T13:28:00Z,dryWetTransition,conditions not met,DSNY.dryWetTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,DSNY_003-M-41-20230314,A00000176764,N,M,Thin O horizon present,18.6,2,0,30,maximum,auger,1,DSNY_003-M-41-20230314-GEN,B00000073140,OK,dry ice,NA,D00000098036,NA,NA,D00000098017,NA,NA,D00000097991,NA,NA,D00000098030,NA,NA,D00000098021,NA,dry ice,2 mL vial,DSNY_003-M-41-20230314-BM,B00000130444,OK,"site experiencing drought at the time of sampling, dry to wet transition not met | Less than 1cm organic",0000-0003-0743-8788,NA,20251217T194004Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
62b2d484-da38-4f0d-ad88-0b2f1314393c,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,21_400,3,2,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.014048vO,2023-09-13T13:31:00Z,2023-09-13T13:31:00Z,peakGreenness,OK - no known exceptions,DSNY.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,DSNY_003-M-21-20230913,A00000176922,N,M,OK,25.1,5,0,30.5,maximum,auger,1,DSNY_003-M-21-20230913-GEN,B00000073824,OK,dry ice,NA,C00000065425,NA,NA,C00000065424,NA,NA,C00000065423,NA,NA,C00000141093,NA,NA,C00000141065,NA,dry ice,5 mL vial,DSNY_003-M-21-20230913-BM,B00000073933,OK,NA,0000-0003-0743-8788,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
2415bbcc-9185-47b2-8306-f63262745dc9,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,21_400,3,2,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.004130vE,2023-09-13T13:31:00Z,2023-09-26T15:19:00Z,peakGreenness,OK - no known exceptions,DSNY.peakGreenness.2023,0,tFinal,fieldOnly,OK,buried bag,OK,DSNY_003-M-21-20230926,A00000173537,N,M,OK,24.9,4,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-0743-8788,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
41becbe4-f3d8-4fd1-b42f-95f375b3b5f0,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,23_400,37,17.5,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.014048vO,2023-09-13T13:54:00Z,2023-09-13T13:54:00Z,peakGreenness,OK - no known exceptions,DSNY.peakGreenness.2023,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,DSNY_003-M-23-20230913,A00000176920,N,M,Thin O horizon present,24.9,9,0,31,maximum,auger,1,DSNY_003-M-23-20230913-GEN,B00000073825,OK,dry ice,NA,C00000065428,NA,NA,C00000065430,NA,NA,C00000065427,NA,NA,C00000065429,NA,NA,C00000065426,NA,dry ice,5 mL vial,DSNY_003-M-23-20230913-BM,B00000073932,OK,NA,0000-0003-0743-8788,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
5d41d8ef-ed8c-4f0c-8dd1-cf62545258e6,D03,DSNY,DSNY_003,DSNY_003.basePlot.bgc,distributed,woodyWetlands,23_400,37,17.5,WGS84,28.074209,-81.425532,20.1,18.9,0.1,NEON.DOC.004130vE,2023-09-13T13:54:00Z,2023-09-26T15:28:00Z,peakGreenness,OK - no known exceptions,DSNY.peakGreenness.2023,0,tFinal,fieldOnly,OK,buried bag,OK,DSNY_003-M-23-20230926,A00000173555,N,M,OK,24.7,1,0,31,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-0743-8788,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilCoreCollection
