uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
a4162d6a-a3df-4a40-9cf8-67d0da73ffa4,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,tower,pastureHay,23_400,28.5,1,WGS84,18.019086,-67.075469,20.1,12.6,0.1,NEON.DOC.014048vO,2022-07-05T11:35:00Z,2022-07-05T11:35:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_044-M-23-20220705,A00000195281,N,M,OK,26.6,0,0,22,maximum,auger,2,NA,NA,NA,NA,NA,C00000066340,NA,NA,C00000066342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0002-6589-9569,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
4f69add7-7973-4f60-af8c-b511d3700cb7,D04,LAJA,LAJA_042,LAJA_042.basePlot.bgc,tower,pastureHay,41_400,26.5,30.5,WGS84,18.020196,-67.075468,20.1,13.2,0.1,NEON.DOC.014048vO,2022-07-05T11:39:00Z,2022-07-05T11:39:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_042-M-41-20220705,A00000194826,N,M,OK,25.7,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000066343,NA,NA,C00000066345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0001-8629-4086,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
91c748c5-27e9-4f1b-92f3-7d6011b179f2,D04,LAJA,LAJA_042,LAJA_042.basePlot.bgc,tower,pastureHay,23_400,22,0.5,WGS84,18.020196,-67.075468,20.1,13.2,0.1,NEON.DOC.014048vO,2022-07-05T12:00:00Z,2022-07-05T12:00:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_042-M-23-20220705,A00000194766,N,M,OK,25.7,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000066355,NA,NA,C00000066370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0001-8629-4086,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
05dc3940-22da-49f4-a3d3-970bf6241285,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,tower,pastureHay,41_400,33,24.5,WGS84,18.019086,-67.075469,20.1,12.6,0.1,NEON.DOC.014048vO,2022-07-05T12:06:00Z,2022-07-05T12:06:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_044-M-41-20220705,A00000195280,N,M,OK,26,0,0,28,maximum,auger,1,NA,NA,NA,NA,NA,C00000020971,NA,NA,C00000020973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0002-6589-9569,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
434e9543-a2fa-4a64-b43c-ad8583d294a4,D04,LAJA,LAJA_042,LAJA_042.basePlot.bgc,tower,pastureHay,21_400,7,17.5,WGS84,18.020196,-67.075468,20.1,13.2,0.1,NEON.DOC.014048vO,2022-07-05T12:25:00Z,2022-07-05T12:25:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_042-M-21-20220705,A00000192844,N,M,OK,25.4,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000066379,NA,NA,C00000066367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0001-8629-4086,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
c0051e7e-85b5-4421-9c9e-fee9ebb60cbd,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,tower,pastureHay,39_400,9.5,37.5,WGS84,18.019086,-67.075469,20.1,12.6,0.1,NEON.DOC.014048vO,2022-07-05T12:38:00Z,2022-07-05T12:38:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_044-M-39-20220705,A00000195279,N,M,OK,26.3,3,0,30,maximum,auger,2,NA,NA,NA,NA,NA,C00000066360,NA,NA,C00000066364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0002-6589-9569,location-resampled,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
2101802d-e0c9-4297-9941-b2d75f7fb216,D04,LAJA,LAJA_046,LAJA_046.basePlot.bgc,tower,pastureHay,23_400,35.5,10,WGS84,18.020963,-67.074891,20.1,13.8,0.1,NEON.DOC.014048vO,2022-07-05T13:44:00Z,2022-07-05T13:44:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_046-M-23-20220705,A00000195271,N,M,OK,26,1.5,0,23,maximum,auger,1,NA,NA,NA,NA,NA,C00000066359,NA,NA,C00000066365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0002-6589-9569,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
95b50933-22dd-412d-bfa7-aae68cfba872,D04,LAJA,LAJA_051,LAJA_051.basePlot.bgc,tower,pastureHay,23_400,33.5,19.5,WGS84,18.022074,-67.075175,20.1,17.6,0.1,NEON.DOC.014048vO,2022-07-05T13:47:00Z,2022-07-05T13:47:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_051-M-23-20220705,A00000194260,N,M,OK,28.1,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000066374,NA,NA,C00000066373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0001-8629-4086,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
ac2f1933-991a-4d24-8c04-b79aa6e15a38,D04,LAJA,LAJA_051,LAJA_051.basePlot.bgc,tower,pastureHay,41_400,34,22.5,WGS84,18.022074,-67.075175,20.1,17.6,0.1,NEON.DOC.014048vO,2022-07-05T14:02:00Z,2022-07-05T14:02:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_051-M-41-20220705,A00000194749,N,M,OK,26.9,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000066363,NA,NA,C00000066381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0001-8629-4086,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
f240e2fe-b39a-4d52-9c8f-56d41d54ab40,D04,LAJA,LAJA_046,LAJA_046.basePlot.bgc,tower,pastureHay,21_400,2.5,15,WGS84,18.020963,-67.074891,20.1,13.8,0.1,NEON.DOC.014048vO,2022-07-05T14:05:00Z,2022-07-05T14:05:00Z,dryWetTransition,OK - no known exceptions,LAJA.dryWetTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_046-M-21-20220705,A00000195287,N,M,OK,25.7,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000066168,NA,NA,C00000066188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,NA,NA,NA,NA,0000-0002-6589-9569,NA,20251217T193837Z,RELEASE-2026,DP1.10086.001,LAJA,2022,sls_soilCoreCollection
