uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
3ef552b5-1518-4d7d-82fc-9aa231ba55f8,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,39_400,NA,NA,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-05-03T13:00:00Z,2022-05-03T13:00:00Z,winterSpringTransition,unknown - logistical,STEI.winterSpringTransition.2022,NA,tInitial,microbesBiomass,logistical,NA,NA,STEI_002-39-20220503-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roads closed due to flooding prevented access to the plot,0000-0002-5484-7763,NA,20251217T193625Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
7aab9a4d-650b-4f8b-811b-be40325c9c3b,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,21_400,NA,NA,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-05-03T13:00:00Z,2022-05-03T13:00:00Z,winterSpringTransition,unknown - logistical,STEI.winterSpringTransition.2022,NA,tInitial,microbesBiomass,logistical,NA,NA,STEI_002-21-20220503-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roads closed due to flooding prevented access to the plot,0000-0002-5484-7763,NA,20251217T193625Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
18301a09-b1f0-4c87-9af8-daada21a1a35,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,23_400,NA,NA,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-05-03T13:00:00Z,2022-05-03T13:00:00Z,winterSpringTransition,unknown - logistical,STEI.winterSpringTransition.2022,NA,tInitial,microbesBiomass,logistical,NA,NA,STEI_002-23-20220503-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roads closed due to flooding prevented access to the plot,0000-0002-5484-7763,NA,20251217T193625Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
cb62f5ce-0637-4724-ab4f-138aa66189a6,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,23_400,35,12.5,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-07-12T14:59:00Z,2022-07-12T14:59:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,STEI_002-M-23-20220712,A00000206155,N,M,OK,16.6,2.4,0,29.8,maximum,corer,1,STEI_002-M-23-20220712-GEN,B00000081313,OK,dry ice,NA,C00000072717,NA,NA,C00000072739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STEI_002-M-23-20220712-BM,B00000153680,OK,NA,0000-0001-8860-6856,NA,20251217T193957Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
c30c451c-e564-49d1-8b28-f6d66a9f0f26,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,21_400,11,6.5,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-07-12T15:33:00Z,2022-07-12T15:33:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,STEI_002-M-21-20220712,A00000206157,N,M,OK,16.9,3.2,0,29.7,maximum,corer,1,STEI_002-M-21-20220712-GEN,B00000081314,OK,dry ice,NA,C00000072830,NA,NA,C00000072374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STEI_002-M-21-20220712-BM,B00000153685,OK,NA,0000-0001-8860-6856,NA,20251217T193957Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
80b964f5-a4ba-48a9-bbf3-e1c3977bc0f4,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,39_400,19,32.5,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-07-12T16:15:00Z,2022-07-12T16:15:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,STEI_002-M-39-20220712,A00000206158,N,M,OK,16.5,1.9,0,30.5,maximum,corer,1,STEI_002-M-39-20220712-GEN,B00000081315,OK,dry ice,NA,C00000072383,NA,NA,C00000072714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STEI_002-M-39-20220712-BM,B00000153683,OK,NA,0000-0001-8860-6856,NA,20251217T193957Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
b4ce9673-da54-451b-aad5-ce2e1ba3a3da,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,23_400,35,12.5,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-07-12T14:59:00Z,2022-08-01T15:29:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tFinal,fieldOnly,OK,covered core,OK,STEI_002-M-23-20220801,A00000206161,N,M,OK,18.1,1.5,0,29.5,NA,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3052-3887,NA,20251217T194018Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
7b205e31-b02f-44fc-aada-0e3e60721eb4,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,21_400,11,6.5,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-07-12T15:33:00Z,2022-08-01T15:18:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tFinal,fieldOnly,OK,covered core,OK,STEI_002-M-21-20220801,A00000358482,N,M,OK,17.6,1.5,0,28.5,NA,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3052-3887,NA,20251217T194018Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
e09bc470-876b-413f-a485-2956b958203f,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,39_400,19,32.5,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-07-12T16:15:00Z,2022-08-01T15:44:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tFinal,fieldOnly,OK,covered core,OK,STEI_002-M-39-20220801,A00000358516,N,M,OK,17.7,2.1,0,29,NA,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3052-3887,NA,20251217T194018Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
016bac5c-e65f-46d7-b59f-17aa8da23817,D05,STEI,STEI_002,STEI_002.basePlot.bgc,distributed,deciduousForest,23_400,38.5,19.5,WGS84,45.797373,-90.092307,20.3,524.3,0.31,NEON.DOC.014048vO,2022-10-04T18:24:00Z,2022-10-04T18:24:00Z,fallWinterTransition,OK - no known exceptions,STEI.fallWinterTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STEI_002-M-23-20221004,A00000076571,N,M,OK,13.8,2.3,0,30,maximum,corer,1,STEI_002-M-23-20221004-GEN,B00000153104,OK,dry ice,NA,D00000170413,NA,NA,D00000170051,NA,NA,D00000170580,NA,NA,D00000170542,NA,NA,D00000170054,NA,dry ice,2 mL vial,STEI_002-M-23-20221004-BM,B00000154387,OK,NA,0000-0002-3052-3887,NA,20251217T193948Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
