uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
f54d7d25-4aaa-4e9f-8da5-1f4bda588c3b,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-03-04T18:16:00Z,2019-03-04T18:16:00Z,NEON.DOC.014048vK,CLBJ_040-M-27.5-39-20190304,NA,CLBJ_040-M-27.5-39-20190304-KCL,B00000035714,CLBJ_040-M-27.5-39,tInitial,0,2019-03-05T17:51:00Z,CLBJ-20190305-BRef1,10.03,100,2019-03-05T21:00:00Z,OK,NA,0000-0002-1785-7292,0000-0002-1785-7292,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
bdef6b8d-afa9-4b09-a2f1-c482b64e42fb,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-03-04T18:16:00Z,2019-03-25T17:01:00Z,NEON.DOC.014048vK,CLBJ_040-M-27.5-39-20190325,NA,CLBJ_040-M-27.5-39-20190325-KCL,B00000035790,CLBJ_040-M-27.5-39,tFinal,20.95,2019-03-26T13:30:00Z,CLBJ-20190326-BRef1,10.17,100,2019-03-26T15:00:00Z,OK,NA,0000-0002-1785-7292,0000-0001-9629-6106,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
db87f476-5b97-49de-9aa5-00a837c609f5,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-03-04T19:09:00Z,2019-03-04T19:09:00Z,NEON.DOC.014048vK,CLBJ_040-M-9.5-28-20190304,NA,CLBJ_040-M-9.5-28-20190304-KCL,B00000035711,CLBJ_040-M-9.5-28,tInitial,0,2019-03-05T17:50:00Z,CLBJ-20190305-BRef1,10,100,2019-03-05T21:00:00Z,OK,NA,0000-0002-1785-7292,0000-0002-1785-7292,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
1c51ed3e-e6ff-49ae-b312-e13365a5c8f6,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-03-04T19:09:00Z,2019-03-25T17:25:00Z,NEON.DOC.014048vK,CLBJ_040-M-9.5-28-20190325,NA,CLBJ_040-M-9.5-28-20190325-KCL,B00000035784,CLBJ_040-M-9.5-28,tFinal,20.93,2019-03-26T13:31:00Z,CLBJ-20190326-BRef1,10.16,100,2019-03-26T15:00:00Z,OK,NA,0000-0002-1785-7292,0000-0001-9629-6106,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
df83d2d3-5d35-4b21-977b-36a21c5ae339,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-03-04T19:48:00Z,2019-03-04T19:48:00Z,NEON.DOC.014048vK,CLBJ_040-M-5.5-5.5-20190304,NA,CLBJ_040-M-5.5-5.5-20190304-KCL,B00000035712,CLBJ_040-M-5.5-5.5,tInitial,0,2019-03-05T17:50:00Z,CLBJ-20190305-BRef1,10,100,2019-03-05T21:00:00Z,OK,NA,0000-0002-1785-7292,0000-0002-1785-7292,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
b1caf8cf-e524-4624-a286-ae93cfb3d01c,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-03-04T19:48:00Z,2019-03-25T17:09:00Z,NEON.DOC.014048vK,CLBJ_040-M-5.5-5.5-20190325,NA,CLBJ_040-M-5.5-5.5-20190325-KCL,B00000035791,CLBJ_040-M-5.5-5.5,tFinal,20.89,2019-03-26T13:32:00Z,CLBJ-20190326-BRef1,10.08,100,2019-03-26T15:00:00Z,OK,NA,0000-0002-1785-7292,0000-0001-9629-6106,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
44f6d0d5-e36c-43ad-b1d0-63fbb60e8d4c,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T15:07:00Z,2019-04-15T15:07:00Z,NEON.DOC.014048vL,CLBJ_040-M-23.5-30-20190415,NA,CLBJ_040-M-23.5-30-20190415-KCL,B00000001956,CLBJ_040-M-23.5-30,tInitial,0,2019-04-16T13:08:00Z,CLBJ-20190416-BRef1,9.96,100,2019-04-16T15:00:00Z,OK,NA,0000-0003-3895-0725,0000-0002-1785-7292,NA,20251217T193631Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
1b6fec5e-18ee-44de-a599-bef0cac64ff0,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T15:07:00Z,2019-04-29T15:47:00Z,NEON.DOC.014048vL,CLBJ_040-M-23.5-30-20190429,NA,CLBJ_040-M-23.5-30-20190429-KCL,B00000002019,CLBJ_040-M-23.5-30,tFinal,14.03,2019-04-30T14:42:00Z,CLBJ-20190430-BRef1,9.96,100,2019-04-30T16:00:00Z,OK,NA,0000-0002-5239-4860,0000-0002-1785-7292,NA,20251217T193631Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
a09a969c-181e-4a27-930a-3667fed09280,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T15:37:00Z,2019-04-15T15:37:00Z,NEON.DOC.014048vL,CLBJ_040-M-9-24-20190415,NA,CLBJ_040-M-9-24-20190415-KCL,B00000001939,CLBJ_040-M-9-24,tInitial,0,2019-04-16T13:07:00Z,CLBJ-20190416-BRef1,10.02,100,2019-04-16T15:00:00Z,OK,NA,0000-0003-3895-0725,0000-0002-1785-7292,NA,20251217T193631Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
6c3441f3-b86f-49d2-8c3f-fd62c3ae2e27,CLBJ_040.basePlot.bgc,D11,CLBJ,CLBJ_040,distributed,2019-04-15T15:37:00Z,2019-04-29T15:53:00Z,NEON.DOC.014048vL,CLBJ_040-M-9-24-20190429,NA,CLBJ_040-M-9-24-20190429-KCL,B00000002020,CLBJ_040-M-9-24,tFinal,14.01,2019-04-30T14:43:00Z,CLBJ-20190430-BRef1,9.98,100,2019-04-30T16:00:00Z,OK,NA,0000-0002-5239-4860,0000-0002-1785-7292,NA,20251217T193631Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,ntr_internalLab
