uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
261189f5-e49a-4e3f-be6a-03eaa7b20d11,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,21_400,1,11,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-02-28T17:44:00Z,2024-02-28T17:44:00Z,winterSpringTransition,conditions not met,SOAP.winterSpringTransition.2024,0,tInitial,microbesBiomass,OK,no incubation,NA,SOAP_043-M-21-20240228,A00000395168,Y,M,OK,7.5,1,0,30,maximum,auger,1,SOAP_043-M-21-20240228-GEN,B00000125273,OK,dry ice,NA,C00000138639,NA,NA,C00000138642,NA,NA,C00000138644,NA,NA,C00000138641,NA,NA,C00000138637,NA,dry ice,5 mL vial,SOAP_043-M-21-20240228-BM,B00000125439,OK,"On slope, soil compressed. Winter cold period was brief and ended in January. Sampling a bit late to capture winter spring transition",0009-0004-9671-061X,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
2c05db7f-0009-4b37-afb0-270ee7c50118,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,41_400,31.5,22.5,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-02-28T18:13:00Z,2024-02-28T18:13:00Z,winterSpringTransition,conditions not met,SOAP.winterSpringTransition.2024,0,tInitial,microbesBiomass,OK,no incubation,NA,SOAP_043-M-41-20240228,A00000395169,Y,M,OK,5.9,0.5,0,30,maximum,auger,1,SOAP_043-M-41-20240228-GEN,B00000125272,OK,dry ice,NA,C00000107437,NA,NA,C00000107359,NA,NA,C00000107436,NA,NA,C00000107358,NA,NA,C00000107360,NA,dry ice,5 mL vial,SOAP_043-M-41-20240228-BM,B00000125437,OK,Winter cold period was brief and ended in January. Sampling a bit late to capture winter spring transition,0009-0004-9671-061X,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
985e8a5f-628a-4b06-9a48-cdf3a7d4a9e9,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,23_400,34.5,6.5,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-02-28T18:42:00Z,2024-02-28T18:42:00Z,winterSpringTransition,conditions not met,SOAP.winterSpringTransition.2024,0,tInitial,microbesBiomass,OK,no incubation,NA,SOAP_043-M-23-20240228,A00000395170,Y,M,OK,7.6,0.5,0,31,maximum,auger,2,SOAP_043-M-23-20240228-GEN,B00000125274,OK,dry ice,NA,C00000107439,NA,NA,C00000107440,NA,NA,C00000107441,NA,NA,C00000107438,NA,NA,C00000107442,NA,dry ice,5 mL vial,SOAP_043-M-23-20240228-BM,B00000125438,OK,"On slope, soil compressed. Winter cold period was brief and ended in January. Sampling a bit late to capture winter spring transition",0009-0004-9671-061X,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
d732cdfb-45e5-4bfb-936f-3dfefcebc170,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,21_400,1,11,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-02-28T17:44:00Z,2024-03-25T19:38:00Z,winterSpringTransition,conditions not met,SOAP.winterSpringTransition.2024,0,tFinal,fieldOnly,OK,covered core,OK,SOAP_043-M-21-20240325,A00000395946,Y,M,OK,8.6,1,0,31.5,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"light snowfall during the incubation period, melted in a few days",0009-0004-9671-061X,NA,20251217T193936Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
45743eee-77e2-44cf-9102-eaf535f51421,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,41_400,31.5,22.5,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-02-28T18:13:00Z,2024-03-25T19:55:00Z,winterSpringTransition,conditions not met,SOAP.winterSpringTransition.2024,0,tFinal,fieldOnly,OK,covered core,OK,SOAP_043-M-41-20240325,A00000395931,Y,M,OK,6.1,0.5,0,32,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"light snowfall during the incubation period, melted in a few days",0009-0004-9671-061X,NA,20251217T193936Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
3f3d6078-9123-4385-ba0a-8ad8514ac84c,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,23_400,34.5,6.5,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-02-28T18:42:00Z,2024-03-25T19:47:00Z,winterSpringTransition,conditions not met,SOAP.winterSpringTransition.2024,0,tFinal,fieldOnly,OK,covered core,OK,SOAP_043-M-23-20240325,A00000395874,Y,M,OK,7.2,2,0,32,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"light snowfall during the incubation period, melted in a few days",0009-0004-9671-061X,NA,20251217T193936Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
5ed8bb26-df03-403f-9d86-2081f57b5b88,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,41_400,37,24.5,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-05-23T21:27:00Z,2024-05-23T21:27:00Z,peakGreenness,OK - no known exceptions,SOAP.peakGreenness.2024,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,SOAP_043-M-41-20240523,A00000396041,Y,M,OK,15.5,5,0,30,maximum,PVC tube,1,SOAP_043-M-41-20240523-GEN,B00000125532,OK,dry ice,NA,C00000138770,NA,NA,C00000138746,NA,NA,C00000138747,NA,NA,C00000138748,NA,NA,C00000138749,NA,dry ice,5 mL vial,SOAP_043-M-41-20240523-BM,B00000168215,OK,NA,0009-0005-3443-707X,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
627105a9-a3e4-4c8c-ad25-8ce54711dbb9,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,23_400,24.5,3.5,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-05-23T21:48:00Z,2024-05-23T21:48:00Z,peakGreenness,OK - no known exceptions,SOAP.peakGreenness.2024,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,SOAP_043-M-23-20240523,A00000396025,Y,M,OK,16.3,3,0,30,maximum,PVC tube,1,SOAP_043-M-23-20240523-GEN,B00000125534,OK,dry ice,NA,C00000138745,NA,NA,C00000138742,NA,NA,C00000138744,NA,NA,C00000138743,NA,NA,C00000138751,NA,dry ice,5 mL vial,SOAP_043-M-23-20240523-BM,B00000168217,OK,NA,0009-0005-3443-707X,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
fe3c003f-7bb0-413c-9baa-fc0d002c4b9e,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,39_400,6,39.5,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-05-23T22:04:00Z,2024-05-23T22:04:00Z,peakGreenness,OK - no known exceptions,SOAP.peakGreenness.2024,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,SOAP_043-M-39-20240523,A00000396009,Y,M,OK,28.4,2,0,23,entire,PVC tube,1,SOAP_043-M-39-20240523-GEN,B00000125533,OK,dry ice,NA,C00000138767,NA,NA,C00000138768,NA,NA,C00000138750,NA,NA,C00000138769,NA,NA,C00000138771,NA,dry ice,5 mL vial,SOAP_043-M-39-20240523-BM,B00000168216,OK,NA,0009-0005-3443-707X,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
c3857eb1-d4ec-4332-88e3-78b5145806dc,D17,SOAP,SOAP_043,SOAP_043.basePlot.bgc,tower,evergreenForest,41_400,37,24.5,WGS84,37.034431,-119.268716,20.3,1249.1,0.46,NEON.DOC.014048vP,2024-05-23T21:27:00Z,2024-06-18T17:23:00Z,peakGreenness,OK - no known exceptions,SOAP.peakGreenness.2024,0,tFinal,fieldOnly,OK,covered core,OK,SOAP_043-M-41-20240618,A00000097827,Y,M,OK,16.5,2,0,20,obstruction,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0000-0688-9670,NA,20251217T193740Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilCoreCollection
