uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
95ef3d4b-c77d-4558-abf3-555df28b43bd,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-06-19T15:53:00Z,2024-06-19T15:53:00Z,NEON.DOC.014048vP,NIWO_043-M-41-20240619,A00000260728,NIWO_043-M-41-20240619-KCL,A00000262519,NIWO_043-M-41-winterSpringTransition-2024,tInitial,0,2024-06-20T15:59:00Z,NIWO-20240620-BREF2,9.76,100,2024-06-20T20:00:00Z,OK,NA,0009-0008-9825-3239,0009-0008-9825-3239,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
99193f81-9aea-4972-bc2a-290d634fce94,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-06-19T16:40:00Z,2024-06-19T16:40:00Z,NEON.DOC.014048vP,NIWO_043-M-21-20240619,A00000260729,NIWO_043-M-21-20240619-KCL,A00000262518,NIWO_043-M-21-winterSpringTransition-2024,tInitial,0,2024-06-20T15:57:00Z,NIWO-20240620-BREF2,10.43,100,2024-06-20T20:00:00Z,OK,NA,0009-0008-9825-3239,0009-0008-9825-3239,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
6428ad14-feb7-44bd-81b2-9efcafe4c520,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-06-19T16:52:00Z,2024-06-19T16:52:00Z,NEON.DOC.014048vP,NIWO_043-M-23-20240619,A00000260730,NIWO_043-M-23-20240619-KCL,A00000262517,NIWO_043-M-23-winterSpringTransition-2024,tInitial,0,2024-06-20T15:58:00Z,NIWO-20240620-BREF2,10.18,100,2024-06-20T20:00:00Z,OK,NA,0009-0008-9825-3239,0009-0008-9825-3239,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
4f4d590d-0318-49c9-abf9-69c261b80f4c,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-06-19T15:53:00Z,2024-07-08T16:07:00Z,NEON.DOC.014048vP,NIWO_043-M-41-20240708,A00000262671,NIWO_043-M-41-20240708-KCL,A00000252288,NIWO_043-M-41-winterSpringTransition-2024,tFinal,19.01,2024-07-09T15:51:00Z,NIWO-20240709-BREF1,10.13,100,2024-07-09T18:00:00Z,OK,NA,0000-0002-2637-0718,0009-0004-8985-7365,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
6c24d1bf-1783-4c11-ad9b-de1e7a157744,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-06-19T16:40:00Z,2024-07-08T15:49:00Z,NEON.DOC.014048vP,NIWO_043-M-21-20240708,A00000262527,NIWO_043-M-21-20240708-KCL,A00000252298,NIWO_043-M-21-winterSpringTransition-2024,tFinal,18.96,2024-07-09T15:46:00Z,NIWO-20240709-BREF1,9.77,100,2024-07-09T17:00:00Z,OK,NA,0000-0002-2637-0718,0009-0004-8985-7365,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
54606d21-280b-4c45-ada5-71db768cf788,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-06-19T16:52:00Z,2024-07-08T16:00:00Z,NEON.DOC.014048vP,NIWO_043-M-23-20240708,A00000262655,NIWO_043-M-23-20240708-KCL,A00000252297,NIWO_043-M-23-winterSpringTransition-2024,tFinal,18.96,2024-07-09T15:55:00Z,NIWO-20240709-BREF1,10.07,100,2024-07-09T18:00:00Z,OK,NA,0000-0002-2637-0718,0009-0004-8985-7365,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
ae76acea-4925-4a3c-b7b8-e65897cc2f68,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-07-24T17:43:00Z,2024-07-24T17:43:00Z,NEON.DOC.014048vP,NIWO_043-M-39-20240724,A00000256963,NIWO_043-M-39-20240724-KCL,A00000262470,NIWO_043-M-39-peakGreenness-2024,tInitial,0,2024-07-25T15:45:00Z,NIWO-20240725-BREF1,10.22,100,2024-07-25T18:00:00Z,OK,NA,0009-0004-7358-8332,0009-0004-2725-821X,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
2a8b6181-4cb2-4914-a358-56538ef23401,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-07-24T18:00:00Z,2024-07-24T18:00:00Z,NEON.DOC.014048vP,NIWO_043-M-23-20240724,A00000256966,NIWO_043-M-23-20240724-KCL,A00000262477,NIWO_043-M-23-peakGreenness-2024,tInitial,0,2024-07-25T15:44:00Z,NIWO-20240725-BREF1,10.42,100,2024-07-25T18:00:00Z,OK,NA,0009-0004-7358-8332,0009-0004-2725-821X,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
8665685c-4cea-4809-9cde-9bb83deb678a,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-07-24T18:19:00Z,2024-07-24T18:19:00Z,NEON.DOC.014048vP,NIWO_043-M-41-20240724,A00000256961,NIWO_043-M-41-20240724-KCL,A00000262457,NIWO_043-M-41-peakGreenness-2024,tInitial,0,2024-07-25T15:48:00Z,NIWO-20240725-BREF1,10.15,100,2024-07-25T18:00:00Z,OK,NA,0009-0004-7358-8332,0009-0004-2725-821X,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
0913b640-b87e-4609-aa5f-4014d160936b,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-07-24T17:43:00Z,2024-08-07T15:28:00Z,NEON.DOC.014048vP,NIWO_043-M-39-20240807,A00000262685,NIWO_043-M-39-20240807-KCL,A00000262605,NIWO_043-M-39-peakGreenness-2024,tFinal,13.91,2024-08-08T15:33:00Z,NIWO-20240808-BREF1,9.93,100,2024-08-08T18:00:00Z,OK,NA,0009-0004-4054-4309,0000-0001-5372-078X,NA,20251217T193953Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
ae0c326c-e443-4cba-a73e-abb57953305d,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-07-24T18:00:00Z,2024-08-07T15:37:00Z,NEON.DOC.014048vP,NIWO_043-M-23-20240807,A00000262702,NIWO_043-M-23-20240807-KCL,A00000262598,NIWO_043-M-23-peakGreenness-2024,tFinal,13.9,2024-08-08T15:32:00Z,NIWO-20240808-BREF1,9.91,100,2024-08-08T18:00:00Z,OK,NA,0009-0004-4054-4309,0000-0001-5372-078X,NA,20251217T193953Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
2e1fab4a-5dd2-485b-aaa2-d1781d6f194c,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-07-24T18:19:00Z,2024-08-07T15:34:00Z,NEON.DOC.014048vP,NIWO_043-M-41-20240807,A00000262623,NIWO_043-M-41-20240807-KCL,A00000262588,NIWO_043-M-41-peakGreenness-2024,tFinal,13.89,2024-08-08T15:34:00Z,NIWO-20240808-BREF1,9.88,100,2024-08-08T18:00:00Z,OK,NA,0009-0004-4054-4309,0000-0001-5372-078X,NA,20251217T193953Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
5297d891-a786-4e48-8e3e-6d5eed6a3bf2,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-09-16T16:07:00Z,2024-09-16T16:07:00Z,NEON.DOC.014048vP,NIWO_043-M-21-20240916,A00000263354,NIWO_043-M-21-20240916-KCL,A00000258528,NIWO_043-M-21-fallWinterTransition-2024,tInitial,0,2024-09-17T15:42:00Z,NIWO-20240917-BREF1,10.12,100,2024-09-17T19:00:00Z,OK,NA,0009-0004-7358-8332,0009-0004-2725-821X,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
669aad68-4da4-4552-85be-201b91cc99a4,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-09-16T16:34:00Z,2024-09-16T16:34:00Z,NEON.DOC.014048vP,NIWO_043-M-39-20240916,A00000263306,NIWO_043-M-39-20240916-KCL,A00000258530,NIWO_043-M-39-fallWinterTransition-2024,tInitial,0,2024-09-17T15:44:00Z,NIWO-20240917-BREF1,10.19,100,2024-09-17T19:00:00Z,OK,NA,0009-0004-7358-8332,0009-0004-2725-821X,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
703fd112-71cc-44ef-a945-803baf9fac0f,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-09-16T16:57:00Z,2024-09-16T16:57:00Z,NEON.DOC.014048vP,NIWO_043-M-41-20240916,A00000263339,NIWO_043-M-41-20240916-KCL,A00000258531,NIWO_043-M-41-fallWinterTransition-2024,tInitial,0,2024-09-17T15:45:00Z,NIWO-20240917-BREF1,9.95,100,2024-09-17T19:00:00Z,OK,NA,0009-0004-7358-8332,0009-0004-2725-821X,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
d8207a34-3fbf-4dab-8536-de1832789bb6,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-09-16T16:07:00Z,2024-10-07T17:10:00Z,NEON.DOC.014048vP,NIWO_043-M-21-20241007,A00000260586,NIWO_043-M-21-20241007-KCL,A00000262482,NIWO_043-M-21-fallWinterTransition-2024,tFinal,21.04,2024-10-08T15:00:00Z,NIWO-20241008-BREF1,9.58,100,2024-10-08T17:00:00Z,OK,NA,0009-0005-3254-6977,0000-0002-1017-1124,NA,20251217T193714Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
dbbe0575-de8f-4d7f-b064-eacab824f752,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-09-16T16:34:00Z,2024-10-07T17:15:00Z,NEON.DOC.014048vP,NIWO_043-M-39-20241007,A00000260584,NIWO_043-M-39-20241007-KCL,A00000262603,NIWO_043-M-39-fallWinterTransition-2024,tFinal,21.03,2024-10-08T14:56:00Z,NIWO-20241008-BREF1,9.95,100,2024-10-08T17:00:00Z,OK,NA,0009-0005-3254-6977,0000-0002-1017-1124,NA,20251217T193714Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
8c58e701-cc84-4f39-bfee-0f803bd3b1ba,NIWO_043.basePlot.bgc,D13,NIWO,NIWO_043,tower,2024-09-16T16:57:00Z,2024-10-07T17:22:00Z,NEON.DOC.014048vP,NIWO_043-M-41-20241007,A00000260583,NIWO_043-M-41-20241007-KCL,A00000262600,NIWO_043-M-41-fallWinterTransition-2024,tFinal,21.02,2024-10-08T14:58:00Z,NIWO-20241008-BREF1,10.28,100,2024-10-08T17:00:00Z,OK,NA,0009-0005-3254-6977,0000-0002-1017-1124,NA,20251217T193714Z,RELEASE-2026,DP1.10086.001,NIWO,2024,ntr_internalLab
