uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
3f389632-22c2-4e26-9b79-32e73e8b0953,D16,WREF,WREF_072,WREF_072.basePlot.bgc,tower,evergreenForest,23_400,35,8.5,WGS84,45.824274,-121.966341,20.2,418.1,0.18,NEON.DOC.014048vO,2022-05-17T17:21:00Z,2022-05-17T17:21:00Z,wetDryTransition,conditions not met,WREF.wetDryTransition.2022,0,No,microbesBiomass,OK,no incubation,NA,WREF_072-O-23-20220517,A00000292841,N,O,OK,8.3,3.2,0,29.8,maximum,brownie cutter,1,WREF_072-O-23-20220517-GEN,B00000055529,OK,dry ice,NA,C00000048425,NA,NA,C00000048421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,WREF_072-O-23-20220517-BM,B00000055038,OK,NA,0000-0001-9521-413X,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
d592af2f-1a4a-47b5-af35-46b1ddd39515,D16,WREF,WREF_072,WREF_072.basePlot.bgc,tower,evergreenForest,41_400,30.5,33,WGS84,45.824274,-121.966341,20.2,418.1,0.18,NEON.DOC.014048vO,2022-05-17T17:58:00Z,2022-05-17T17:58:00Z,wetDryTransition,conditions not met,WREF.wetDryTransition.2022,0,No,microbesBiomass,OK,no incubation,NA,WREF_072-O-41-20220517,A00000292857,N,O,OK,8,2.8,0,4.3,entire,brownie cutter,2,WREF_072-O-41-20220517-GEN,B00000055527,OK,dry ice,NA,C00000048422,NA,NA,C00000048424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,WREF_072-O-41-20220517-BM,B00000055024,OK,NA,0000-0001-9521-413X,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
b94cc021-c1a1-4a8f-8589-3fcfee723553,D16,WREF,WREF_072,WREF_072.basePlot.bgc,tower,evergreenForest,21_400,13.5,7.5,WGS84,45.824274,-121.966341,20.2,418.1,0.18,NEON.DOC.014048vO,2022-05-17T18:47:00Z,2022-05-17T18:47:00Z,wetDryTransition,conditions not met,WREF.wetDryTransition.2022,0,No,microbesBiomass,OK,no incubation,NA,WREF_072-O-21-20220517,A00000292825,N,O,OK,8.1,2.8,0,7,entire,brownie cutter,1,WREF_072-O-21-20220517-GEN,B00000055528,OK,dry ice,NA,C00000048423,NA,NA,C00000048420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,WREF_072-O-21-20220517-BM,B00000054515,OK,NA,0000-0001-9521-413X,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
91f508f6-db22-4cdc-9fd4-d692b84e4855,D16,WREF,WREF_070,WREF_070.basePlot.bgc,tower,evergreenForest,21_400,15,4,WGS84,45.824185,-121.955555,20.1,363.5,0.15,NEON.DOC.014048vO,2022-05-17T20:21:00Z,2022-05-17T20:21:00Z,wetDryTransition,conditions not met,WREF.wetDryTransition.2022,0,No,microbesBiomass,OK,no incubation,NA,WREF_070-O-21-20220517,A00000292810,N,O,OK,7.9,2.7,0,3.8,entire,brownie cutter,2,WREF_070-O-21-20220517-GEN,B00000055535,OK,dry ice,NA,C00000048414,NA,NA,C00000048418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,WREF_070-O-21-20220517-BM,B00000055022,OK,NA,0000-0001-9521-413X,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
382a20fa-45cc-400e-a61c-ea5c281d88a8,D16,WREF,WREF_070,WREF_070.basePlot.bgc,tower,evergreenForest,23_400,26.5,1.5,WGS84,45.824185,-121.955555,20.1,363.5,0.15,NEON.DOC.014048vO,2022-05-17T20:53:00Z,2022-05-17T20:53:00Z,wetDryTransition,conditions not met,WREF.wetDryTransition.2022,0,No,microbesBiomass,OK,no incubation,NA,WREF_070-O-23-20220517,A00000292778,N,O,OK,7.9,3.9,0,4.1,entire,auger,2,WREF_070-O-23-20220517-GEN,B00000055533,OK,dry ice,NA,C00000048415,NA,NA,C00000048417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,WREF_070-O-23-20220517-BM,B00000055030,OK,NA,0000-0001-9521-413X,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
3f8f427a-dcf3-4deb-bc1c-3152f9d41b4d,D16,WREF,WREF_070,WREF_070.basePlot.bgc,tower,evergreenForest,39_400,7,20.5,WGS84,45.824185,-121.955555,20.1,363.5,0.15,NEON.DOC.014048vO,2022-05-17T21:27:00Z,2022-05-17T21:27:00Z,wetDryTransition,conditions not met,WREF.wetDryTransition.2022,0,No,microbesBiomass,OK,no incubation,NA,WREF_070-O-39-20220517,A00000292794,N,O,OK,8,7.5,0,4.4,entire,brownie cutter,2,WREF_070-O-39-20220517-GEN,B00000055534,OK,dry ice,NA,C00000048419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WREF_070-O-39-20220517-BM,B00000054517,OK,NA,0000-0001-9521-413X,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
5df49a59-7979-4cdb-9b12-20309d4b29ba,D16,WREF,WREF_007,WREF_007.basePlot.bgc,distributed,evergreenForest,21_400,NA,NA,WGS84,45.850153,-121.989672,20.2,598.4,0.31,NEON.DOC.014048vO,2022-05-18T15:00:00Z,2022-05-18T15:00:00Z,wetDryTransition,unknown - logistical,WREF.wetDryTransition.2022,NA,No,microbesBiomass,logistical,NA,NA,WREF_007-21-20220518-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limited staffing resources,0000-0001-6193-1800,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
2fa5bf01-8c3c-4ca4-9bd1-abd1cd1601d9,D16,WREF,WREF_007,WREF_007.basePlot.bgc,distributed,evergreenForest,23_400,NA,NA,WGS84,45.850153,-121.989672,20.2,598.4,0.31,NEON.DOC.014048vO,2022-05-18T15:00:00Z,2022-05-18T15:00:00Z,wetDryTransition,unknown - logistical,WREF.wetDryTransition.2022,NA,No,microbesBiomass,logistical,NA,NA,WREF_007-23-20220518-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limited staffing resources,0000-0001-6193-1800,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
915a8f9e-c03c-4415-9070-f634372026bd,D16,WREF,WREF_007,WREF_007.basePlot.bgc,distributed,evergreenForest,39_400,NA,NA,WGS84,45.850153,-121.989672,20.2,598.4,0.31,NEON.DOC.014048vO,2022-05-18T15:00:00Z,2022-05-18T15:00:00Z,wetDryTransition,unknown - logistical,WREF.wetDryTransition.2022,NA,No,microbesBiomass,logistical,NA,NA,WREF_007-39-20220518-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limited staffing resources,0000-0001-6193-1800,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
401d2fa1-6b61-44f5-a81b-85768e7bfb37,D16,WREF,WREF_005,WREF_005.basePlot.bgc,distributed,evergreenForest,41_400,39,23,WGS84,45.844315,-122.002564,20.2,677,0.28,NEON.DOC.014048vO,2022-05-18T18:15:00Z,2022-05-18T18:15:00Z,wetDryTransition,conditions not met,WREF.wetDryTransition.2022,0,No,microbesBiomass,OK,no incubation,NA,WREF_005-O-41-20220518,A00000292812,N,O,OK,6.6,3.1,0,7.5,entire,brownie cutter,1,WREF_005-O-41-20220518-GEN,B00000055507,OK,dry ice,NA,C00000048373,NA,NA,C00000048372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,WREF_005-O-41-20220518-BM,B00000055034,OK,NA,0000-0001-8432-494X,NA,20251217T193811Z,RELEASE-2026,DP1.10086.001,WREF,2022,sls_soilCoreCollection
