uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9966c334-9ffc-44f7-a3a4-8d5dfc4aad10,D08,DELA,DELA_005,DELA_005.basePlot.bgc,distributed,woodyWetlands,NA,33.5,6,WGS84,32.523355,-87.814626,20.2,27.2,0.18,NEON.DOC.004130vD,2019-05-13T15:17:00Z,2019-05-13T15:17:00Z,wetDryTransition,NA,NA,0,tInitial,microbesBiomass,NA,no incubation,NA,DELA_005-M-33.5-6-20190513,A00000081881,NA,M,NA,20.2,0,0,31,maximum,auger,1,DELA_005-M-33.5-6-20190513-GEN,B00000004649,OK,NA,DELA_005-M-33.5-6-20190513-GA1,C00000029468,NA,DELA_005-M-33.5-6-20190513-GA2,C00000029531,NA,DELA_005-M-33.5-6-20190513-GA3,C00000029456,NA,DELA_005-M-33.5-6-20190513-GA4,C00000029539,NA,DELA_005-M-33.5-6-20190513-GA5,C00000029504,NA,NA,NA,DELA_005-M-33.5-6-20190513-BM,B00000055587,NA,NA,0000-0002-8839-6825,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
9a0bcd98-d4d6-4ae0-9b14-442e90160c92,D08,DELA,DELA_005,DELA_005.basePlot.bgc,distributed,woodyWetlands,NA,35,25.5,WGS84,32.523355,-87.814626,20.2,27.2,0.18,NEON.DOC.004130vD,2019-05-13T15:39:00Z,2019-05-13T15:39:00Z,wetDryTransition,NA,NA,0,tInitial,microbesBiomass,NA,no incubation,NA,DELA_005-M-35-25.5-20190513,A00000081885,NA,M,NA,20,0,0,31.5,maximum,auger,1,DELA_005-M-35-25.5-20190513-GEN,B00000004651,OK,NA,DELA_005-M-35-25.5-20190513-GA1,C00000029545,NA,DELA_005-M-35-25.5-20190513-GA2,C00000029438,NA,DELA_005-M-35-25.5-20190513-GA3,C00000029499,NA,DELA_005-M-35-25.5-20190513-GA4,C00000029525,NA,DELA_005-M-35-25.5-20190513-GA5,C00000029502,NA,NA,NA,DELA_005-M-35-25.5-20190513-BM,B00000055586,NA,NA,0000-0002-8839-6825,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
828f22b5-dcec-421f-a03b-469311e7e2b4,D08,DELA,DELA_038,DELA_038.basePlot.bgc,tower,woodyWetlands,NA,5,15,WGS84,32.54229,-87.806804,20.1,25.5,0.13,NEON.DOC.004130vD,2019-05-13T15:58:00Z,2019-05-13T15:58:00Z,wetDryTransition,NA,NA,5,tInitial,microbesBiomass,NA,no incubation,NA,DELA_038-M-5-15-20190513,A00000082234,NA,M,NA,NA,NA,0,30,maximum,auger,1,DELA_038-M-5-15-20190513-GEN,B00000004659,OK,NA,DELA_038-M-5-15-20190513-GA1,C00000029241,NA,DELA_038-M-5-15-20190513-GA2,C00000029140,NA,DELA_038-M-5-15-20190513-GA3,C00000029163,NA,DELA_038-M-5-15-20190513-GA4,C00000029208,NA,DELA_038-M-5-15-20190513-GA5,C00000029209,NA,NA,NA,DELA_038-M-5-15-20190513-BM,B00000055594,NA,NA,0000-0001-6892-534X,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
f3c2933d-1da2-458e-a1af-211404c111a4,D08,DELA,DELA_005,DELA_005.basePlot.bgc,distributed,woodyWetlands,NA,8,29.5,WGS84,32.523355,-87.814626,20.2,27.2,0.18,NEON.DOC.004130vD,2019-05-13T16:00:00Z,2019-05-13T16:00:00Z,wetDryTransition,NA,NA,0,tInitial,microbesBiomass,NA,no incubation,NA,DELA_005-M-8-29.5-20190513,A00000081867,NA,M,NA,19.9,0,0,30,maximum,auger,1,DELA_005-M-8-29.5-20190513-GEN,B00000004650,OK,NA,DELA_005-M-8-29.5-20190513-GA1,C00000029463,NA,DELA_005-M-8-29.5-20190513-GA2,C00000029547,NA,DELA_005-M-8-29.5-20190513-GA3,C00000029497,NA,DELA_005-M-8-29.5-20190513-GA4,C00000029514,NA,DELA_005-M-8-29.5-20190513-GA5,C00000029534,NA,NA,NA,DELA_005-M-8-29.5-20190513-BM,B00000055588,NA,NA,0000-0002-8839-6825,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
f0f8af29-5fa7-4a0e-b012-e11a924b0694,D08,DELA,DELA_014,DELA_014.basePlot.bgc,distributed,evergreenForest,NA,34,23.5,WGS84,32.529789,-87.818194,20.2,26.1,0.28,NEON.DOC.004130vD,2019-05-13T17:02:00Z,2019-05-13T17:02:00Z,wetDryTransition,NA,NA,22,tInitial,microbesBiomass,NA,no incubation,NA,DELA_014-M-34-23.5-20190513,A00000081886,NA,M,NA,NA,NA,0,32,maximum,auger,1,DELA_014-M-34-23.5-20190513-GEN,B00000004666,OK,NA,DELA_014-M-34-23.5-20190513-GA1,C00000029213,NA,DELA_014-M-34-23.5-20190513-GA2,C00000029229,NA,DELA_014-M-34-23.5-20190513-GA3,C00000029183,NA,DELA_014-M-34-23.5-20190513-GA4,C00000029146,NA,DELA_014-M-34-23.5-20190513-GA5,C00000029345,NA,NA,NA,DELA_014-M-34-23.5-20190513-BM,B00000055593,NA,NA,0000-0002-8839-6825,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
ffb7e4bb-2fe4-4258-a618-49e9d20ae371,D08,DELA,DELA_038,DELA_038.basePlot.bgc,tower,woodyWetlands,NA,35,28,WGS84,32.54229,-87.806804,20.1,25.5,0.13,NEON.DOC.004130vD,2019-05-13T17:07:00Z,2019-05-13T17:07:00Z,wetDryTransition,NA,NA,2,tInitial,microbesBiomass,NA,no incubation,NA,DELA_038-M-35-28-20190513,A00000082219,NA,M,NA,19.3,0,0,31,maximum,auger,1,DELA_038-M-35-28-20190513-GEN,B00000004658,OK,NA,DELA_038-M-35-28-20190513-GA1,C00000029339,NA,DELA_038-M-35-28-20190513-GA2,C00000029195,NA,DELA_038-M-35-28-20190513-GA3,C00000029162,NA,DELA_038-M-35-28-20190513-GA4,C00000029300,NA,DELA_038-M-35-28-20190513-GA5,C00000029315,NA,NA,NA,DELA_038-M-35-28-20190513-BM,B00000055591,NA,NA,0000-0001-6892-534X,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
2bbafd42-e0d5-4995-b96a-2aae2c8a6d0f,D08,DELA,DELA_038,DELA_038.basePlot.bgc,tower,woodyWetlands,NA,34,8,WGS84,32.54229,-87.806804,20.1,25.5,0.13,NEON.DOC.004130vD,2019-05-13T17:25:00Z,2019-05-13T17:25:00Z,wetDryTransition,NA,NA,0,tInitial,microbesBiomass,NA,no incubation,NA,DELA_038-M-34-8-20190513,A00000082221,NA,M,NA,19.6,0,0,31,maximum,auger,1,DELA_038-M-34-8-20190513-GEN,B00000004660,OK,NA,DELA_038-M-34-8-20190513-GA1,C00000029234,NA,DELA_038-M-34-8-20190513-GA2,C00000029223,NA,DELA_038-M-34-8-20190513-GA3,C00000029289,NA,DELA_038-M-34-8-20190513-GA4,C00000029138,NA,DELA_038-M-34-8-20190513-GA5,C00000029287,NA,NA,NA,DELA_038-M-34-8-20190513-BM,B00000055592,NA,NA,0000-0001-6892-534X,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
a67c93db-534a-4317-98f7-15040d1a72a5,D08,DELA,DELA_014,DELA_014.basePlot.bgc,distributed,evergreenForest,NA,25,8,WGS84,32.529789,-87.818194,20.2,26.1,0.28,NEON.DOC.004130vD,2019-05-13T17:34:00Z,2019-05-13T17:34:00Z,wetDryTransition,NA,NA,6,tInitial,microbesBiomass,NA,no incubation,NA,DELA_014-M-25-8-20190513,A00000081869,NA,M,NA,NA,NA,0,28,maximum,auger,1,DELA_014-M-25-8-20190513-GEN,B00000004664,OK,NA,DELA_014-M-25-8-20190513-GA1,C00000029115,NA,DELA_014-M-25-8-20190513-GA2,C00000029177,NA,DELA_014-M-25-8-20190513-GA3,C00000029260,NA,DELA_014-M-25-8-20190513-GA4,C00000029191,NA,DELA_014-M-25-8-20190513-GA5,C00000029176,NA,NA,NA,DELA_014-M-25-8-20190513-BM,B00000055590,NA,NA,0000-0002-8839-6825,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
875a7074-d5f1-4aec-a6cc-d7e417e8abc5,D08,DELA,DELA_014,DELA_014.basePlot.bgc,distributed,evergreenForest,NA,4.5,16.5,WGS84,32.529789,-87.818194,20.2,26.1,0.28,NEON.DOC.004130vD,2019-05-13T18:02:00Z,2019-05-13T18:02:00Z,wetDryTransition,NA,NA,24,tInitial,microbesBiomass,NA,no incubation,NA,DELA_014-M-4.5-16.5-20190513,A00000081870,NA,M,NA,NA,NA,0,30.5,maximum,auger,1,DELA_014-M-4.5-16.5-20190513-GEN,B00000004665,OK,NA,DELA_014-M-4.5-16.5-20190513-GA1,C00000029186,NA,DELA_014-M-4.5-16.5-20190513-GA2,C00000029178,NA,DELA_014-M-4.5-16.5-20190513-GA3,C00000029205,NA,DELA_014-M-4.5-16.5-20190513-GA4,C00000029217,NA,DELA_014-M-4.5-16.5-20190513-GA5,C00000029282,NA,NA,NA,DELA_014-M-4.5-16.5-20190513-BM,B00000055589,NA,NA,0000-0002-8839-6825,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
563a0c91-1620-4298-adf6-fc3347153059,D08,DELA,DELA_040,DELA_040.basePlot.bgc,tower,woodyWetlands,NA,19,6.5,WGS84,32.538802,-87.804522,20.1,29.4,0.21,NEON.DOC.004130vD,2019-05-13T19:12:00Z,2019-05-13T19:12:00Z,wetDryTransition,NA,NA,23,tInitial,microbesBiomass,NA,no incubation,NA,DELA_040-M-19-6.5-20190513,A00000082223,NA,M,NA,NA,NA,0,29,maximum,auger,1,DELA_040-M-19-6.5-20190513-GEN,B00000004654,OK,NA,DELA_040-M-19-6.5-20190513-GA1,C00000029558,NA,DELA_040-M-19-6.5-20190513-GA2,C00000029508,NA,DELA_040-M-19-6.5-20190513-GA3,C00000029523,NA,DELA_040-M-19-6.5-20190513-GA4,C00000029451,NA,DELA_040-M-19-6.5-20190513-GA5,C00000029446,NA,NA,NA,DELA_040-M-19-6.5-20190513-BM,B00000055596,NA,NA,0000-0001-6892-534X,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,DELA,2019,sls_soilCoreCollection
