uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
9137797d-ad87-4659-b497-77d32ed012bd,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,21_400,0,2.5,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-06-29T14:27:00Z,2021-06-29T14:27:00Z,dryWetTransition,OK - no known exceptions,SRER.dryWetTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,SRER_002-M-0-2.5-20210629,A00000279207,N,M,OK,31,2.3,0,20,maximum,auger,1,SRER_002-M-0-2.5-20210629-GEN,B00000051470,OK,NA,NA,C00000042926,NA,NA,C00000042922,NA,NA,C00000042923,NA,NA,C00000042924,NA,NA,C00000042925,NA,NA,NA,SRER_002-M-0-2.5-20210629-BM,B00000051653,OK,NA,0000-0003-3879-1971,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
02f860b7-a666-4e16-98c0-14ba41419e35,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,23_400,21,9,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-06-29T14:57:00Z,2021-06-29T14:57:00Z,dryWetTransition,OK - no known exceptions,SRER.dryWetTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,SRER_002-M-21-9-20210629,A00000279208,N,M,OK,28.9,0,0,18.2,maximum,auger,1,SRER_002-M-21-9-20210629-GEN,B00000051484,OK,NA,NA,C00000042904,NA,NA,C00000042903,NA,NA,C00000042906,NA,NA,C00000042902,NA,NA,C00000042905,NA,NA,NA,SRER_002-M-21-9-20210629-BM,B00000051523,OK,NA,0000-0003-3879-1971,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
580874e2-1628-4b14-8286-042adb95eca5,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,41_400,38,32.5,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-06-29T15:21:00Z,2021-06-29T15:21:00Z,dryWetTransition,OK - no known exceptions,SRER.dryWetTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,SRER_002-M-38-32.5-20210629,A00000279206,N,M,OK,31.4,0,0,20.4,maximum,auger,1,SRER_002-M-38-32.5-20210629-GEN,B00000051472,OK,NA,NA,C00000042938,NA,NA,C00000042941,NA,NA,C00000042940,NA,NA,C00000042939,NA,NA,C00000042937,NA,NA,NA,SRER_002-M-38-32.5-20210629-BM,B00000051525,OK,NA,0000-0003-3879-1971,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
664c7fe8-e1cb-485e-b7c6-7c207db602f9,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,23_400,33.5,19,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-08-09T20:20:00Z,2021-08-09T20:20:00Z,peakGreenness,OK - no known exceptions,SRER.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,SRER_002-M-33.5-19-20210809,A00000279661,N,M,OK,30,0,0,30.5,maximum,auger,1,SRER_002-M-33.5-19-20210809-GEN,B00000110563,OK,NA,NA,C00000043131,NA,NA,C00000043132,NA,NA,C00000043130,NA,NA,C00000043129,NA,NA,C00000043128,NA,NA,NA,SRER_002-M-33.5-19-20210809-BM,B00000110639,OK,NA,0000-0002-0596-3792,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
254fe54e-9b7d-4ecf-a376-066b77bab276,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,23_400,33.5,19,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-08-09T20:20:00Z,2021-08-30T18:54:00Z,peakGreenness,OK - no known exceptions,SRER.peakGreenness.2021,0,tFinal,fieldOnly,OK,covered core,cap missing,SRER_002-M-33.5-19-20210830,A00000279908,N,M,OK,32.6,0,0,15,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3695-3837,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
1ea1b471-10c5-4dad-8ede-822affbec581,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,21_400,8.5,14,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-08-09T20:35:00Z,2021-08-09T20:35:00Z,peakGreenness,OK - no known exceptions,SRER.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,SRER_002-M-8.5-14-20210809,A00000279645,N,M,OK,28.5,0.2,0,30,maximum,auger,1,SRER_002-M-8.5-14-20210809-GEN,B00000110605,OK,NA,NA,C00000043171,NA,NA,C00000043173,NA,NA,C00000043172,NA,NA,C00000043170,NA,NA,C00000043169,NA,NA,NA,SRER_002-M-8.5-14-20210809-BM,B00000110630,OK,NA,0000-0002-0596-3792,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
59698dc0-96d3-419b-bbec-e2aa283fce58,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,21_400,8.5,14,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-08-09T20:35:00Z,2021-08-30T19:14:00Z,peakGreenness,OK - no known exceptions,SRER.peakGreenness.2021,0,tFinal,fieldOnly,OK,covered core,cap missing,SRER_002-M-8.5-14-20210830,A00000279987,N,M,OK,26.1,0.3,0,17,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3695-3837,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
ab5f13df-ed9b-4c72-a493-25183e37353b,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,39_400,4,25,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-08-09T21:00:00Z,2021-08-09T21:00:00Z,peakGreenness,OK - no known exceptions,SRER.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,SRER_002-M-4-25-20210809,A00000279662,N,M,OK,31,0,0,26.7,maximum,auger,1,SRER_002-M-4-25-20210809-GEN,B00000110562,OK,NA,NA,C00000043147,NA,NA,C00000043146,NA,NA,C00000043127,NA,NA,C00000043148,NA,NA,C00000043145,NA,NA,NA,SRER_002-M-4-25-20210809-BM,B00000110628,OK,NA,0000-0002-0596-3792,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
42452552-3821-4e4b-89fa-12c2d762d072,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,39_400,4,25,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-08-09T21:00:00Z,2021-08-30T19:06:00Z,peakGreenness,OK - no known exceptions,SRER.peakGreenness.2021,0,tFinal,fieldOnly,OK,covered core,OK,SRER_002-M-4-25-20210830,A00000279924,N,M,OK,30.3,0,0,17,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3695-3837,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
56c8f01c-552b-4cbd-98e3-5b8646ca3c1d,D14,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,shrubScrub,21_400,6.5,17.5,WGS84,31.870334,-110.856598,20.1,1032,0.1,NEON.DOC.014048vN,2021-10-20T18:21:00Z,2021-10-20T18:21:00Z,wetDryTransition,OK - no known exceptions,SRER.wetDryTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,SRER_002-M-6.5-17.5-20211020,A00000280434,N,M,OK,20.6,0.8,0,29,maximum,auger,1,SRER_002-M-6.5-17.5-20211020-GEN,B00000110892,OK,NA,NA,C00000043452,NA,NA,C00000043453,NA,NA,C00000043455,NA,NA,C00000043454,NA,NA,C00000043451,NA,NA,NA,SRER_002-M-6.5-17.5-20211020-BM,B00000110600,OK,NA,0000-0002-4810-0129,NA,20251217T193855Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_soilCoreCollection
