uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
d36c64e1-2a2b-4566-8bf6-ebfda281fba2,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,39_400,19,39,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T16:16:00Z,2022-04-27T16:16:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,BART_005-M-39-20220427,A00000157457,N,M,OK,5.8,2.5,1.8,20,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BART_005-M-39-20220427-BM,B00000069370,OK,NA,0000-0003-0616-1529,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
9a82c35c-2a27-41da-a8f3-97fc83bafcb0,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,39_400,19,39,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T16:16:00Z,2022-04-27T16:16:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,BART_005-O-39-20220427,A00000157409,N,O,OK,5.8,2.5,0,1.8,entire,brownie cutter,2,BART_005-O-39-20220427-GEN,B00000068748,OK,dry ice,NA,C00000058718,NA,NA,C00000058715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,BART_005-O-39-20220427-BM,B00000069332,OK,NA,0000-0003-0616-1529,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
c0ca50c8-79c7-4e92-86c5-b02176fb4cfe,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,41_400,35.5,35.5,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T16:57:00Z,2022-04-27T16:57:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,BART_005-O-41-20220427,A00000157472,N,O,OK,2,2.7,0,1.9,entire,brownie cutter,3,BART_005-O-41-20220427-GEN,B00000068754,OK,dry ice,NA,C00000058810,NA,NA,C00000058694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,BART_005-O-41-20220427-BM,B00000069333,OK,NA,0000-0003-0616-1529,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
4646a80d-5f03-4e63-a07d-1913874d43d2,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,41_400,35.5,35.5,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T16:57:00Z,2022-04-27T16:57:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,BART_005-M-41-20220427,A00000157425,N,M,OK,2,2.7,1.9,28,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BART_005-M-41-20220427-BM,B00000069371,OK,NA,0000-0003-0616-1529,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
bb37f07e-6e5b-4f6d-aa13-8b42c869b2f7,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,23_400,36,14,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T17:53:00Z,2022-04-27T17:53:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,BART_005-O-23-20220427,A00000157488,N,O,OK,4.1,3.5,0,1.9,entire,brownie cutter,2,BART_005-O-23-20220427-GEN,B00000068755,OK,dry ice,NA,C00000058785,NA,NA,C00000058818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,BART_005-O-23-20220427-BM,B00000069334,OK,NA,0000-0003-0616-1529,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
20059294-fe05-4aa3-98d9-6f5cc392f135,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,23_400,36,14,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T17:53:00Z,2022-04-27T17:53:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,BART_005-M-23-20220427,A00000157441,N,M,OK,4.1,3.5,1.9,18,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BART_005-M-23-20220427-BM,B00000069372,OK,NA,0000-0003-0616-1529,NA,20251217T193659Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
4f6e853d-5665-4971-a0b6-dca7be264304,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,39_400,19,39,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T16:16:00Z,2022-05-17T19:40:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,BART_005-O-39-20220517,A00000153570,N,O,OK,12.8,1.8,0,2.7,entire,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-4885-7081,NA,20251217T193810Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
6513dd74-81ae-4d26-af27-99df0f1b5965,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,39_400,19,39,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T16:16:00Z,2022-05-17T19:40:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,BART_005-M-39-20220517,A00000157463,N,M,OK,12.8,1.8,2.7,19,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-4885-7081,NA,20251217T193810Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
43c857b9-529b-42b7-80d2-1bcf4e1ef821,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,41_400,35.5,35.5,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T16:57:00Z,2022-05-17T19:29:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,BART_005-M-41-20220517,A00000157494,N,M,OK,13.4,2,2.3,25,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-4885-7081,NA,20251217T193810Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
505dd0eb-1b03-4e68-bf88-778ddb42d787,D01,BART,BART_005,BART_005.basePlot.bgc,distributed,mixedForest,41_400,35.5,35.5,WGS84,44.054614,-71.282188,20.3,306.9,0.36,NEON.DOC.014048vO,2022-04-27T16:57:00Z,2022-05-17T19:29:00Z,winterSpringTransition,OK - no known exceptions,BART.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,BART_005-O-41-20220517,A00000153571,N,O,OK,13.4,2,0,2.3,entire,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-4885-7081,NA,20251217T193810Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_soilCoreCollection
