uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
0283e81b-d61e-4acf-a54c-5ddc24a43c62,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,tower,evergreenForest,41_400,NA,NA,WGS84,40.046544,-105.58471,20.1,3365.1,0.2,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_040-41-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
c12f686c-6ac5-4977-9a35-98a9b754c7cc,D13,NIWO,NIWO_003,NIWO_003.basePlot.bgc,distributed,grasslandHerbaceous,41_400,NA,NA,WGS84,40.051247,-105.565041,20.1,3494.9,0.1,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_003-41-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
bd1e9592-4639-4258-a587-57aff7a72898,D13,NIWO,NIWO_006,NIWO_006.basePlot.bgc,distributed,grasslandHerbaceous,23_400,NA,NA,WGS84,40.055052,-105.561551,20.1,3469.3,0.1,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_006-23-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
15077aba-c254-4764-a831-8c0af48afa0d,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,evergreenForest,23_400,NA,NA,WGS84,40.042345,-105.558975,20.1,3213.5,0.11,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_001-23-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
c1776ec2-3fe7-4c14-8b6e-5a887c7ff5e5,D13,NIWO,NIWO_042,NIWO_042.basePlot.bgc,tower,grasslandHerbaceous,41_400,NA,NA,WGS84,40.04845,-105.584355,20.1,3412.5,0.1,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_042-41-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
d969dfbe-1d14-4cc4-b7d5-b80f226b6864,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,distributed,evergreenForest,39_400,NA,NA,WGS84,40.042345,-105.558975,20.1,3213.5,0.11,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_001-39-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
068859cc-1941-4690-9a73-4ef5ab5a12bd,D13,NIWO,NIWO_005,NIWO_005.basePlot.bgc,distributed,evergreenForest,39_400,NA,NA,WGS84,40.043663,-105.569904,20.1,3284.7,0.12,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_005-39-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
e3d3b96a-2a87-40ea-a766-4d4cc8625f3c,D13,NIWO,NIWO_003,NIWO_003.basePlot.bgc,distributed,grasslandHerbaceous,21_400,NA,NA,WGS84,40.051247,-105.565041,20.1,3494.9,0.1,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_003-21-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
f7f9ad02-33d8-4145-92ba-2d165b18933f,D13,NIWO,NIWO_006,NIWO_006.basePlot.bgc,distributed,grasslandHerbaceous,39_400,NA,NA,WGS84,40.055052,-105.561551,20.1,3469.3,0.1,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_006-39-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
f0185f58-d154-4421-a60c-9dc85ef26851,D13,NIWO,NIWO_002,NIWO_002.basePlot.bgc,distributed,evergreenForest,21_400,NA,NA,WGS84,40.041058,-105.547043,20.1,3059.6,0.16,NEON.DOC.014048vM,2020-06-08T14:00:00Z,2020-06-08T14:00:00Z,winterSpringTransition,unknown - logistical,NIWO.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,NIWO_002-21-20200608-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0001-5295-8649,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,NIWO,2020,sls_soilCoreCollection
