uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
e0650751-2cf2-46b8-923e-085b17620321,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,39_400,5.5,20,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-03-28T17:32:00Z,2022-03-28T17:32:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,SCBI_005-M-39-20220328,A00000167530,N,M,OK,6.8,1,0,29,maximum,corer,1,SCBI_005-M-39-20220328-GEN,B00000140641,OK,dry ice,NA,C00000114694,NA,NA,C00000114691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,SCBI_005-M-39-20220328-BM,B00000140731,OK,NA,0000-0002-5247-174X,NA,20251217T193838Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
dd5c6a3c-ca7f-4ccb-ac99-d713bfbda389,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,23_400,25.5,0.5,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-03-29T12:36:00Z,2022-03-29T12:36:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,SCBI_005-M-23-20220329,A00000167557,N,M,OK,4,2,0,30,maximum,corer,1,SCBI_005-M-23-20220329-GEN,B00000140642,OK,dry ice,NA,C00000114692,NA,NA,C00000114695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,SCBI_005-M-23-20220329-BM,B00000140741,OK,NA,0000-0002-5247-174X,NA,20251217T193838Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
13f0c176-cac0-4388-badb-c46938c10f11,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,21_400,5.5,8,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-03-29T13:02:00Z,2022-03-29T13:02:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,SCBI_005-M-21-20220329,A00000167558,N,M,OK,4,2.8,0,28,maximum,corer,1,SCBI_005-M-21-20220329-GEN,B00000140643,OK,dry ice,NA,C00000114696,NA,NA,C00000114693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,SCBI_005-M-21-20220329-BM,B00000140745,OK,NA,0000-0002-5247-174X,NA,20251217T193838Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
733dc390-35ab-49da-b843-1a0ffc2c1a3b,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,39_400,5.5,20,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-03-28T17:32:00Z,2022-04-19T15:24:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,SCBI_005-M-39-20220419,A00000167986,N,M,OK,7.4,1.5,0,30.6,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-2772-6536,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
f076e8cb-9e02-4116-a5b8-bcdeeda1067c,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,23_400,25.5,0.5,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-03-29T12:36:00Z,2022-04-19T15:36:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,SCBI_005-M-23-20220419,A00000167970,N,M,OK,5.2,1.5,0,29.6,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-2772-6536,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
11410d31-a720-4e30-8bed-7a802923da87,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,21_400,5.5,8,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-03-29T13:02:00Z,2022-04-19T15:13:00Z,winterSpringTransition,OK - no known exceptions,SCBI.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,SCBI_005-M-21-20220419,A00000168002,N,M,OK,6.3,1.7,0,29.5,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-2772-6536,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
2d86bf3e-e5bd-4451-89b9-5641cdcd330b,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,21_400,8,6,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-07-11T15:10:00Z,2022-07-11T15:10:00Z,peakGreenness,OK - no known exceptions,SCBI.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,SCBI_005-M-21-20220711,NA,N,M,OK,19.8,1.5,0,23,obstruction,corer,1,SCBI_005-M-21-20220711-GEN,B00000140934,OK,dry ice,NA,C00000118656,NA,NA,C00000118657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,SCBI_005-M-21-20220711-BM,B00000140784,OK,NA,0000-0002-6053-9222,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
e466f59f-9317-46ea-a7cb-8246b1150280,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,39_400,6.5,31,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-07-11T15:44:00Z,2022-07-11T15:44:00Z,peakGreenness,OK - no known exceptions,SCBI.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,SCBI_005-M-39-20220711,A00000167497,N,M,OK,19.1,1,0,22,obstruction,corer,1,SCBI_005-M-39-20220711-GEN,B00000140935,OK,dry ice,NA,C00000118655,NA,NA,C00000118654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,SCBI_005-M-39-20220711-BM,B00000140800,OK,NA,0000-0002-6053-9222,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
62b8ec4d-fe20-47d2-8081-732f8cb6a836,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,23_400,21.5,0.5,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-07-11T17:13:00Z,2022-07-11T17:13:00Z,peakGreenness,OK - no known exceptions,SCBI.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,SCBI_005-M-23-20220711,NA,N,M,OK,19.6,2,0,19,obstruction,corer,1,SCBI_005-M-23-20220711-GEN,B00000140931,OK,dry ice,NA,C00000118649,NA,NA,C00000118648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,SCBI_005-M-23-20220711-BM,B00000140797,OK,NA,0000-0002-6053-9222,NA,20251217T193747Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
5ddcb428-8760-40ad-8187-67bd473ea196,D02,SCBI,SCBI_005,SCBI_005.basePlot.bgc,distributed,deciduousForest,21_400,8,6,WGS84,38.900538,-78.16186,20.2,270.7,0.25,NEON.DOC.014048vO,2022-07-11T15:10:00Z,2022-08-01T13:59:00Z,peakGreenness,OK - no known exceptions,SCBI.peakGreenness.2022,0,tFinal,fieldOnly,OK,covered core,OK,SCBI_005-M-21-20220801,A00000170178,N,M,OK,20.9,2.5,0,30.5,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6053-9222,NA,20251217T193758Z,RELEASE-2026,DP1.10086.001,SCBI,2022,sls_soilCoreCollection
