uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
3ea7e859-e971-4edc-8a42-40363fa666ba,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,21_400,5.5,4.5,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-04-26T15:23:00Z,2022-04-26T15:23:00Z,winterSpringTransition,OK - no known exceptions,STEI.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STEI_047-M-21-20220426,A00000141265,N,M,OK,3.4,7.7,0,30.2,maximum,corer,1,STEI_047-M-21-20220426-GEN,B00000153127,OK,dry ice,NA,C00000072782,NA,NA,C00000072780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STEI_047-M-21-20220426-BM,B00000153134,OK,NA,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
23601d1d-352c-4738-a2af-050115dd9ad4,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,39_400,3.5,26,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-04-26T15:53:00Z,2022-04-26T15:53:00Z,winterSpringTransition,OK - no known exceptions,STEI.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STEI_047-M-39-20220426,A00000141264,N,M,OK,3.6,5.4,0,29.5,maximum,corer,1,STEI_047-M-39-20220426-GEN,B00000153126,OK,dry ice,NA,C00000072781,NA,NA,C00000072768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STEI_047-M-39-20220426-BM,B00000153132,OK,NA,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
41341c65-2a02-40cb-9497-7803630a99e6,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,41_400,23.5,37,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-04-26T16:08:00Z,2022-04-26T16:08:00Z,winterSpringTransition,OK - no known exceptions,STEI.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,STEI_047-M-41-20220426,A00000141266,N,M,OK,0.4,4.3,0,30.2,maximum,corer,1,STEI_047-M-41-20220426-GEN,B00000153128,OK,dry ice,NA,C00000072777,NA,NA,C00000072775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STEI_047-M-41-20220426-BM,B00000153130,OK,NA,0000-0002-5484-7763,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
1f89cee2-fd79-4f10-bbf0-b9b6860c73e7,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,21_400,5.5,4.5,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-04-26T15:23:00Z,2022-05-19T20:59:00Z,winterSpringTransition,OK - no known exceptions,STEI.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,STEI_047-M-21-20220519,A00000206143,N,M,OK,13.2,4,0,29,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-7519-0636,NA,20251217T193625Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
72e50b23-eea4-4530-a396-480e16dcecec,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,39_400,3.5,26,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-04-26T15:53:00Z,2022-05-19T21:08:00Z,winterSpringTransition,OK - no known exceptions,STEI.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,STEI_047-M-39-20220519,A00000206127,N,M,OK,11.8,4.3,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-7519-0636,NA,20251217T193625Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
8daaa620-3b1e-49b1-8c85-d83ba9818a9d,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,41_400,23.5,37,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-04-26T16:08:00Z,2022-05-19T21:19:00Z,winterSpringTransition,OK - no known exceptions,STEI.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,STEI_047-M-41-20220519,A00000206144,N,M,OK,11.4,4.3,0,29.5,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-7519-0636,NA,20251217T193625Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
c50383a0-5ce8-4cdc-bf8b-5c3798abd2cc,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,39_400,17.5,30,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-07-13T15:46:00Z,2022-07-13T15:46:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,STEI_047-M-39-20220713,A00000358496,N,M,OK,15.9,1.8,0,30.4,maximum,corer,1,STEI_047-M-39-20220713-GEN,B00000153312,OK,dry ice,NA,C00000087487,NA,NA,C00000087492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STEI_047-M-39-20220713-BM,B00000153741,OK,NA,0000-0001-8860-6856,NA,20251217T193957Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
ed58e592-aae0-4e51-864c-49545bfcc43b,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,41_400,36.5,30.5,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-07-13T16:09:00Z,2022-07-13T16:09:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,STEI_047-M-41-20220713,A00000358480,N,M,OK,15.9,2.8,0,30.3,maximum,corer,1,STEI_047-M-41-20220713-GEN,B00000153311,OK,dry ice,NA,C00000032709,NA,NA,C00000032705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STEI_047-M-41-20220713-BM,B00000153742,OK,NA,0000-0001-8860-6856,NA,20251217T193957Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
61a39f3c-a04e-468f-8f4a-55641a12a231,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,23_400,38,1.5,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-07-13T16:39:00Z,2022-07-13T16:39:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,STEI_047-M-23-20220713,A00000358511,N,M,OK,15.6,2.6,0,30.1,maximum,corer,1,STEI_047-M-23-20220713-GEN,B00000153313,OK,dry ice,NA,C00000087514,NA,NA,C00000087518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,STEI_047-M-23-20220713-BM,B00000153740,OK,NA,0000-0001-8860-6856,NA,20251217T193957Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
dc705d4b-9324-41bc-a0ed-b5c188f1dfb1,D05,STEI,STEI_047,STEI_047.basePlot.bgc,tower,deciduousForest,39_400,17.5,30,WGS84,45.506178,-89.588573,20.3,472.6,0.28,NEON.DOC.014048vO,2022-07-13T15:46:00Z,2022-08-03T16:56:00Z,peakGreenness,OK - no known exceptions,STEI.peakGreenness.2022,0,tFinal,fieldOnly,OK,covered core,OK,STEI_047-M-39-20220803,A00000359352,N,M,OK,18.6,1.5,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-0640-0000,NA,20251217T194018Z,RELEASE-2026,DP1.10086.001,STEI,2022,sls_soilCoreCollection
