uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
1b180e52-26e9-48ed-b4de-ebbece7f890b,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,21_400,13.5,0,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-03-17T13:23:00Z,2021-03-17T13:23:00Z,dryWetTransition,OK - no known exceptions,OSBS.dryWetTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,OSBS_031-M-13.5-0-20210317,A00000315846,N,M,OK,21.7,1,0,30,maximum,auger,1,OSBS_031-M-13.5-0-20210317-GEN,B00000024965,OK,NA,OSBS_031-M-13.5-0-20210317-GA1,C00000063697,NA,OSBS_031-M-13.5-0-20210317-GA2,C00000063699,NA,OSBS_031-M-13.5-0-20210317-GA3,C00000063695,NA,OSBS_031-M-13.5-0-20210317-GA4,C00000063696,NA,OSBS_031-M-13.5-0-20210317-GA5,C00000063698,NA,NA,NA,OSBS_031-M-13.5-0-20210317-BM,B00000064753,OK,NA,0000-0001-8642-686X,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
1eb2e4f6-195a-4228-8ac9-44db16088d61,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,21_400,13.5,0,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-03-17T13:23:00Z,2021-03-31T12:52:00Z,dryWetTransition,OK - no known exceptions,OSBS.dryWetTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,OSBS_031-M-13.5-0-20210331,A00000316021,N,M,OK,22.7,2,0,31,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-8642-686X,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
28e4d155-34e1-4e1c-b34c-6feb8053f797,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,39_400,6.5,36.5,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-03-17T13:37:00Z,2021-03-17T13:37:00Z,dryWetTransition,OK - no known exceptions,OSBS.dryWetTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,OSBS_031-M-6.5-36.5-20210317,A00000315845,N,M,OK,20.9,3,0,30,maximum,auger,1,OSBS_031-M-6.5-36.5-20210317-GEN,B00000024966,OK,NA,OSBS_031-M-6.5-36.5-20210317-GA1,C00000063703,NA,OSBS_031-M-6.5-36.5-20210317-GA2,C00000063702,NA,OSBS_031-M-6.5-36.5-20210317-GA3,C00000063701,NA,OSBS_031-M-6.5-36.5-20210317-GA4,C00000018274,NA,OSBS_031-M-6.5-36.5-20210317-GA5,C00000063700,NA,NA,NA,OSBS_031-M-6.5-36.5-20210317-BM,B00000064754,OK,NA,0000-0001-8642-686X,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
8c75e3f0-0942-4a9c-b2b8-1043961325e3,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,39_400,6.5,36.5,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-03-17T13:37:00Z,2021-03-31T12:59:00Z,dryWetTransition,OK - no known exceptions,OSBS.dryWetTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,OSBS_031-M-6.5-36.5-20210331,A00000316022,N,M,OK,22.7,3.5,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-8642-686X,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
847c7ba1-8555-4c3c-9352-773824f78073,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,41_400,35,23.5,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-03-17T13:57:00Z,2021-03-17T13:57:00Z,dryWetTransition,OK - no known exceptions,OSBS.dryWetTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,OSBS_031-M-35-23.5-20210317,A00000315844,N,M,OK,19.7,4,0,30,maximum,auger,1,OSBS_031-M-35-23.5-20210317-GEN,B00000024967,OK,NA,OSBS_031-M-35-23.5-20210317-GA1,C00000063709,NA,OSBS_031-M-35-23.5-20210317-GA2,C00000063707,NA,OSBS_031-M-35-23.5-20210317-GA3,C00000063705,NA,OSBS_031-M-35-23.5-20210317-GA4,C00000063708,NA,OSBS_031-M-35-23.5-20210317-GA5,C00000063706,NA,NA,NA,OSBS_031-M-35-23.5-20210317-BM,B00000064756,OK,NA,0000-0001-8642-686X,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
67a692e8-c300-4ede-910a-76bdabb17ca8,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,41_400,35,23.5,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-03-17T13:57:00Z,2021-03-31T13:04:00Z,dryWetTransition,OK - no known exceptions,OSBS.dryWetTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,OSBS_031-M-35-23.5-20210331,A00000316023,N,M,OK,22,2,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-8642-686X,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
59bdfe75-6579-4630-bdd5-97d7a3cf891c,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,21_400,4,5,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-07-08T18:34:00Z,2021-07-08T18:34:00Z,peakGreenness,OK - no known exceptions,OSBS.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,OSBS_031-M-4-5-20210708,A00000315872,N,M,OK,29.5,0.5,0,30,maximum,auger,1,OSBS_031-M-4-5-20210708-GEN,B00000065270,OK,NA,NA,C00000064218,NA,NA,C00000064256,NA,NA,C00000064262,NA,NA,C00000064185,NA,NA,C00000064274,NA,NA,NA,OSBS_031-M-4-5-20210708-BM,B00000128247,OK,Plot was recently burned,0000-0001-8642-686X,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
9ce2cc90-61e8-44ad-9582-e9d359ec1965,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,21_400,4,5,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-07-08T18:34:00Z,2021-07-26T15:14:00Z,peakGreenness,OK - no known exceptions,OSBS.peakGreenness.2021,0,tFinal,fieldOnly,OK,covered core,OK,OSBS_031-M-4-5-20210726,A00000140484,N,M,OK,28.3,0.5,0,31.5,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-8642-686X,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
ed46e578-9381-4feb-93cc-e5716d66770a,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,39_400,8.5,20.5,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-07-08T18:46:00Z,2021-07-08T18:46:00Z,peakGreenness,OK - no known exceptions,OSBS.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,OSBS_031-M-8.5-20.5-20210708,A00000315871,N,M,OK,30,0.5,0,30,maximum,auger,1,OSBS_031-M-8.5-20.5-20210708-GEN,B00000065258,OK,NA,NA,C00000064323,NA,NA,C00000064285,NA,NA,C00000064317,NA,NA,C00000064186,NA,NA,C00000064168,NA,NA,NA,OSBS_031-M-8.5-20.5-20210708-BM,B00000128249,OK,Plot was recently burned,0000-0001-8642-686X,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
dc8657b2-dcac-4fed-b558-cc2e46a2939d,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,tower,evergreenForest,39_400,8.5,20.5,WGS84,29.688969,-81.991102,20.1,43.8,0.12,NEON.DOC.014048vN,2021-07-08T18:46:00Z,2021-07-26T15:10:00Z,peakGreenness,OK - no known exceptions,OSBS.peakGreenness.2021,0,tFinal,fieldOnly,OK,covered core,OK,OSBS_031-M-8.5-20.5-20210726,A00000140467,N,M,OK,28.3,1,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-8642-686X,NA,20251217T193539Z,RELEASE-2026,DP1.10086.001,OSBS,2021,sls_soilCoreCollection
