uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
f53735d8-3e0b-4aa7-8428-b1bfaa9ce494,D17,SJER,SJER_003,SJER_003.basePlot.bgc,2021-03-01T18:02:00Z,2021-03-01T18:44:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_003-M-30-1.5-20210301|SJER_003-M-0-6-20210301|SJER_003-M-37-34-20210301,SJER_003-M-20210301-COMP,B00000123272,OK,NA,0000-0002-4748-8985,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
5e2b6f51-a5eb-40d8-9609-b166651a2670,D17,SJER,SJER_001,SJER_001.basePlot.bgc,2021-03-01T20:07:00Z,2021-03-01T20:46:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_001-M-20-0.5-20210301|SJER_001-M-24.5-39.5-20210301|SJER_001-M-7-33-20210301,SJER_001-M-20210301-COMP,B00000123271,OK,NA,0000-0002-4748-8985,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
e1ea2e90-3a3c-4a29-a5a9-0784d3e57ce4,D17,SJER,SJER_002,SJER_002.basePlot.bgc,2021-03-01T21:46:00Z,2021-03-01T22:14:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_002-M-7.5-26.5-20210301|SJER_002-M-8.5-2.5-20210301|SJER_002-M-27-32-20210301,SJER_002-M-20210301-COMP,B00000123273,OK,NA,0000-0002-4748-8985,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
a29cf697-2cb9-49fc-961d-73cdc0825fbf,D17,SJER,SJER_004,SJER_004.basePlot.bgc,2021-03-04T16:36:00Z,2021-03-04T17:13:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_004-M-36.5-24-20210304|SJER_004-M-6.5-25-20210304|SJER_004-M-14-6.5-20210304,SJER_004-M-20210304-COMP,B00000123274,OK,NA,0000-0001-7920-7757,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
bc7d3e3f-aafd-45fa-a9f5-ea218dfae590,D17,SJER,SJER_005,SJER_005.basePlot.bgc,2021-03-04T19:20:00Z,2021-03-04T19:46:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_005-M-15.5-38.5-20210304|SJER_005-M-2.5-9-20210304|SJER_005-M-37-14.5-20210304,SJER_005-M-20210304-COMP,B00000123275,OK,NA,0000-0001-7920-7757,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
fcc6aa8f-abd2-4c44-bbfc-8a0f349e9cb2,D17,SJER,SJER_025,SJER_025.basePlot.bgc,2021-03-04T21:31:00Z,2021-03-04T22:05:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_025-M-17-9-20210304|SJER_025-M-37-27.5-20210304|SJER_025-M-16.5-35-20210304,SJER_025-M-20210304-COMP,B00000123276,OK,NA,0000-0001-7920-7757,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
91d03afa-4165-402d-97c3-74a712094847,D17,SJER,SJER_046,SJER_046.basePlot.bgc,2021-03-10T16:53:00Z,2021-03-10T17:35:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_046-M-7-35-20210310|SJER_046-M-9-18-20210310|SJER_046-M-22-39.5-20210310,SJER_046-M-20210310-COMP,B00000123278,OK,NA,0000-0001-7920-7757,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
40276d94-4b38-47ec-aefe-0a1768bf7cb9,D17,SJER,SJER_045,SJER_045.basePlot.bgc,2021-03-10T18:49:00Z,2021-03-10T19:16:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_045-M-3.5-32-20210310|SJER_045-M-33.5-30-20210310|SJER_045-M-5-2.5-20210310,SJER_045-M-20210310-COMP,B00000123277,OK,NA,0000-0001-7920-7757,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
499f7043-caee-4f4a-9d42-423f61f752d6,D17,SJER,SJER_048,SJER_048.basePlot.bgc,2021-03-10T21:15:00Z,2021-03-10T21:45:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_048-M-32.5-1.5-20210310|SJER_048-M-7-39.5-20210310|SJER_048-M-38.5-22-20210310,SJER_048-M-20210310-COMP,B00000123280,OK,NA,0000-0001-7920-7757,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
c1be2358-7a33-49be-8e43-57cccde15337,D17,SJER,SJER_047,SJER_047.basePlot.bgc,2021-03-11T16:30:00Z,2021-03-11T16:51:00Z,SJER.peakGreenness.2021,NEON.DOC.014048vN,SJER_047-M-35.5-17.5-20210311|SJER_047-M-1.5-26-20210311|SJER_047-M-32-26.5-20210311,SJER_047-M-20210311-COMP,B00000123279,OK,NA,0000-0001-7920-7757,NA,NA,20251217T193857Z,RELEASE-2026,DP1.10086.001,SJER,2021,sls_metagenomicsPooling
