uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
f3730fe0-59bf-4994-ab6f-45bc3b0e43ff,D13,MOAB,MOAB_003,MOAB_003.basePlot.bgc,distributed,evergreenForest,21_400,4.5,15,WGS84,38.261284,-109.349483,20.1,2006.8,0.11,NEON.DOC.014048vP,2024-03-25T21:20:00Z,2024-03-25T21:20:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_003-M-21-20240325,A00000390515,N,M,Mature biological soil crust present,7,0.1,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000101889,NA,NA,C00000101897,NA,NA,C00000101920,NA,NA,C00000101909,NA,NA,C00000101904,NA,dry ice,5 mL vial,NA,NA,NA,NA,0009-0005-2133-045X,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
056f8be7-3d6e-4d50-89e6-7b9b4549fb3f,D13,MOAB,MOAB_003,MOAB_003.basePlot.bgc,distributed,evergreenForest,41_400,39.5,29.5,WGS84,38.261284,-109.349483,20.1,2006.8,0.11,NEON.DOC.014048vP,2024-03-25T21:51:00Z,2024-03-25T21:51:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_003-M-41-20240325,A00000390516,N,M,OK,7.9,0.1,0,31,maximum,auger,1,NA,NA,NA,NA,NA,C00000101887,NA,NA,C00000101890,NA,NA,C00000101886,NA,NA,C00000101900,NA,NA,C00000101891,NA,dry ice,5 mL vial,NA,NA,NA,NA,0009-0005-2133-045X,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
45fc44fa-ff24-4162-8c84-388623bd42c3,D13,MOAB,MOAB_003,MOAB_003.basePlot.bgc,distributed,evergreenForest,23_400,38,10,WGS84,38.261284,-109.349483,20.1,2006.8,0.11,NEON.DOC.014048vP,2024-03-25T22:21:00Z,2024-03-25T22:21:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_003-M-23-20240325,A00000390514,N,M,OK,2.9,0.2,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000101899,NA,NA,C00000101892,NA,NA,C00000101898,NA,NA,C00000101905,NA,NA,C00000101907,NA,dry ice,5 mL vial,NA,NA,NA,NA,0009-0005-2133-045X,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
b6a7ba67-f161-43ed-ac0c-823270771a08,D13,MOAB,MOAB_001,MOAB_001.basePlot.bgc,distributed,shrubScrub,39_400,9,28.5,WGS84,38.257569,-109.413674,20.1,1799.3,0.1,NEON.DOC.014048vP,2024-03-26T15:07:00Z,2024-03-26T15:07:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_001-M-39-20240326,A00000390520,N,M,OK,2.1,0.2,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000101854,NA,NA,C00000101827,NA,NA,C00000101853,NA,NA,C00000101852,NA,NA,C00000101851,NA,dry ice,5 mL vial,NA,NA,NA,NA,0000-0002-6929-4954,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
e0772cf2-4886-4448-adb6-937fefb5caea,D13,MOAB,MOAB_001,MOAB_001.basePlot.bgc,distributed,shrubScrub,21_400,4.5,16.5,WGS84,38.257569,-109.413674,20.1,1799.3,0.1,NEON.DOC.014048vP,2024-03-26T15:20:00Z,2024-03-26T15:20:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_001-M-21-20240326,A00000390522,N,M,OK,2.2,0.2,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000101901,NA,NA,C00000101911,NA,NA,C00000101915,NA,NA,C00000101916,NA,NA,C00000101903,NA,dry ice,5 mL vial,NA,NA,NA,NA,0000-0002-6929-4954,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
9a2ab156-5204-4b52-8e8e-b52c06146f36,D13,MOAB,MOAB_001,MOAB_001.basePlot.bgc,distributed,shrubScrub,23_400,37.5,8.5,WGS84,38.257569,-109.413674,20.1,1799.3,0.1,NEON.DOC.014048vP,2024-03-26T15:37:00Z,2024-03-26T15:37:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_001-M-23-20240326,A00000390521,N,M,OK,2.6,0.1,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000101855,NA,NA,C00000101859,NA,NA,C00000101858,NA,NA,C00000101856,NA,NA,C00000101857,NA,dry ice,5 mL vial,NA,NA,NA,NA,0000-0002-6929-4954,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
df16f7ea-97b5-4b9a-87ef-082e8820d59b,D13,MOAB,MOAB_046,MOAB_046.basePlot.bgc,tower,shrubScrub,41_400,35.5,34,WGS84,38.248084,-109.392292,20.1,1792.2,0.11,NEON.DOC.014048vP,2024-03-26T16:56:00Z,2024-03-26T16:56:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_046-M-41-20240326,A00000390493,N,M,OK,4.3,0.1,0,29.5,maximum,auger,1,NA,NA,NA,NA,NA,C00000101902,NA,NA,C00000101917,NA,NA,C00000101895,NA,NA,C00000101896,NA,NA,C00000101918,NA,dry ice,5 mL vial,NA,NA,NA,NA,0009-0005-2133-045X,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
874fe523-1b9b-4034-b612-aff49373c9b8,D13,MOAB,MOAB_046,MOAB_046.basePlot.bgc,tower,shrubScrub,39_400,8,24.5,WGS84,38.248084,-109.392292,20.1,1792.2,0.11,NEON.DOC.014048vP,2024-03-26T17:17:00Z,2024-03-26T17:17:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_046-M-39-20240326,A00000390495,N,M,OK,5.5,0.2,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000101885,NA,NA,C00000101906,NA,NA,C00000101893,NA,NA,C00000101894,NA,NA,C00000101884,NA,dry ice,5 mL vial,NA,NA,NA,NA,0009-0005-2133-045X,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
844251ef-1d68-47f5-8dd7-3532ac2bf056,D13,MOAB,MOAB_046,MOAB_046.basePlot.bgc,tower,shrubScrub,23_400,24,6.5,WGS84,38.248084,-109.392292,20.1,1792.2,0.11,NEON.DOC.014048vP,2024-03-26T17:34:00Z,2024-03-26T17:34:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_046-M-23-20240326,A00000390494,N,M,OK,5.2,0.1,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000101888,NA,NA,C00000101881,NA,NA,C00000101880,NA,NA,C00000101878,NA,NA,C00000101882,NA,dry ice,5 mL vial,NA,NA,NA,NA,0009-0005-2133-045X,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
d67e38a9-f580-42ee-958e-c14f39479425,D13,MOAB,MOAB_045,MOAB_045.basePlot.bgc,tower,shrubScrub,23_400,38,1,WGS84,38.245899,-109.390298,20.1,1796.9,0.14,NEON.DOC.014048vP,2024-03-26T18:34:00Z,2024-03-26T18:34:00Z,winterSpringTransition,OK - no known exceptions,MOAB.winterSpringTransition.2024,0,No,microbes,OK,no incubation,NA,MOAB_045-M-23-20240326,A00000390499,N,M,OK,7.7,0.1,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000101843,NA,NA,C00000101845,NA,NA,C00000101841,NA,NA,C00000101844,NA,NA,C00000101842,NA,dry ice,5 mL vial,NA,NA,NA,NA,0000-0002-6929-4954,NA,20251217T193452Z,RELEASE-2026,DP1.10086.001,MOAB,2024,sls_soilCoreCollection
