uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
42add8c6-3782-44ae-8c07-0539b6dedae6,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,41_400,NA,NA,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vM,2020-04-15T13:00:00Z,2020-04-15T13:00:00Z,winterSpringTransition,NA,NOGP.winterSpringTransition.2020,NA,tInitial,microbesBiomass,logistical,NA,NA,NOGP_005-41-20200415-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0002-6068-4956,NA,20251217T193726Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
fac31372-006d-4fbf-b4b8-5054cc90ad8e,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,23_400,NA,NA,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vM,2020-04-15T13:00:00Z,2020-04-15T13:00:00Z,winterSpringTransition,NA,NOGP.winterSpringTransition.2020,NA,tInitial,microbesBiomass,logistical,NA,NA,NOGP_005-23-20200415-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0002-6068-4956,NA,20251217T193726Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
9a76eede-6380-4da1-88dd-d631920dcaea,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,21_400,NA,NA,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vM,2020-04-15T13:00:00Z,2020-04-15T13:00:00Z,winterSpringTransition,NA,NOGP.winterSpringTransition.2020,NA,tInitial,microbesBiomass,logistical,NA,NA,NOGP_005-21-20200415-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0002-6068-4956,NA,20251217T193726Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
8cfdc1b5-8e2a-40b5-bcb5-65f7c0194846,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,21_400,0,4.5,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vN,2020-10-01T18:03:00Z,2020-10-01T18:03:00Z,fallWinterTransition,OK - no known exceptions,NOGP.fallWinterTransition.2020,0,tInitial,microbesBiomass,OK,no incubation,NA,NOGP_005-M-0-4.5-20201001,A00000138099,N,M,OK,11.5,2,0,29,maximum,auger,1,NOGP_005-M-0-4.5-20201001-GEN,B00000095965,OK,NA,NOGP_005-M-0-4.5-20201001-GA1,C00000087004,NA,NOGP_005-M-0-4.5-20201001-GA2,C00000086989,NA,NOGP_005-M-0-4.5-20201001-GA3,C00000086999,NA,NOGP_005-M-0-4.5-20201001-GA4,C00000086998,NA,NOGP_005-M-0-4.5-20201001-GA5,C00000087000,NA,NA,NA,NOGP_005-M-0-4.5-20201001-BM,B00000096366,OK,NA,0000-0002-6068-4956,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
00080212-d820-4f87-886f-7dfbbd68db83,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,21_400,0,4.5,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vN,2020-10-01T18:03:00Z,2020-10-26T18:50:00Z,fallWinterTransition,OK - no known exceptions,NOGP.fallWinterTransition.2020,0,tFinal,fieldOnly,OK,covered core,OK,NOGP_005-M-0-4.5-20201026,NA,N,M,OK,1.6,2,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,litter depth estimated based on T-Initial measurement due to ice preventing an accurate measurement.,0000-0002-6068-4956,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
8352a1ee-f7e6-4330-950d-1e41923cde30,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,23_400,34,14,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vN,2020-10-01T18:18:00Z,2020-10-01T18:18:00Z,fallWinterTransition,OK - no known exceptions,NOGP.fallWinterTransition.2020,0,tInitial,microbesBiomass,OK,no incubation,NA,NOGP_005-M-34-14-20201001,A00000138124,N,M,OK,11.9,1.5,0,29,maximum,auger,1,NOGP_005-M-34-14-20201001-GEN,B00000095955,OK,NA,NOGP_005-M-34-14-20201001-GA1,C00000086994,NA,NOGP_005-M-34-14-20201001-GA2,C00000086996,NA,NOGP_005-M-34-14-20201001-GA3,C00000086995,NA,NOGP_005-M-34-14-20201001-GA4,C00000087002,NA,NOGP_005-M-34-14-20201001-GA5,C00000087001,NA,NA,NA,NOGP_005-M-34-14-20201001-BM,B00000096367,OK,NA,0000-0002-6068-4956,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
f19cba57-4175-4b67-a50e-7aacd218efce,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,23_400,34,14,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vN,2020-10-01T18:18:00Z,2020-10-26T18:59:00Z,fallWinterTransition,OK - no known exceptions,NOGP.fallWinterTransition.2020,0,tFinal,fieldOnly,OK,covered core,OK,NOGP_005-M-34-14-20201026,NA,N,M,OK,1.1,1.5,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,litter depth estimated based on T-Initial measurement due to ice preventing an accurate measurement.,0000-0002-6068-4956,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
919a3961-2904-4137-9ae7-ace9c586cb93,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,39_400,8,36,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vN,2020-10-01T18:31:00Z,2020-10-01T18:31:00Z,fallWinterTransition,OK - no known exceptions,NOGP.fallWinterTransition.2020,0,tInitial,microbesBiomass,OK,no incubation,NA,NOGP_005-M-8-36-20201001,A00000138107,N,M,OK,11.6,1.5,0,29,maximum,auger,1,NOGP_005-M-8-36-20201001-GEN,B00000095957,OK,NA,NOGP_005-M-8-36-20201001-GA1,C00000087003,NA,NOGP_005-M-8-36-20201001-GA2,C00000087007,NA,NOGP_005-M-8-36-20201001-GA3,C00000087005,NA,NOGP_005-M-8-36-20201001-GA4,C00000087006,NA,NOGP_005-M-8-36-20201001-GA5,C00000087008,NA,NA,NA,NOGP_005-M-8-36-20201001-BM,B00000096379,OK,NA,0000-0002-6068-4956,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
b1dffa33-8839-4484-a6a8-9c6bd5f6f221,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,39_400,8,36,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vN,2020-10-01T18:31:00Z,2020-10-26T19:05:00Z,fallWinterTransition,OK - no known exceptions,NOGP.fallWinterTransition.2020,0,tFinal,fieldOnly,OK,covered core,OK,NOGP_005-M-8-36-20201026,NA,N,M,OK,1.7,1.5,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,litter depth estimated based on T-Initial measurement due to ice preventing an accurate measurement.,0000-0002-6068-4956,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
c6e0feb0-97a5-4c92-94d4-b5713326e042,D09,NOGP,NOGP_005,NOGP_005.basePlot.bgc,distributed,grasslandHerbaceous,21_400,2.5,18,WGS84,46.786915,-100.915127,20,566.4,0.02,NEON.DOC.014048vN,2020-07-06T15:45:00Z,2020-07-06T15:45:00Z,peakGreenness,OK - no known exceptions,NOGP.peakGreenness.2020,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,NOGP_005-M-2.5-18-20200706,A00000237846,N,M,OK,21.1,1.5,0,29.5,maximum,auger,1,NOGP_005-M-2.5-18-20200706-GEN,B00000096206,OK,NA,NOGP_005-M-2.5-18-20200706-GA1,C00000032273,NA,NOGP_005-M-2.5-18-20200706-GA2,C00000032269,NA,NOGP_005-M-2.5-18-20200706-GA3,C00000032276,NA,NOGP_005-M-2.5-18-20200706-GA4,C00000032268,NA,NOGP_005-M-2.5-18-20200706-GA5,C00000032263,NA,NA,NA,NOGP_005-M-2.5-18-20200706-BM,B00000000071,OK,NA,0000-0001-5730-2163,NA,20251217T193757Z,RELEASE-2026,DP1.10086.001,NOGP,2020,sls_soilCoreCollection
