uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
e8cc5e40-0c36-4996-9b54-35fb996a774a,D14,SRER,SRER_004,SRER_004.basePlot.bgc,2021-08-09T15:26:00Z,2021-08-09T15:54:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_004-M-11-3.5-20210809|SRER_004-M-10.5-37-20210809|SRER_004-M-31.5-25.5-20210809,SRER_004-M-20210809-COMP,B00000110619,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
e12dd28f-04d0-48f3-b592-fed94ebbaaf9,D14,SRER,SRER_047,SRER_047.basePlot.bgc,2021-08-09T15:45:00Z,2021-08-09T16:25:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_047-M-33.5-18-20210809|SRER_047-M-33.5-28-20210809|SRER_047-M-8.5-11.5-20210809,SRER_047-M-20210809-COMP,B00000110614,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
f5f93fc3-e658-4ef2-b30b-49e622eb3c79,D14,SRER,SRER_043,SRER_043.basePlot.bgc,2021-08-09T17:26:00Z,2021-08-09T18:07:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_043-M-33.5-21.5-20210809|SRER_043-M-17-38-20210809|SRER_043-M-10.5-7-20210809,SRER_043-M-20210809-COMP,B00000110572,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
ce0da5c8-c35f-4de9-9cbb-24addbbe9bd7,D14,SRER,SRER_006,SRER_006.basePlot.bgc,2021-08-09T18:02:00Z,2021-08-09T18:33:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_006-M-38-39.5-20210809|SRER_006-M-14.5-4.5-20210809|SRER_006-M-6.5-21-20210809,SRER_006-M-20210809-COMP,B00000110571,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
714c747a-f742-446a-b187-92285b19ab7c,D14,SRER,SRER_003,SRER_003.basePlot.bgc,2021-08-09T19:47:00Z,2021-08-09T20:07:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_003-M-5-1.5-20210809|SRER_003-M-3.5-26.5-20210809|SRER_003-M-33-0.5-20210809,SRER_003-M-20210809-COMP,B00000110608,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
a3ddb9b9-4c8f-46ff-8c4e-306c5210f6f8,D14,SRER,SRER_002,SRER_002.basePlot.bgc,2021-08-09T20:20:00Z,2021-08-09T21:00:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_002-M-4-25-20210809|SRER_002-M-8.5-14-20210809|SRER_002-M-33.5-19-20210809,SRER_002-M-20210809-COMP,B00000110561,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
8e64594a-493f-4500-afed-b41a142cf79a,D14,SRER,SRER_053,SRER_053.basePlot.bgc,2021-08-10T14:58:00Z,2021-08-10T15:33:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_053-M-30-5-20210810|SRER_053-M-31-34-20210810|SRER_053-M-11-39-20210810,SRER_053-M-20210810-COMP,B00000110580,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
d01a29e4-238e-4d69-a8e6-158a0b820616,D14,SRER,SRER_001,SRER_001.basePlot.bgc,2021-08-10T17:25:00Z,2021-08-10T17:52:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_001-M-35.5-8-20210810|SRER_001-M-38.5-21.5-20210810|SRER_001-M-5-10-20210810,SRER_001-M-20210810-COMP,B00000110618,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
5f057cb5-3b66-4b62-8103-730c3b16982c,D14,SRER,SRER_052,SRER_052.basePlot.bgc,2021-08-10T17:53:00Z,2021-08-10T18:20:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_052-M-36-5-20210810|SRER_052-M-31-25-20210810|SRER_052-M-17.5-33.5-20210810,SRER_052-M-20210810-COMP,B00000110612,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
4798ed4c-b5e0-482d-915e-4acc40ed71d3,D14,SRER,SRER_005,SRER_005.basePlot.bgc,2021-08-10T19:36:00Z,2021-08-10T19:58:00Z,SRER.peakGreenness.2021,NEON.DOC.014048vN,SRER_005-M-23-9.5-20210810|SRER_005-M-11-0-20210810|SRER_005-M-21.5-37-20210810,SRER_005-M-20210810-COMP,B00000110567,OK,NA,0000-0002-6694-2717,NA,NA,20251217T193546Z,RELEASE-2026,DP1.10086.001,SRER,2021,sls_metagenomicsPooling
