uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
8684058c-5fcd-491d-8e72-0c5a737b3965,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,41_400,38,22.5,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-05-16T18:58:00Z,2023-05-16T18:58:00Z,winterSpringTransition,OK - no known exceptions,DCFS.winterSpringTransition.2023,33,tInitial,microbesBiomass,OK,no incubation,NA,DCFS_007-M-41-20230516,NA,N,M,OK,NA,NA,0,30,maximum,auger,1,DCFS_007-M-41-20230516-GEN,B00000133608,OK,dry ice,NA,D00000181613,NA,NA,D00000181545,NA,NA,D00000181563,NA,NA,D00000181549,NA,NA,D00000181580,NA,dry ice,2 mL vial,DCFS_007-M-41-20230516-BM,B00000133825,OK,soil temp not measured due to standing water,0009-0005-5531-2786,NA,20251217T193423Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
dd75bffb-3554-453d-86df-47c82d0a044b,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,39_400,9,39.5,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-05-16T19:00:00Z,2023-05-16T19:00:00Z,winterSpringTransition,OK - no known exceptions,DCFS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,DCFS_007-O-39-20230516,NA,N,O,OK,12.3,4,0,2,entire,brownie cutter,3,DCFS_007-O-39-20230516-GEN,B00000097180,OK,dry ice,NA,D00000182184,NA,NA,D00000182133,NA,NA,D00000182182,NA,NA,D00000182177,NA,NA,D00000182176,NA,dry ice,2 mL vial,DCFS_007-O-39-20230516-BM,B00000133844,OK,NA,0009-0005-5531-2786,NA,20251217T193423Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
d60d62ca-0dd9-49bc-9df2-6e10c87831a8,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,39_400,9,39.5,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-05-16T20:11:00Z,2023-05-16T20:11:00Z,winterSpringTransition,OK - no known exceptions,DCFS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,DCFS_007-M-39-20230516,NA,N,M,OK,12.3,4,2,28,maximum,auger,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DCFS_007-M-39-20230516-BM,B00000133832,OK,NA,0009-0005-5531-2786,NA,20251217T193423Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
25f50424-a79c-4878-bc28-f0d66c2ec35f,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,23_400,32.5,4,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-05-16T20:18:00Z,2023-05-16T20:18:00Z,winterSpringTransition,OK - no known exceptions,DCFS.winterSpringTransition.2023,0,tInitial,microbesBiomass,OK,no incubation,NA,DCFS_007-M-23-20230516,NA,N,M,OK,14,0.8,0,30,maximum,auger,1,DCFS_007-M-23-20230516-GEN,B00000133609,OK,dry ice,NA,D00000181550,NA,NA,D00000181528,NA,NA,D00000181620,NA,NA,D00000181593,NA,NA,D00000181582,NA,dry ice,2 mL vial,DCFS_007-M-23-20230516-BM,B00000133826,OK,NA,0009-0005-5531-2786,NA,20251217T193423Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
f079e511-4e40-4183-9cca-addce92d5942,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,41_400,38,22.5,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-05-16T18:58:00Z,2023-06-12T14:34:00Z,winterSpringTransition,OK - no known exceptions,DCFS.winterSpringTransition.2023,22,tFinal,fieldOnly,OK,buried bag,buried bag had water,DCFS_007-M-41-20230612,NA,N,M,OK,NA,NA,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,soil temp not measured due to standing water,0009-0009-3573-573X,NA,20251217T193621Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
09f5c4c0-4f22-4f06-b5d2-b866674bca85,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,39_400,9,39.5,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-05-16T19:00:00Z,2023-06-12T14:40:00Z,winterSpringTransition,unknown - logistical,DCFS.winterSpringTransition.2023,NA,tFinal,fieldOnly,horizon not present,NA,NA,DCFS_007-O-39-20230612-HORIZON NOT PRESENT,NA,NA,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,O horizon not present,0000-0003-0035-8320,NA,20251217T193621Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
42c807c2-518f-40b7-9d61-e86483b57aa9,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,39_400,9,39.5,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-05-16T20:11:00Z,2023-06-12T14:26:00Z,winterSpringTransition,OK - no known exceptions,DCFS.winterSpringTransition.2023,0,tFinal,fieldOnly,OK,buried bag,buried bag had water,DCFS_007-M-39-20230612,NA,N,M,OK,15.6,2.5,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0009-3573-573X,NA,20251217T193621Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
1fef0155-a2d9-4dee-b180-b0e207a8875d,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,23_400,32.5,4,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-05-16T20:18:00Z,2023-06-12T14:38:00Z,winterSpringTransition,OK - no known exceptions,DCFS.winterSpringTransition.2023,0,tFinal,fieldOnly,OK,buried bag,OK,DCFS_007-M-23-20230612,NA,N,M,OK,17.3,1,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0009-3573-573X,NA,20251217T193621Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
7902a998-b5aa-4039-b231-d167f24690e3,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,21_400,5.5,17,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-07-26T13:07:00Z,2023-08-16T16:33:00Z,peakGreenness,OK - no known exceptions,DCFS.peakGreenness.2023,0,tFinal,fieldOnly,OK,buried bag,OK,DCFS_007-M-21-20230816,NA,N,M,OK,19.3,1.8,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0009-3573-573X,NA,20251217T193556Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
e4265416-69c8-47ce-a9da-f3eedae57669,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,distributed,grasslandHerbaceous,23_400,39,18,WGS84,47.163429,-99.115691,20.2,568.5,0.24,NEON.DOC.004130vE,2023-07-26T13:41:00Z,2023-08-16T16:39:00Z,peakGreenness,OK - no known exceptions,DCFS.peakGreenness.2023,0,tFinal,fieldOnly,OK,buried bag,OK,DCFS_007-M-23-20230816,NA,N,M,OK,18.8,0.5,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0009-3573-573X,NA,20251217T193556Z,RELEASE-2026,DP1.10086.001,DCFS,2023,sls_soilCoreCollection
