uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
a4629791-15a8-4ee8-8fbd-8b690e7ec80c,D05,TREE,TREE_046,TREE_046.basePlot.bgc,2020-07-06T15:53:00Z,2020-07-06T19:12:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_046-M-22-0-20200706|TREE_046-M-36.5-31.5-20200706|TREE_046-M-19-0.5-20200706,TREE_046-M-20200706-COMP,B00000062221,OK,NA,0000-0003-1933-0416,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
34fc04d8-bb4b-4356-970e-930b50d14ea2,D05,TREE,TREE_002,TREE_002.basePlot.bgc,2020-07-06T15:58:00Z,2020-07-06T19:47:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_002-O-9-11.5-20200706|TREE_002-O-7-24-20200706|TREE_002-O-38.5-1-20200706,TREE_002-O-20200706-COMP,B00000062138,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
faae24d8-32db-4df3-84cc-79ed23a6fe48,D05,TREE,TREE_002,TREE_002.basePlot.bgc,2020-07-06T19:15:00Z,2020-07-06T19:51:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_002-M-9-11.5-20200706|TREE_002-M-7-24-20200706,TREE_002-M-20200706-COMP,B00000062137,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
dd8bad9a-8439-4dc0-8a23-e0ad72d0c7b9,D05,TREE,TREE_004,TREE_004.basePlot.bgc,2020-07-08T15:05:00Z,2020-07-08T16:17:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_004-O-38-11.5-20200708|TREE_004-O-9.5-20-20200708|TREE_004-O-32-24.5-20200708,TREE_004-O-20200708-COMP,B00000062160,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
2930f504-571c-4b9c-b1d8-4e95e6f857fb,D05,TREE,TREE_041,TREE_041.basePlot.bgc,2020-07-08T15:25:00Z,2020-07-08T16:42:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_041-M-33.5-34.5-20200708|TREE_041-M-4-4-20200708|TREE_041-M-4.5-26.5-20200708,TREE_041-M-20200708-COMP,B00000062202,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
bffe5251-5a34-454e-ab3f-c81574321cc6,D05,TREE,TREE_001,TREE_001.basePlot.bgc,2020-07-08T15:29:00Z,2020-07-08T16:44:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_001-M-13.5-4-20200708|TREE_001-M-37-28.5-20200708|TREE_001-M-22-9-20200708,TREE_001-M-20200708-COMP,B00000062117,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
22759b61-ffc5-43a1-af76-d1e5d745288a,D05,TREE,TREE_014,TREE_014.basePlot.bgc,2020-07-08T17:44:00Z,2020-07-08T19:30:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_014-M-11-0-20200708|TREE_014-M-14-31.5-20200708|TREE_014-M-30.5-12-20200708,TREE_014-M-20200708-COMP,B00000062190,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
5a76f7a4-05b7-4341-b447-82ad62498fc3,D05,TREE,TREE_006,TREE_006.basePlot.bgc,2020-07-08T17:59:00Z,2020-07-08T19:05:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_006-M-34-0.5-20200708|TREE_006-M-34-21-20200708|TREE_006-M-5.5-4.5-20200708,TREE_006-M-20200708-COMP,B00000062176,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
e913a2d3-23fa-40e2-af15-48d56ecfe2dc,D05,TREE,TREE_050,TREE_050.basePlot.bgc,2020-07-08T18:15:00Z,2020-07-08T19:29:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_050-M-37-26.5-20200708|TREE_050-M-31-12-20200708|TREE_050-M-13.5-8.5-20200708,TREE_050-M-20200708-COMP,B00000062245,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
787ba488-18dd-4450-8ea7-96f4b220eb15,D05,TREE,TREE_003,TREE_003.basePlot.bgc,2020-07-08T20:20:00Z,2020-07-08T21:04:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_003-M-19.5-9.5-20200708|TREE_003-M-35-20.5-20200708|TREE_003-M-35-3.5-20200708,TREE_003-M-20200708-COMP,B00000062145,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
37917cf8-c2b9-45a4-a244-a08a609386dc,D05,TREE,TREE_049,TREE_049.basePlot.bgc,2020-07-08T20:50:00Z,2020-07-08T21:11:00Z,TREE.peakGreenness.2020,NEON.DOC.014048vN,TREE_049-M-27-38-20200708|TREE_049-M-8-14-20200708|TREE_049-M-2-20.5-20200708,TREE_049-M-20200708-COMP,B00000062229,OK,NA,0000-0002-6609-5941,NA,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_metagenomicsPooling
