uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
e43406fa-77af-446c-aada-8801a23b1ddf,D10,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,evergreenForest,41_400,36.5,28,WGS84,40.197386,-105.472276,20.1,2677.6,0.15,NEON.DOC.014048vO,2023-05-22T16:01:00Z,2023-05-22T16:01:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_002-O-41-20230522,A00000254387,N,O,OK,6.2,2,0,4.9,entire,brownie cutter,2,NA,NA,NA,NA,NA,D00000124039,NA,NA,D00000124020,NA,NA,D00000123996,NA,NA,D00000124043,NA,NA,D00000124005,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0001-5295-8649,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
97f6df9c-1eb4-46ab-b285-6599f34e2223,D10,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,evergreenForest,21_400,0.5,4.5,WGS84,40.197386,-105.472276,20.1,2677.6,0.15,NEON.DOC.014048vO,2023-05-22T16:41:00Z,2023-05-22T16:41:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_002-O-21-20230522,A00000254419,N,O,OK,6.7,3.5,0,6.3,entire,brownie cutter,2,NA,NA,NA,NA,NA,D00000123641,NA,NA,D00000123656,NA,NA,D00000123652,NA,NA,D00000123609,NA,NA,D00000123669,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0001-5295-8649,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
262a1503-be04-428f-9d6c-a06038a521da,D10,RMNP,RMNP_002,RMNP_002.basePlot.bgc,distributed,evergreenForest,39_400,9,37,WGS84,40.197386,-105.472276,20.1,2677.6,0.15,NEON.DOC.014048vO,2023-05-22T17:05:00Z,2023-05-22T17:05:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_002-O-39-20230522,A00000254371,N,O,OK,7.1,4.5,0,3.7,entire,brownie cutter,2,NA,NA,NA,NA,NA,D00000123621,NA,NA,D00000123664,NA,NA,D00000123614,NA,NA,D00000123690,NA,NA,D00000123637,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0001-5295-8649,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
d8d2dc27-2a79-4bd7-9832-ce6885ba1fed,D10,RMNP,RMNP_019,RMNP_019.basePlot.bgc,distributed,evergreenForest,21_400,10,7.5,WGS84,40.195931,-105.491303,20.1,2649.7,0.1,NEON.DOC.014048vO,2023-05-22T18:17:00Z,2023-05-22T18:17:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_019-O-21-20230522,A00000254435,N,O,OK,8.8,2.6,0,3.9,entire,brownie cutter,2,NA,NA,NA,NA,NA,D00000123659,NA,NA,D00000123689,NA,NA,D00000123688,NA,NA,D00000123595,NA,NA,D00000123597,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-5795-6850,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
774c984b-cc6e-48c2-a4d1-214d11ca9ac3,D10,RMNP,RMNP_019,RMNP_019.basePlot.bgc,distributed,evergreenForest,39_400,0.5,28,WGS84,40.195931,-105.491303,20.1,2649.7,0.1,NEON.DOC.014048vO,2023-05-22T18:40:00Z,2023-05-22T18:40:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_019-M-39-20230522,A00000254372,N,M,OK,13.7,3,0,23.3,obstruction,auger,3,NA,NA,NA,NA,NA,D00000123636,NA,NA,D00000123624,NA,NA,D00000123670,NA,NA,D00000123626,NA,NA,D00000123616,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-5795-6850,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
4909db57-ef53-47c8-b5b0-63b5ac45163c,D10,RMNP,RMNP_019,RMNP_019.basePlot.bgc,distributed,evergreenForest,41_400,24.5,33,WGS84,40.195931,-105.491303,20.1,2649.7,0.1,NEON.DOC.014048vO,2023-05-22T18:54:00Z,2023-05-22T18:54:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_019-M-41-20230522,A00000254388,N,M,Thin O horizon present,9.9,3.8,0,16.7,obstruction,auger,3,NA,NA,NA,NA,NA,D00000123693,NA,NA,D00000123677,NA,NA,D00000123632,NA,NA,D00000123631,NA,NA,D00000123642,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-5795-6850,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
7eca98b5-c8c6-4e95-a295-fc5c7e559173,D10,RMNP,RMNP_013,RMNP_013.basePlot.bgc,distributed,evergreenForest,21_400,0.5,4.5,WGS84,40.196781,-105.486722,20.1,2645.4,0.1,NEON.DOC.014048vO,2023-05-22T19:26:00Z,2023-05-22T19:26:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_013-M-21-20230522,A00000254451,N,M,OK,11.7,2,0,31,maximum,auger,1,NA,NA,NA,NA,NA,D00000206947,NA,NA,D00000206931,NA,NA,D00000206946,NA,NA,D00000206922,NA,NA,D00000206913,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-5795-6850,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
2d1e5ebd-7530-416f-b483-6b9a00d19acc,D10,RMNP,RMNP_013,RMNP_013.basePlot.bgc,distributed,evergreenForest,39_400,1,22,WGS84,40.196781,-105.486722,20.1,2645.4,0.1,NEON.DOC.014048vO,2023-05-22T19:45:00Z,2023-05-22T19:45:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_013-M-39-20230522,A00000254420,N,M,OK,10.7,0.5,0,30.5,maximum,auger,1,NA,NA,NA,NA,NA,D00000123661,NA,NA,D00000123681,NA,NA,D00000123663,NA,NA,D00000123673,NA,NA,D00000123613,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-5795-6850,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
fa36107f-fc63-4649-932f-bad868336b30,D10,RMNP,RMNP_013,RMNP_013.basePlot.bgc,distributed,evergreenForest,41_400,36.5,28,WGS84,40.196781,-105.486722,20.1,2645.4,0.1,NEON.DOC.014048vO,2023-05-22T20:03:00Z,2023-05-22T20:03:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_013-O-41-20230522,A00000254436,N,O,OK,8.4,2,0,14.8,entire,brownie cutter,1,NA,NA,NA,NA,NA,D00000123650,NA,NA,D00000123606,NA,NA,D00000123625,NA,NA,D00000123658,NA,NA,D00000123599,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-5795-6850,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
e29d299c-9145-4013-9b76-2fdfbe5f3a86,D10,RMNP,RMNP_005,RMNP_005.basePlot.bgc,distributed,evergreenForest,39_400,13.5,32.5,WGS84,40.167943,-105.526306,20.1,2818.6,0.1,NEON.DOC.014048vO,2023-05-24T16:04:00Z,2023-05-24T16:04:00Z,winterSpringTransition,OK - no known exceptions,RMNP.winterSpringTransition.2023,0,No,microbes,OK,no incubation,NA,RMNP_005-O-39-20230524,A00000254404,N,O,OK,7.3,3.5,0,3.5,entire,brownie cutter,2,NA,NA,NA,NA,NA,D00000206939,NA,NA,D00000206940,NA,NA,D00000206869,NA,NA,D00000206944,NA,NA,D00000206936,NA,dry ice,2 mL vial,NA,NA,NA,NA,0000-0002-1017-1124,NA,20251217T193802Z,RELEASE-2026,DP1.10086.001,RMNP,2023,sls_soilCoreCollection
