uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
72c04d21-da26-4928-a387-1d94bbe3daea,D13,NIWO,NIWO_002,NIWO_002.basePlot.bgc,2019-07-29T19:03:00Z,2019-07-29T21:38:00Z,NA,NEON.DOC.014048vL,NIWO_002-M-31.5-37-20190729|NIWO_002-M-8-38.5-20190729|NIWO_002-M-16-1.5-20190729,NIWO_002-M-20190729-COMP,B00000012542,OK,NA,NA,NA,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
22320980-b4e6-4848-8d1c-f7cc9c7d5f7f,D13,NIWO,NIWO_002,NIWO_002.basePlot.bgc,2019-07-29T19:58:00Z,2019-07-29T21:12:00Z,NA,NEON.DOC.014048vL,NIWO_002-O-8-38.5-20190729|NIWO_002-O-31.5-37-20190729,NIWO_002-O-20190729-COMP,B00000012538,OK,NA,NA,NA,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
534af762-7d72-499c-aee3-771739aa8ed8,D13,NIWO,NIWO_004,NIWO_004.basePlot.bgc,2019-07-31T16:12:00Z,2019-07-31T17:01:00Z,NA,NEON.DOC.014048vL,NIWO_004-O-18.5-31.5-20190731|NIWO_004-O-37.5-32.5-20190731,NIWO_004-O-20190731-COMP,B00000012544,OK,NA,NA,NA,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
77eda2ac-b166-411d-b33a-cb222704c5cf,D13,NIWO,NIWO_004,NIWO_004.basePlot.bgc,2019-07-31T16:29:00Z,2019-07-31T17:47:00Z,NA,NEON.DOC.014048vL,NIWO_004-M-37.5-32.5-20190731|NIWO_004-M-18.5-31.5-20190731|NIWO_004-M-20.5-6.5-20190731,NIWO_004-M-20190731-COMP,B00000012526,OK,NA,NA,NA,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
344ec417-f625-4d3a-9dea-a873a4d0309c,D13,NIWO,NIWO_006,NIWO_006.basePlot.bgc,2019-07-31T16:49:00Z,2019-07-31T17:53:00Z,NA,NEON.DOC.014048vL,NIWO_006-M-22-36-20190731|NIWO_006-M-17-4.5-20190731|NIWO_006-M-36-11.5-20190731,NIWO_006-M-20190731-COMP,B00000012545,OK,NA,NA,NA,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
a73c4e59-0b1e-468f-a8bc-552cbf6800e4,D13,NIWO,NIWO_003,NIWO_003.basePlot.bgc,2019-07-31T19:01:00Z,2019-07-31T19:52:00Z,NA,NEON.DOC.014048vL,NIWO_003-M-33.5-16-20190731|NIWO_003-M-0.5-25.5-20190731|NIWO_003-M-32.5-36.5-20190731,NIWO_003-M-20190731-COMP,B00000012531,OK,NA,NA,NA,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
c5715918-1700-478e-a872-7b36dcacf5d9,D13,NIWO,NIWO_005,NIWO_005.basePlot.bgc,2019-07-31T19:26:00Z,2019-07-31T20:36:00Z,NA,NEON.DOC.014048vL,NIWO_005-M-24-32.5-20190731|NIWO_005-M-12.5-0.5-20190731|NIWO_005-M-4.5-23-20190731,NIWO_005-M-20190731-COMP,B00000012556,OK,NA,NA,NA,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
12f301f2-37e6-4ee8-a73d-a973a7c9ad29,D13,NIWO,NIWO_005,NIWO_005.basePlot.bgc,2019-07-31T19:52:00Z,2019-07-31T19:52:00Z,NA,NEON.DOC.014048vL,NIWO_005-O-24-32.5-20190731,NIWO_005-O-20190731-COMP,B00000012559,OK,NA,NA,NA,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
343c8e7f-4df6-4942-8460-d88bd0b5fe60,D13,NIWO,NIWO_043,NIWO_043.basePlot.bgc,2019-08-05T16:25:00Z,2019-08-05T17:26:00Z,NA,NEON.DOC.014048vL,NIWO_043-M-5-34.5-20190805|NIWO_043-M-10-1.5-20190805|NIWO_043-M-27.5-3.5-20190805,NIWO_043-M-20190805-COMP,B00000011402,OK,NA,NA,NA,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
645ec834-385f-4ba2-bf3c-d3fff8f0dfff,D13,NIWO,NIWO_041,NIWO_041.basePlot.bgc,2019-08-05T18:26:00Z,2019-08-05T19:18:00Z,NA,NEON.DOC.014048vL,NIWO_041-M-5.5-11-20190805|NIWO_041-M-38.5-28.5-20190805|NIWO_041-M-4-31.5-20190805,NIWO_041-M-20190805-COMP,B00000011363,OK,NA,NA,NA,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
b8612552-bb18-4954-9f1a-615401659668,D13,NIWO,NIWO_042,NIWO_042.basePlot.bgc,2019-08-05T20:15:00Z,2019-08-05T21:13:00Z,NA,NEON.DOC.014048vL,NIWO_042-M-39-11-20190805|NIWO_042-M-19-5.5-20190805|NIWO_042-M-32.5-31-20190805,NIWO_042-M-20190805-COMP,B00000011520,OK,NA,NA,NA,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
0af5c849-9c75-4295-8318-83a64fb54447,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2019-08-07T16:40:00Z,2019-08-07T18:19:00Z,NA,NEON.DOC.014048vL,NIWO_040-O-24.5-37-20190807|NIWO_040-O-1.5-25.5-20190807|NIWO_040-O-37-6.5-20190807,NIWO_040-O-20190807-COMP,B00000012253,OK,NA,NA,NA,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
26af2a94-7081-47a6-9aa7-86d985c0c0c0,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2019-08-07T16:55:00Z,2019-08-07T18:30:00Z,NA,NEON.DOC.014048vL,NIWO_040-M-37-6.5-20190807|NIWO_040-M-24.5-37-20190807|NIWO_040-M-1.5-25.5-20190807,NIWO_040-M-20190807-COMP,B00000011376,OK,NA,NA,NA,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
9f9cbec0-4809-4d31-9da9-7c6940d47048,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-08-07T20:35:00Z,2019-08-07T22:05:00Z,NA,NEON.DOC.014048vL,NIWO_001-O-34.5-6-20190807|NIWO_001-O-0.5-24.5-20190807,NIWO_001-O-20190807-COMP,B00000012157,OK,NA,NA,NA,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
aa0c310e-be2c-4c66-aab0-92f8ad53ca87,D13,NIWO,NIWO_001,NIWO_001.basePlot.bgc,2019-08-07T21:00:00Z,2019-08-07T21:24:00Z,NA,NEON.DOC.014048vL,NIWO_001-M-30-27.5-20190807|NIWO_001-M-0.5-24.5-20190807,NIWO_001-M-20190807-COMP,B00000011304,OK,NA,NA,NA,NA,20251217T194056Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_metagenomicsPooling
