uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
b8748ed2-7b66-4a19-ab8d-7be16ca7e11f,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,21_400,13,8,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-03-30T21:09:00Z,2021-03-30T21:09:00Z,winterSpringTransition,OK - no known exceptions,ONAQ.winterSpringTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,ONAQ_043-M-13-8-20210330,A00000281139,N,M,OK,5.4,0,0,30,maximum,auger,1,ONAQ_043-M-13-8-20210330-GEN,B00000014546,OK,NA,ONAQ_043-M-13-8-20210330-GA1,C00000045202,NA,ONAQ_043-M-13-8-20210330-GA2,C00000045207,NA,ONAQ_043-M-13-8-20210330-GA3,C00000045230,NA,ONAQ_043-M-13-8-20210330-GA4,C00000045058,NA,ONAQ_043-M-13-8-20210330-GA5,C00000045197,NA,NA,NA,ONAQ_043-M-13-8-20210330-BM,B00000014811,OK,NA,0000-0001-6846-5179,NA,20251217T193759Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
04b9b9b7-3df5-48e3-9007-221be7f87567,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,23_400,34.5,17,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-03-30T21:24:00Z,2021-03-30T21:24:00Z,winterSpringTransition,OK - no known exceptions,ONAQ.winterSpringTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,ONAQ_043-M-34.5-17-20210330,A00000281140,N,M,OK,7.8,0,0,30,maximum,auger,1,ONAQ_043-M-34.5-17-20210330-GEN,B00000014544,OK,NA,ONAQ_043-M-34.5-17-20210330-GA1,C00000045200,NA,ONAQ_043-M-34.5-17-20210330-GA2,C00000044882,NA,ONAQ_043-M-34.5-17-20210330-GA3,C00000045199,NA,ONAQ_043-M-34.5-17-20210330-GA4,C00000045241,NA,ONAQ_043-M-34.5-17-20210330-GA5,C00000045049,NA,NA,NA,ONAQ_043-M-34.5-17-20210330-BM,B00000014809,OK,NA,0000-0001-6846-5179,NA,20251217T193759Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
01f8efb4-d5e9-4fe1-ad6b-23ba4ed724e1,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,41_400,38,39,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-03-30T21:36:00Z,2021-03-30T21:36:00Z,winterSpringTransition,OK - no known exceptions,ONAQ.winterSpringTransition.2021,0,tInitial,microbesBiomass,OK,no incubation,NA,ONAQ_043-M-38-39-20210330,A00000281141,N,M,OK,8,0,0,30,maximum,auger,1,ONAQ_043-M-38-39-20210330-GEN,B00000014545,OK,NA,ONAQ_043-M-38-39-20210330-GA1,C00000045206,NA,ONAQ_043-M-38-39-20210330-GA2,C00000045211,NA,ONAQ_043-M-38-39-20210330-GA3,C00000045059,NA,ONAQ_043-M-38-39-20210330-GA4,C00000045193,NA,ONAQ_043-M-38-39-20210330-GA5,C00000045047,NA,NA,NA,ONAQ_043-M-38-39-20210330-BM,B00000014813,OK,NA,0000-0001-6846-5179,NA,20251217T193759Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
f2765613-4f0a-4acf-ac84-fd5e810243d0,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,23_400,30,15,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-05-25T21:23:00Z,2021-05-25T21:23:00Z,peakGreenness,OK - no known exceptions,ONAQ.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,ONAQ_043-M-30-15-20210525,A00000281760,N,M,OK,17,0,0,30,maximum,auger,1,ONAQ_043-M-30-15-20210525-GEN,B00000015015,OK,NA,NA,C00000045571,NA,NA,C00000045579,NA,NA,C00000045572,NA,NA,C00000045575,NA,NA,C00000045576,NA,NA,NA,ONAQ_043-M-30-15-20210525-BM,B00000115839,OK,NA,0000-0003-1904-3337,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
69afd0b8-eaa0-4e2c-95a5-dc272ffb404f,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,41_400,34,38.5,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-05-25T21:34:00Z,2021-05-25T21:34:00Z,peakGreenness,OK - no known exceptions,ONAQ.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,ONAQ_043-M-34-38.5-20210525,A00000281762,N,M,OK,13,0,0,30,maximum,auger,1,ONAQ_043-M-34-38.5-20210525-GEN,B00000015016,OK,NA,NA,C00000045578,NA,NA,C00000045577,NA,NA,C00000045573,NA,NA,C00000045574,NA,NA,C00000045569,NA,NA,NA,ONAQ_043-M-34-38.5-20210525-BM,B00000115838,OK,NA,0000-0003-1904-3337,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
382e4da2-43a1-46e8-b368-cb43994361e1,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,39_400,1,24,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-05-25T21:45:00Z,2021-05-25T21:45:00Z,peakGreenness,OK - no known exceptions,ONAQ.peakGreenness.2021,0,tInitial,microbesBiomassBGC,OK,no incubation,NA,ONAQ_043-M-1-24-20210525,A00000281761,N,M,OK,15.9,0,0,30,maximum,auger,1,ONAQ_043-M-1-24-20210525-GEN,B00000015027,OK,NA,NA,C00000045568,NA,NA,C00000045570,NA,NA,C00000045566,NA,NA,C00000045565,NA,NA,C00000045567,NA,NA,NA,ONAQ_043-M-1-24-20210525-BM,B00000115837,OK,NA,0000-0003-1904-3337,NA,20251217T193818Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
cac42134-7704-4703-af53-a1dd44c7c64b,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,21_400,13,8,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-03-30T21:09:00Z,2021-04-17T17:17:00Z,winterSpringTransition,OK - no known exceptions,ONAQ.winterSpringTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,ONAQ_043-M-13-8-20210417,A00000281703,N,M,OK,3.6,0,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7105-1986,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
ea09420b-b246-41c6-83f5-8a8a18885c8b,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,23_400,34.5,17,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-03-30T21:24:00Z,2021-04-17T17:21:00Z,winterSpringTransition,OK - no known exceptions,ONAQ.winterSpringTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,ONAQ_043-M-34.5-17-20210417,A00000281700,N,M,OK,4.1,0.5,0,29,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7105-1986,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
1cf02c4b-3eb8-4add-a776-40aa69935322,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,41_400,38,39,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-03-30T21:36:00Z,2021-04-17T17:09:00Z,winterSpringTransition,OK - no known exceptions,ONAQ.winterSpringTransition.2021,0,tFinal,fieldOnly,OK,covered core,OK,ONAQ_043-M-38-39-20210417,A00000281704,N,M,OK,3.2,0,0,30,maximum,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-7105-1986,NA,20251217T193831Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
f7ce09df-8198-4613-9787-9eeb27cdfbe7,D15,ONAQ,ONAQ_043,ONAQ_043.basePlot.bgc,tower,shrubScrub,23_400,30,15,WGS84,40.17372,-112.456712,20.1,1658,0.11,NEON.DOC.014048vN,2021-05-25T21:23:00Z,2021-06-15T20:12:00Z,peakGreenness,OK - no known exceptions,ONAQ.peakGreenness.2021,0,tFinal,fieldOnly,OK,covered core,OK,ONAQ_043-M-30-15-20210615,A00000282229,N,M,OK,25.6,0,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-1904-3337,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,ONAQ,2021,sls_soilCoreCollection
