uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
72b06f1b-25fb-4f80-b77b-f3c022dd87a6,D01,BART,BART_040,BART_040.basePlot.bgc,2022-06-06T13:13:00Z,2022-06-06T15:12:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_040-M-41-20220606|BART_040-M-21-20220606|BART_040-M-23-20220606,BART_040-M-20220606-COMP,B00000068760,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
5b5fb5ef-310b-4dc8-8ff4-3689cc636d74,D01,BART,BART_040,BART_040.basePlot.bgc,2022-06-06T13:13:00Z,2022-06-06T15:12:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_040-O-41-20220606|BART_040-O-21-20220606|BART_040-O-23-20220606,BART_040-O-20220606-COMP,B00000068761,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
3c5c4aef-2eb6-4078-9c2a-3eee7217d3d9,D01,BART,BART_071,BART_071.basePlot.bgc,2022-06-06T13:25:00Z,2022-06-06T15:09:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_071-M-39-20220606|BART_071-M-23-20220606|BART_071-M-41-20220606,BART_071-M-20220606-COMP,B00000068756,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
56f12a79-171c-4d64-9b37-c32a18b2f5c0,D01,BART,BART_071,BART_071.basePlot.bgc,2022-06-06T13:25:00Z,2022-06-06T15:09:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_071-O-23-20220606|BART_071-O-41-20220606|BART_071-O-39-20220606,BART_071-O-20220606-COMP,B00000068757,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
3a814b0f-ccf5-4f30-9fa3-3167aa560091,D01,BART,BART_036,BART_036.basePlot.bgc,2022-06-06T16:32:00Z,2022-06-06T17:40:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_036-O-39-20220606|BART_036-O-41-20220606|BART_036-O-23-20220606,BART_036-O-20220606-COMP,B00000068763,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
677f9fc2-3817-49e6-9350-3e707a8a9105,D01,BART,BART_036,BART_036.basePlot.bgc,2022-06-06T16:32:00Z,2022-06-06T17:40:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_036-M-39-20220606|BART_036-M-23-20220606|BART_036-M-41-20220606,BART_036-M-20220606-COMP,B00000068762,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
c6f9cc4e-7816-4b14-abb5-2fc7ea19a8f4,D01,BART,BART_042,BART_042.basePlot.bgc,2022-06-06T16:56:00Z,2022-06-06T18:32:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_042-O-39-20220606|BART_042-O-21-20220606|BART_042-O-41-20220606,BART_042-O-20220606-COMP,B00000068759,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
3bd1e5cf-5f2e-4257-8f7c-7a1c1b969da3,D01,BART,BART_042,BART_042.basePlot.bgc,2022-06-06T16:56:00Z,2022-06-06T18:32:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_042-M-41-20220606|BART_042-M-21-20220606|BART_042-M-39-20220606,BART_042-M-20220606-COMP,B00000068758,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
d699129a-87c1-4ae6-b0d7-9faf82d066cd,D01,BART,BART_023,BART_023.basePlot.bgc,2022-06-07T13:23:00Z,2022-06-07T14:47:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_023-M-39-20220607|BART_023-M-23-20220607|BART_023-M-41-20220607,BART_023-M-20220607-COMP,B00000068765,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
55c8cd41-ec2f-458d-a004-4f5f0eb15fbb,D01,BART,BART_023,BART_023.basePlot.bgc,2022-06-07T13:23:00Z,2022-06-07T14:47:00Z,BART.peakGreenness.2022,NEON.DOC.014048vO,BART_023-O-41-20220607|BART_023-O-39-20220607|BART_023-O-23-20220607,BART_023-O-20220607-COMP,B00000068764,OK,NA,0000-0003-1265-2180,NA,NA,20251217T193428Z,RELEASE-2026,DP1.10086.001,BART,2022,sls_metagenomicsPooling
