uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
d530d304-09d7-46f9-b63d-c4afb1375836,D01,HARV,HARV_002,HARV_002.basePlot.bgc,distributed,deciduousForest,41_400,NA,NA,WGS84,42.478565,-72.259572,20.1,193.6,0.14,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_002-41-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
b1dc8c36-3182-4641-9ad2-c07bd94e13b1,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,41_400,NA,NA,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_034-41-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
6bc43e77-5108-4af1-a6b5-255b6e334569,D01,HARV,HARV_001,HARV_001.basePlot.bgc,distributed,deciduousForest,23_400,NA,NA,WGS84,42.424246,-72.258285,20.1,190,0.17,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_001-23-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
0af6af1f-ec68-46f3-843b-bcc17d4a4897,D01,HARV,HARV_021,HARV_021.basePlot.bgc,distributed,evergreenForest,21_400,NA,NA,WGS84,42.45243,-72.250472,20.1,175.1,0.1,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_021-21-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
879f7c02-2f5b-4d8b-a8d2-0fbff9add3be,D01,HARV,HARV_037,HARV_037.basePlot.bgc,tower,evergreenForest,23_400,NA,NA,WGS84,42.537308,-72.179312,20.1,361.9,0.17,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_037-23-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
3cc843c1-7716-4706-a4fc-a17db984da49,D01,HARV,HARV_033,HARV_033.basePlot.bgc,tower,deciduousForest,23_400,NA,NA,WGS84,42.538302,-72.175607,20.2,358.8,0.22,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_033-23-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
3f6558df-5385-4b73-a5d1-4b76c819db52,D01,HARV,HARV_037,HARV_037.basePlot.bgc,tower,evergreenForest,39_400,NA,NA,WGS84,42.537308,-72.179312,20.1,361.9,0.17,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_037-39-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
5934f9e9-ae17-4ace-a76a-11a8b846c6bd,D01,HARV,HARV_005,HARV_005.basePlot.bgc,distributed,deciduousForest,41_400,NA,NA,WGS84,42.489469,-72.275158,20.1,189.8,0.3,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_005-41-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
0fc08d21-499a-4c4d-ba0a-99d6432550b4,D01,HARV,HARV_004,HARV_004.basePlot.bgc,distributed,mixedForest,21_400,NA,NA,WGS84,42.427091,-72.229737,20.2,199.7,0.18,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_004-21-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
9c019840-8fd3-486b-ada0-0147128adb57,D01,HARV,HARV_034,HARV_034.basePlot.bgc,tower,evergreenForest,21_400,NA,NA,WGS84,42.535686,-72.177968,20.3,372.1,0.37,NEON.DOC.014048vM,2020-04-20T12:00:00Z,2020-04-20T12:00:00Z,winterSpringTransition,NA,HARV.winterSpringTransition.2020,NA,No,microbesBiomass,logistical,NA,NA,HARV_034-21-20200420-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COVID19,0000-0003-3463-8507,NA,20251217T193744Z,RELEASE-2026,DP1.10086.001,HARV,2020,sls_soilCoreCollection
