uid,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,samplingProtocolVersion,sampleID,sampleCode,kclSampleID,kclSampleCode,incubationPairID,nTransBoutType,incubationLength,extractionStartDate,kclReferenceID,soilFreshMass,kclVolume,extractionEndDate,sampleCondition,remarks,processedBy,recordedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
139ffdc3-6f60-4cac-92d0-33eaa7df23aa,SJER_001.basePlot.bgc,D17,SJER,SJER_001,distributed,2024-02-19T17:38:00Z,2024-02-19T17:38:00Z,NEON.DOC.014048vP,SJER_001-M-23-20240219,A00000395690,SJER_001-M-23-20240219-KCL,B00000125338,SJER_001-M-23-peakGreenness-2023-2024,tInitial,0,2024-02-20T21:53:00Z,SJER-20240220-BREF1,10.18,100,2024-02-21T00:00:00Z,OK,NA,0009-0004-9949-1731,0000-0002-4748-8985,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
61c5b526-2556-41fe-866d-9ade5c0be4d1,SJER_001.basePlot.bgc,D17,SJER,SJER_001,distributed,2024-02-19T18:03:00Z,2024-02-19T18:03:00Z,NEON.DOC.014048vP,SJER_001-M-41-20240219,A00000395691,SJER_001-M-41-20240219-KCL,B00000125336,SJER_001-M-41-peakGreenness-2023-2024,tInitial,0,2024-02-20T21:57:00Z,SJER-20240220-BREF1,10.07,100,2024-02-21T00:00:00Z,OK,NA,0009-0004-9949-1731,0000-0002-4748-8985,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
9fee15ab-62b7-469c-b6bc-593e29f28740,SJER_001.basePlot.bgc,D17,SJER,SJER_001,distributed,2024-02-19T18:26:00Z,2024-02-19T18:26:00Z,NEON.DOC.014048vP,SJER_001-M-39-20240219,A00000395692,SJER_001-M-39-20240219-KCL,B00000125337,SJER_001-M-39-peakGreenness-2023-2024,tInitial,0,2024-02-20T21:56:00Z,SJER-20240220-BREF1,10.45,100,2024-02-21T00:00:00Z,OK,NA,0009-0004-9949-1731,0000-0002-4748-8985,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
c8944368-bfb5-4e71-b1bf-46c79f06a87d,SJER_045.basePlot.bgc,D17,SJER,SJER_045,tower,2024-02-19T19:36:00Z,2024-02-19T19:36:00Z,NEON.DOC.014048vP,SJER_045-M-21-20240219,A00000395695,SJER_045-M-21-20240219-KCL,B00000125330,SJER_045-M-21-peakGreenness-2023-2024,tInitial,0,2024-02-20T21:59:00Z,SJER-20240220-BREF1,10.26,100,2024-02-21T00:00:00Z,OK,NA,0009-0004-9949-1731,0000-0002-4748-8985,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
3cfd28e3-fd77-4ef2-9e76-44bf0b0a19ca,SJER_045.basePlot.bgc,D17,SJER,SJER_045,tower,2024-02-19T19:52:00Z,2024-02-19T19:52:00Z,NEON.DOC.014048vP,SJER_045-M-39-20240219,A00000395696,SJER_045-M-39-20240219-KCL,B00000125331,SJER_045-M-39-peakGreenness-2023-2024,tInitial,0,2024-02-20T22:02:00Z,SJER-20240220-BREF1,10.23,100,2024-02-21T00:00:00Z,OK,NA,0009-0004-9949-1731,0000-0002-4748-8985,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
240b4145-2b41-4b06-9f51-566b911c1177,SJER_045.basePlot.bgc,D17,SJER,SJER_045,tower,2024-02-19T20:15:00Z,2024-02-19T20:15:00Z,NEON.DOC.014048vP,SJER_045-M-23-20240219,A00000395697,SJER_045-M-23-20240219-KCL,B00000125335,SJER_045-M-23-peakGreenness-2023-2024,tInitial,0,2024-02-20T22:00:00Z,SJER-20240220-BREF1,10.13,100,2024-02-21T00:00:00Z,OK,NA,0009-0004-9949-1731,0000-0002-4748-8985,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
1cf8aeb0-4509-4614-b783-bac1bf1181e5,SJER_046.basePlot.bgc,D17,SJER,SJER_046,tower,2024-02-19T21:37:00Z,2024-02-19T21:37:00Z,NEON.DOC.014048vP,SJER_046-M-23-20240219,A00000395698,SJER_046-M-23-20240219-KCL,B00000125334,SJER_046-M-23-peakGreenness-2023-2024,tInitial,0,2024-02-20T22:04:00Z,SJER-20240220-BREF1,10.21,100,2024-02-21T00:00:00Z,OK,NA,0009-0004-9949-1731,0000-0002-4748-8985,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
65f74f78-3aae-461d-9ab8-95afd1396e34,SJER_046.basePlot.bgc,D17,SJER,SJER_046,tower,2024-02-19T21:51:00Z,2024-02-19T21:51:00Z,NEON.DOC.014048vP,SJER_046-M-41-20240219,A00000395699,SJER_046-M-41-20240219-KCL,B00000125333,SJER_046-M-41-peakGreenness-2023-2024,tInitial,0,2024-02-20T22:06:00Z,SJER-20240220-BREF1,10.18,100,2024-02-21T00:00:00Z,OK,NA,0009-0004-9949-1731,0000-0002-4748-8985,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
ed1939f1-52a7-43f7-9123-c8f1d27d69a2,SJER_046.basePlot.bgc,D17,SJER,SJER_046,tower,2024-02-19T22:09:00Z,2024-02-19T22:09:00Z,NEON.DOC.014048vP,SJER_046-M-21-20240219,A00000395700,SJER_046-M-21-20240219-KCL,B00000125332,SJER_046-M-21-peakGreenness-2023-2024,tInitial,0,2024-02-20T22:03:00Z,SJER-20240220-BREF1,10.26,100,2024-02-21T00:00:00Z,OK,NA,0009-0004-9949-1731,0000-0002-4748-8985,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
7d539971-735f-4ccd-b98c-4797e8e9fccc,SJER_002.basePlot.bgc,D17,SJER,SJER_002,distributed,2024-02-20T17:16:00Z,2024-02-20T17:16:00Z,NEON.DOC.014048vP,SJER_002-M-41-20240220,A00000395687,SJER_002-M-41-20240220-KCL,B00000125329,SJER_002-M-41-peakGreenness-2023-2024,tInitial,0,2024-02-21T18:23:00Z,SJER-20240221-BREF1,10.04,100,2024-02-21T21:00:00Z,OK,NA,0009-0009-7975-9872,0009-0004-9671-061X,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_internalLab
