uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
ba5c9793-0ab4-4cc7-b15a-ebb2db313330,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,21_400,17.5,6.5,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-04-21T14:36:00Z,2022-04-21T14:36:00Z,winterSpringTransition,OK - no known exceptions,KONZ.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,KONZ_005-M-21-20220421,A00000318639,N,M,OK,10.5,1,0,31,maximum,auger,1,KONZ_005-M-21-20220421-GEN,B00000083194,OK,dry ice,NA,C00000075190,NA,NA,C00000075191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,KONZ_005-M-21-20220421-BM,B00000084830,OK,NA,0000-0003-2918-8281,NA,20251217T193614Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
f9189ce6-f525-49df-b52c-c9ffd3cefb03,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,23_400,38,12,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-04-21T15:17:00Z,2022-04-21T15:17:00Z,winterSpringTransition,OK - no known exceptions,KONZ.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,KONZ_005-M-23-20220421,A00000318640,N,M,OK,10.9,0,0,25,obstruction,auger,1,KONZ_005-M-23-20220421-GEN,B00000083195,OK,dry ice,NA,C00000075192,NA,NA,C00000075193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,KONZ_005-M-23-20220421-BM,B00000084831,OK,NA,0000-0003-2918-8281,NA,20251217T193614Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
5fc0d909-3850-4860-b4c4-73361c85bbdd,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,41_400,35.5,32,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-04-21T15:51:00Z,2022-04-21T15:51:00Z,winterSpringTransition,OK - no known exceptions,KONZ.winterSpringTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,KONZ_005-M-41-20220421,A00000318638,N,M,OK,11.3,0.5,0,33,maximum,auger,1,KONZ_005-M-41-20220421-GEN,B00000017170,OK,dry ice,NA,C00000075194,NA,NA,C00000075195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry ice,NA,KONZ_005-M-41-20220421-BM,B00000084829,OK,NA,0000-0003-2918-8281,NA,20251217T193614Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
0435c17b-e1b9-4d04-b8ad-1e5a25b6c0a2,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,21_400,17.5,6.5,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-04-21T14:36:00Z,2022-05-10T15:31:00Z,winterSpringTransition,OK - no known exceptions,KONZ.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,borehole had water,KONZ_005-M-21-20220510,A00000319234,N,M,OK,19.7,4,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-2918-8281,NA,20251217T193835Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
e049edd5-86f1-44b8-bd2e-244e71970554,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,23_400,38,12,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-04-21T15:17:00Z,2022-05-10T15:38:00Z,winterSpringTransition,OK - no known exceptions,KONZ.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,KONZ_005-M-23-20220510,A00000319250,N,M,OK,21.1,0,0,30,maximum,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-2918-8281,NA,20251217T193835Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
5a2bfab9-58a2-410a-a9cf-1307971590a2,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,41_400,35.5,32,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-04-21T15:51:00Z,2022-05-10T15:42:00Z,winterSpringTransition,OK - no known exceptions,KONZ.winterSpringTransition.2022,0,tFinal,fieldOnly,OK,covered core,OK,KONZ_005-M-41-20220510,A00000319218,N,M,OK,20.4,0.5,0,28,obstruction,PVC tube,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-2918-8281,NA,20251217T193835Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
934a7a38-392a-4ba7-bc49-b3b315eea521,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,39_400,NA,NA,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-07-13T13:00:00Z,2022-07-13T13:00:00Z,peakGreenness,unknown - logistical,KONZ.peakGreenness.2022,NA,tInitial,microbesBiomassBGC,logistical,NA,NA,KONZ_005-39-20220713-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limited resources,0000-0003-2918-8281,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
cb6b3b29-1d48-418f-bc57-1253d50df2b7,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,23_400,NA,NA,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-07-13T13:00:00Z,2022-07-13T13:00:00Z,peakGreenness,unknown - logistical,KONZ.peakGreenness.2022,NA,tInitial,microbesBiomassBGC,logistical,NA,NA,KONZ_005-23-20220713-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limited resources,0000-0003-2918-8281,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
2901614e-c4c1-49f5-ab70-7f84448fe20e,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,21_400,NA,NA,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-07-13T13:00:00Z,2022-07-13T13:00:00Z,peakGreenness,unknown - logistical,KONZ.peakGreenness.2022,NA,tInitial,microbesBiomassBGC,logistical,NA,NA,KONZ_005-21-20220713-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,limited resources,0000-0003-2918-8281,NA,20251217T193901Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
084971d9-5cc0-4cec-8240-3e81a40e0f05,D06,KONZ,KONZ_005,KONZ_005.basePlot.bgc,distributed,grasslandHerbaceous,23_400,27,2,WGS84,39.082563,-96.566704,20.1,424,0.19,NEON.DOC.014048vO,2022-10-19T16:23:00Z,2022-10-19T16:23:00Z,fallWinterTransition,OK - no known exceptions,KONZ.fallWinterTransition.2022,0,tInitial,microbesBiomass,OK,no incubation,NA,KONZ_005-M-23-20221019,A00000348811,N,M,OK,6.2,0.5,0,21,obstruction,auger,1,KONZ_005-M-23-20221019-GEN,B00000083270,OK,dry ice,NA,D00000156264,NA,NA,D00000156243,NA,NA,D00000156258,NA,NA,D00000156267,NA,NA,D00000156235,NA,dry ice,2 mL vial,KONZ_005-M-23-20221019-BM,B00000085022,OK,NA,0000-0002-2112-9159,NA,20251217T194028Z,RELEASE-2026,DP1.10086.001,KONZ,2022,sls_soilCoreCollection
