uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
22e39ebe-e869-48eb-89d9-bb604aad47ed,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,41_400,34,29.5,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-07-11T11:51:00Z,2023-07-11T11:51:00Z,dryWetTransition,conditions not met,LAJA.dryWetTransition.2023-2024,0,No,microbes,OK,no incubation,NA,LAJA_015-M-41-20230711,A00000199347,N,M,OK,28.2,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,D00000220175,NA,NA,D00000220182,NA,NA,D00000220185,NA,NA,D00000220159,NA,NA,D00000220201,NA,dry ice,2 mL vial,NA,NA,NA,Wet season initialized before sampling,0000-0001-8629-4086,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
5cad0723-969a-4f59-abaf-cd97db6ad031,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,39_400,17.5,30,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-07-11T11:54:00Z,2023-07-11T11:54:00Z,dryWetTransition,conditions not met,LAJA.dryWetTransition.2023-2024,0,No,microbes,OK,no incubation,NA,LAJA_015-M-39-20230711,A00000199267,N,M,OK,27.7,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,D00000220202,NA,NA,D00000220198,NA,NA,D00000220191,NA,NA,D00000220200,NA,NA,D00000220199,NA,dry ice,2 mL vial,NA,NA,NA,Wet season initialized before sampling,0000-0001-8629-4086,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
fa9ef5ea-0fe1-47a6-a0f7-ddd74fa0369b,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,23_400,31.5,0,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-07-11T12:06:00Z,2023-07-11T12:06:00Z,dryWetTransition,conditions not met,LAJA.dryWetTransition.2023-2024,0,No,microbes,OK,no incubation,NA,LAJA_015-M-23-20230711,A00000199331,N,M,OK,28.2,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,D00000220193,NA,NA,D00000220190,NA,NA,D00000220192,NA,NA,D00000220189,NA,NA,D00000220187,NA,dry ice,2 mL vial,NA,NA,NA,Wet season initialized before sampling,0000-0001-8629-4086,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
8680093a-4b6b-46d7-a934-cc75b7794898,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,23_400,NA,NA,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-02-07T15:55:00Z,2023-02-07T15:55:00Z,wetDryTransition,OK - no known exceptions,LAJA.wetDryTransition.2022-2023,NA,No,microbes,logistical,NA,NA,LAJA_015-23-20230207-LOGISTICAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sampling location inaccessible due farming practices,0000-0002-4067-8225,NA,20251217T193910Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
16b28689-cc27-4016-ab89-dd0d48225d7c,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,21_400,9,0.5,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-02-07T16:00:00Z,2023-02-07T16:00:00Z,wetDryTransition,OK - no known exceptions,LAJA.wetDryTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_015-M-21-20230207,A00000196437,N,M,OK,20.8,0,0,16,obstruction,auger,1,NA,NA,NA,NA,NA,D00000016613,NA,NA,D00000016552,NA,NA,D00000016611,NA,NA,D00000016553,NA,NA,D00000016555,NA,dry ice,2 mL vial,NA,NA,NA,rock obstruction,0000-0002-4067-8225,NA,20251217T193910Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
5fde5f69-b29c-4348-8185-94715ad358d0,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,39_400,0,34.5,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-02-07T16:09:00Z,2023-02-07T16:09:00Z,wetDryTransition,OK - no known exceptions,LAJA.wetDryTransition.2022-2023,0,No,microbes,OK,no incubation,NA,LAJA_015-M-39-20230207,A00000196438,N,M,OK,21.6,0,0,20,obstruction,auger,1,NA,NA,NA,NA,NA,D00000016667,NA,NA,D00000016662,NA,NA,D00000016625,NA,NA,D00000016666,NA,NA,D00000016612,NA,dry ice,2 mL vial,NA,NA,NA,rock obstruction,0000-0002-4067-8225,NA,20251217T193910Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
e2a5f4ca-9ad3-4f87-a74e-59d33513f263,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,39_400,15,36.5,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-10-24T15:30:00Z,2023-10-24T15:30:00Z,peakGreenness,OK - no known exceptions,LAJA.peakGreenness.2023-2024,0,No,microbes,OK,no incubation,NA,LAJA_015-M-39-20231024,A00000199827,N,M,OK,31.9,2,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000020951,NA,NA,C00000066354,NA,NA,C00000066410,NA,NA,C00000066102,NA,NA,C00000066371,NA,dry ice,5 mL vial,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193611Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
de43c038-2c8a-4ad2-b8ed-15f48624e540,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,41_400,30.5,36.5,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-10-24T15:42:00Z,2023-10-24T15:42:00Z,peakGreenness,OK - no known exceptions,LAJA.peakGreenness.2023-2024,0,No,microbes,OK,no incubation,NA,LAJA_015-M-41-20231024,A00000199828,N,M,OK,28.1,0,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000068651,NA,NA,C00000068652,NA,NA,C00000068659,NA,NA,C00000068656,NA,NA,C00000068653,NA,dry ice,5 mL vial,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193611Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
ead7ebd8-3e9c-4add-931c-de9d402de714,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,21_400,19,4,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-10-24T15:53:00Z,2023-10-24T15:53:00Z,peakGreenness,OK - no known exceptions,LAJA.peakGreenness.2023-2024,0,No,microbes,OK,no incubation,NA,LAJA_015-M-21-20231024,A00000199829,N,M,OK,29.4,1,0,30,maximum,auger,1,NA,NA,NA,NA,NA,C00000068680,NA,NA,C00000068662,NA,NA,C00000068665,NA,NA,C00000068677,NA,NA,C00000068678,NA,dry ice,5 mL vial,NA,NA,NA,NA,0000-0002-4067-8225,NA,20251217T193611Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
bc8b6b34-13f1-44f5-9006-2cb82ea5db7a,D04,LAJA,LAJA_015,LAJA_015.basePlot.bgc,distributed,evergreenForest,39_400,7.5,28,WGS84,18.034464,-67.066822,20.2,24.4,0.29,NEON.DOC.014048vO,2023-12-13T17:39:00Z,2023-12-13T17:39:00Z,wetDryTransition,OK - no known exceptions,LAJA.wetDryTransition.2023-2024,0,No,microbes,OK,no incubation,NA,LAJA_015-M-39-20231213,A00000200050,N,M,OK,26.3,0,0,20,obstruction,auger,1,NA,NA,NA,NA,NA,C00000068739,NA,NA,C00000068742,NA,NA,C00000068793,NA,NA,C00000068741,NA,NA,C00000068738,NA,dry ice,5 mL vial,NA,NA,NA,rock obstruction,0009-0001-6365-6993,NA,20251217T194007Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilCoreCollection
