uid,domainID,siteID,plotID,namedLocation,plotType,nlcdClass,subplotID,coreCoordinateX,coreCoordinateY,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,startDate,collectDate,sampleTiming,biophysicalCriteria,eventID,standingWaterDepth,nTransBoutType,boutType,samplingImpractical,incubationMethod,incubationCondition,sampleID,sampleCode,toxicodendronPossible,horizon,horizonDetails,soilTemp,litterDepth,sampleTopDepth,sampleBottomDepth,sampleExtent,soilSamplingDevice,soilCoreCount,geneticSampleID,geneticSampleCode,geneticSampleCondition,geneticSamplePrepMethod,geneticArchiveSample1ID,geneticArchiveSample1Code,geneticArchiveSample1Condition,geneticArchiveSample2ID,geneticArchiveSample2Code,geneticArchiveSample2Condition,geneticArchiveSample3ID,geneticArchiveSample3Code,geneticArchiveSample3Condition,geneticArchiveSample4ID,geneticArchiveSample4Code,geneticArchiveSample4Condition,geneticArchiveSample5ID,geneticArchiveSample5Code,geneticArchiveSample5Condition,geneticArchiveSamplePrepMethod,geneticArchiveContainer,biomassID,biomassCode,biomassSampleCondition,remarks,collectedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
cf209f04-a766-420b-8e19-7166dad57df1,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,17,0.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-03-13T16:02:00Z,2019-04-01T17:29:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_001-M-17-0.5-20190401,B00000043436,NA,M,NA,14.1,0.1,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5717-3867,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
e5e2b2f9-1948-4f25-b1dc-54b85ac66dab,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,36.5,3.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-03-13T16:16:00Z,2019-04-01T17:35:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_001-M-36.5-3.5-20190401,B00000043437,NA,M,NA,13.3,2,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5717-3867,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
e74da087-817a-44b2-8a41-5cfb09c4a67a,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,35.5,25.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-03-13T16:29:00Z,2019-04-01T17:40:00Z,peakGreenness,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_001-M-35.5-25.5-20190401,B00000043438,NA,M,NA,16.3,0.1,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5717-3867,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
5dbbf619-6350-4320-969a-69df59efad4e,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,17,0.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-03-13T16:02:00Z,2019-03-13T16:02:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,no incubation,NA,SJER_001-M-17-0.5-20190313,B00000043236,NA,M,NA,5.6,0,0,30,maximum,auger,1,SJER_001-M-17-0.5-20190313-GEN,B00000043239,OK,NA,SJER_001-M-17-0.5-20190313-GA1,C00000009802,NA,SJER_001-M-17-0.5-20190313-GA2,C00000009579,NA,SJER_001-M-17-0.5-20190313-GA3,C00000009805,NA,SJER_001-M-17-0.5-20190313-GA4,C00000009580,NA,SJER_001-M-17-0.5-20190313-GA5,C00000009568,NA,NA,NA,SJER_001-M-17-0.5-20190313-BM,B00000043356,NA,NA,0000-0002-6721-6581,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
3504350e-213a-469a-aca2-b9639a16839c,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,36.5,3.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-03-13T16:16:00Z,2019-03-13T16:16:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,no incubation,NA,SJER_001-M-36.5-3.5-20190313,B00000043237,NA,M,NA,6.4,0,0,30,maximum,auger,1,SJER_001-M-36.5-3.5-20190313-GEN,B00000043228,OK,NA,SJER_001-M-36.5-3.5-20190313-GA1,C00000009793,NA,SJER_001-M-36.5-3.5-20190313-GA2,C00000009578,NA,SJER_001-M-36.5-3.5-20190313-GA3,C00000009789,NA,SJER_001-M-36.5-3.5-20190313-GA4,C00000009571,NA,SJER_001-M-36.5-3.5-20190313-GA5,C00000009801,NA,NA,NA,SJER_001-M-36.5-3.5-20190313-BM,B00000043355,NA,NA,0000-0002-6721-6581,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
d18e1924-7871-43fd-8a93-b2505640cbc5,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,35.5,25.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-03-13T16:29:00Z,2019-03-13T16:29:00Z,peakGreenness,NA,NA,0,tInitial,microbesBiomassBGC,NA,no incubation,NA,SJER_001-M-35.5-25.5-20190313,B00000043235,NA,M,NA,6.3,0,0,30,maximum,auger,1,SJER_001-M-35.5-25.5-20190313-GEN,B00000043238,OK,NA,SJER_001-M-35.5-25.5-20190313-GA1,C00000009562,NA,SJER_001-M-35.5-25.5-20190313-GA2,C00000009573,NA,SJER_001-M-35.5-25.5-20190313-GA3,C00000009572,NA,SJER_001-M-35.5-25.5-20190313-GA4,C00000009576,NA,SJER_001-M-35.5-25.5-20190313-GA5,C00000009560,NA,NA,NA,SJER_001-M-35.5-25.5-20190313-BM,B00000043354,NA,NA,0000-0002-6721-6581,NA,20251217T193751Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
d79153c7-5607-4380-bbe4-aaaad9d355ff,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,13,1.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-05-06T16:17:00Z,2019-06-03T18:07:00Z,wetDryTransition,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_001-M-13-1.5-20190603,A00000061907,NA,M,NA,21.8,0,0,27,maximum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6721-6581,NA,20251217T193617Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
80157f0d-774d-4de8-8453-aaf4673fef2d,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,9.5,20,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-05-06T16:40:00Z,2019-06-03T18:15:00Z,wetDryTransition,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_001-M-9.5-20-20190603,A00000061906,NA,M,NA,26.2,0,0,24,maximum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6721-6581,NA,20251217T193617Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
3d311761-5020-43d3-b8aa-edbfb49f88e0,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,33,5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-05-06T16:52:00Z,2019-06-03T18:11:00Z,wetDryTransition,NA,NA,0,tFinal,fieldOnly,NA,covered core,OK,SJER_001-M-33-5-20190603,A00000061905,NA,M,NA,26.2,0.5,0,27,maximum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-6721-6581,NA,20251217T193617Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
d1968d2e-a6bd-47a9-94e1-292f12fa55c4,D17,SJER,SJER_001,SJER_001.basePlot.bgc,distributed,grasslandHerbaceous,NA,13,1.5,WGS84,37.106602,-119.72024,20.1,399.4,0.1,NEON.DOC.014048vL,2019-05-06T16:17:00Z,2019-05-06T16:17:00Z,wetDryTransition,NA,NA,0,tInitial,microbesBiomass,NA,no incubation,NA,SJER_001-M-13-1.5-20190506,B00000043617,NA,M,NA,21.5,0.5,0,26,obstruction,auger,1,SJER_001-M-13-1.5-20190506-GEN,B00000043620,OK,NA,SJER_001-M-13-1.5-20190506-GA1,C00000048760,NA,SJER_001-M-13-1.5-20190506-GA2,C00000048765,NA,SJER_001-M-13-1.5-20190506-GA3,C00000048770,NA,SJER_001-M-13-1.5-20190506-GA4,C00000048750,NA,SJER_001-M-13-1.5-20190506-GA5,C00000048761,NA,NA,NA,SJER_001-M-13-1.5-20190506-BM,B00000043682,NA,NA,0000-0002-6721-6581,NA,20251217T193743Z,RELEASE-2026,DP1.10086.001,SJER,2019,sls_soilCoreCollection
